Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.713435,[22 30] ; [ 1 49],[11.7254902 40.2745098] ; [11.2745098 38.7254902],1
p8,1,6e-06,20.647773,[23 28] ; [ 3 48],[13. 38.] ; [13. 38.],1
p4,1,0.000802,11.237454,[27 25] ; [10 40],[18.8627451 33.1372549] ; [18.1372549 31.8627451],1
p2,1,0.001144,10.579167,[36 16] ; [19 32],[27.76699029 24.23300971] ; [27.23300971 23.76699029],0
s3,1,0.005731,7.632942,[29 23] ; [14 35],[22.13861386 29.86138614] ; [20.86138614 28.13861386],0
n4,1,0.017537,5.641835,[27 25] ; [38 13],[32.81553398 19.18446602] ; [32.18446602 18.81553398],0
v4,1,0.021157,5.313797,[46  6] ; [35 15],[41.29411765 10.70588235] ; [39.70588235 10.29411765],0
p3,1,0.02412,5.086009,[22 30] ; [11 40],[16.66019417 35.33980583] ; [16.33980583 34.66019417],0
s2,1,0.040792,4.184615,[20 32] ; [10 40],[15.29411765 36.70588235] ; [14.70588235 35.29411765],0
a1,1,0.087761,2.914965,[ 1 51] ; [ 5 46],[ 3.02912621 48.97087379] ; [ 2.97087379 48.02912621],0
n6,1,0.091816,2.842238,[35 17] ; [26 25],[30.7961165 21.2038835] ; [30.2038835 20.7961165],0
r3,1,0.095982,2.771065,[43  9] ; [35 16],[39.37864078 12.62135922] ; [38.62135922 12.37864078],0
v1,1,0.101572,2.680685,[20 32] ; [12 39],[16.15533981 35.84466019] ; [15.84466019 35.15533981],0
a3,1,0.115521,2.477017,[20 32] ; [27 23],[23.96078431 28.03921569] ; [23.03921569 26.96078431],0
b4,1,0.131428,2.27556,[26 26] ; [33 18],[29.78640777 22.21359223] ; [29.21359223 21.78640777],0
v2,1,0.140883,2.168291,[21 31] ; [13 36],[17.5049505 34.4950495] ; [16.4950495 32.5049505],0
p10,1,0.147401,2.098947,[13 38] ; [ 7 43],[10.0990099 40.9009901] ; [ 9.9009901 40.0990099],0
p1,1,0.219103,1.510237,[ 2 50] ; [ 5 45],[ 3.56862745 48.43137255] ; [ 3.43137255 46.56862745],0
s6,1,0.223674,1.480645,[23 28] ; [17 34],[20. 31.] ; [20. 31.],0
