Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.888889,[80 25] ; [ 1 20],[67.5 37.5] ; [13.5  7.5],1
r1,1,5e-06,20.828571,[79 26] ; [ 5 16],[70. 35.] ; [14.  7.],1
r3,1,0.002374,9.235142,[86 18] ; [11 10],[80.704 23.296] ; [16.296  4.704],0
v4,1,0.005012,7.875,[85 20] ; [11 10],[80. 25.] ; [16.  5.],0
v3,1,0.008312,6.965019,[33 66] ; [ 1 20],[28.05 70.95] ; [ 5.95 15.05],0
u3,1,0.009119,6.799317,[20 13] ; [ 2 10],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
a5,1,0.009609,6.706029,[67 38] ; [ 7 14],[61.66666667 43.33333333] ; [12.33333333  8.66666667],0
n1,1,0.023542,5.128071,[23 24] ; [1 9],[19.78947368 27.21052632] ; [4.21052632 5.78947368],0
s6,1,0.033954,4.497006,[51 53] ; [ 5 16],[46.592 57.408] ; [ 9.408 11.592],0
a3,1,0.037058,4.347764,[72 32] ; [ 9 11],[67.93548387 36.06451613] ; [13.06451613  6.93548387],0
s3,1,0.048472,3.893547,[39 64] ; [ 3 17],[35.17073171 67.82926829] ; [ 6.82926829 13.17073171],0
a4,1,0.055641,3.662775,[53 50] ; [ 6 15],[49.00806452 53.99193548] ; [ 9.99193548 11.00806452],0
v1,1,0.076007,3.148291,[41 63] ; [ 4 17],[37.44 66.56] ; [ 7.56 13.44],0
p9,1,0.083594,2.993609,[36 68] ; [ 3 17],[32.70967742 71.29032258] ; [ 6.29032258 13.70967742],0
d2,1,0.093733,2.809061,[55 48] ; [ 7 14],[51.5 51.5] ; [10.5 10.5],0
s2,1,0.114031,2.497452,[32 70] ; [ 3 18],[29.02439024 72.97560976] ; [ 5.97560976 15.02439024],0
s5,1,0.129562,2.297745,[18 82] ; [ 1 20],[15.70247934 84.29752066] ; [ 3.29752066 17.70247934],0
d3,1,0.147299,2.1,[63 42] ; [ 9 12],[60. 45.] ; [12.  9.],0
s7,1,0.156801,2.004806,[31 66] ; [ 3 16],[28.43103448 68.56896552] ; [ 5.56896552 13.43103448],0
p11,1,0.170068,1.882347,[47 58] ; [ 6 15],[44.16666667 60.83333333] ; [ 8.83333333 12.16666667],0
b1,1,0.17533,1.836772,[48 57] ; [13  8],[50.83333333 54.16666667] ; [10.16666667 10.83333333],0
d4,1,0.182546,1.776775,[79 25] ; [13  8],[76.544 27.456] ; [15.456  5.544],0
p12,1,0.205507,1.602797,[  1 103] ; [ 1 20],[  1.664 102.336] ; [ 0.336 20.664],0
d5,1,0.208901,1.579028,[79 26] ; [13  8],[76.66666667 28.33333333] ; [15.33333333  5.66666667],0
p4,1,0.224239,1.477033,[34 71] ; [ 4 17],[31.66666667 73.33333333] ; [ 6.33333333 14.66666667],0
a7,1,0.236467,1.401531,[64 40] ; [10 11],[61.568 42.432] ; [12.432  8.568],0
n4,1,0.246651,1.342174,[69 36] ; [11 10],[66.66666667 38.33333333] ; [13.33333333  7.66666667],0
n3,1,0.24869,1.330645,[27 18] ; [4 6],[25.36363636 19.63636364] ; [5.63636364 4.36363636],0
a6,1,0.257235,1.283576,[64 41] ; [10 11],[61.66666667 43.33333333] ; [12.33333333  8.66666667],0
n2,1,0.257322,1.283106,[28 19] ; [4 6],[26.38596491 20.61403509] ; [5.61403509 4.38596491],0
p6,1,0.275095,1.191164,[15 89] ; [ 1 18],[13.52845528 90.47154472] ; [ 2.47154472 16.52845528],0
d1,1,0.300022,1.074098,[53 52] ; [ 8 13],[50.83333333 54.16666667] ; [10.16666667 10.83333333],0
p1,1,0.330632,0.946422,[ 8 96] ; [ 3 18],[ 9.152 94.848] ; [ 1.848 19.152],0
p2,1,0.338432,0.916364,[52 53] ; [ 8 13],[50. 55.] ; [10. 11.],0
p3,1,0.343178,0.898523,[26 79] ; [ 3 17],[24.36 80.64] ; [ 4.64 15.36],0
a8,1,0.412847,0.670588,[ 9 86] ; [ 3 16],[10. 85.] ; [ 2. 17.],0
a2,1,0.430933,0.620308,[23 82] ; [ 3 18],[21.66666667 83.33333333] ; [ 4.33333333 16.66666667],0
p8,1,0.435777,0.607378,[17 88] ; [ 2 19],[15.83333333 89.16666667] ; [ 3.16666667 17.83333333],0
b2,1,0.501965,0.45078,[24 45] ; [7 9],[25.16470588 43.83529412] ; [ 5.83529412 10.16470588],0
b3,1,0.501965,0.45078,[24 45] ; [7 9],[25.16470588 43.83529412] ; [ 5.83529412 10.16470588],0
n5,1,0.522516,0.408925,[58 47] ; [10 11],[56.66666667 48.33333333] ; [11.33333333  9.66666667],0
u2,1,0.531387,0.391738,[14 18] ; [4 8],[13.09090909 18.90909091] ; [4.90909091 7.09090909],0
b4,1,0.567269,0.327273,[63 42] ; [14  7],[64.16666667 40.83333333] ; [12.83333333  8.16666667],0
v2,1,0.613423,0.25522,[40 62] ; [ 7 14],[38.97560976 63.02439024] ; [ 8.02439024 12.97560976],0
s1,1,0.777799,0.079631,[ 8 96] ; [ 2 19],[ 8.32 95.68] ; [ 1.68 19.32],0
n6,1,0.870622,0.026526,[63 42] ; [13  8],[63.33333333 41.66666667] ; [12.66666667  8.33333333],0
s4,1,0.88492,0.020948,[16 87] ; [ 3 18],[15.78225806 87.21774194] ; [ 3.21774194 17.78225806],0
a1,1,1.0,0.0,[10 95] ; [ 2 19],[10. 95.] ; [ 2. 19.],0
b5,1,1.0,0.0,[60 45] ; [12  9],[60. 45.] ; [12.  9.],0
