Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-05,19.475371,[ 8 57] ; [22 21],[18.05555556 46.94444444] ; [11.94444444 31.05555556],1
p6,1,0.00011,14.964221,[ 4 60] ; [15 27],[11.47169811 52.52830189] ; [ 7.52830189 34.47169811],1
p4,1,0.000228,13.5831,[16 50] ; [26 18],[25.2 40.8] ; [16.8 27.2],1
b3,1,0.000656,11.609977,[19 23] ; [ 2 26],[12.6 29.4] ; [ 8.4 19.6],1
b2,1,0.000656,11.609977,[19 23] ; [ 2 26],[12.6 29.4] ; [ 8.4 19.6],1
p2,1,0.001407,10.196266,[32 34] ; [34  9],[39.96330275 26.03669725] ; [26.03669725 16.96330275],0
s6,1,0.005383,7.746101,[16 50] ; [22 22],[22.8 43.2] ; [15.2 28.8],0
u2,1,0.009239,6.776058,[ 8 23] ; [13  8],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
p11,1,0.010185,6.602183,[27 39] ; [29 15],[33.6 32.4] ; [22.4 21.6],0
d1,1,0.011161,6.439449,[29 37] ; [ 9 35],[22.8 43.2] ; [15.2 28.8],0
s3,1,0.016161,5.785321,[19 46] ; [22 20],[24.90654206 40.09345794] ; [16.09345794 25.90654206],0
p3,1,0.019354,5.469204,[12 53] ; [17 27],[17.29357798 47.70642202] ; [11.70642202 32.29357798],0
s4,1,0.021604,5.277361,[ 9 57] ; [14 30],[13.8 52.2] ; [ 9.2 34.8],0
p10,1,0.024838,5.035145,[28 37] ; [28 15],[33.7037037 31.2962963] ; [22.2962963 20.7037037],0
s2,1,0.025861,4.965278,[14 52] ; [18 26],[19.2 46.8] ; [12.8 31.2],0
n6,1,0.04002,4.217024,[41 24] ; [18 24],[35.8411215 29.1588785] ; [23.1588785 18.8411215],0
s8,1,0.045593,3.996578,[ 7 59] ; [11 33],[10.8 55.2] ; [ 7.2 36.8],0
p9,1,0.051159,3.803061,[29 33] ; [29 15],[33.9245283 28.0754717] ; [24.0754717 19.9245283],0
d2,1,0.053397,3.731461,[28 37] ; [11 33],[23.25688073 41.74311927] ; [15.74311927 28.25688073],0
b5,1,0.06132,3.501326,[30 36] ; [28 16],[34.8 31.2] ; [23.2 20.8],0
v2,1,0.098194,2.734633,[17 47] ; [18 25],[20.93457944 43.06542056] ; [14.06542056 28.93457944],0
n3,1,0.107687,2.587839,[13 18] ; [13  7],[15.80392157 15.19607843] ; [10.19607843  9.80392157],0
