Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,9e-06,19.788138,[ 9 58] ; [60 73],[23.115 43.885] ; [45.885 87.115],1
d2,1,0.000229,13.57887,[16 51] ; [68 65],[28.14 38.86] ; [55.86 77.14],1
a3,1,0.000408,12.496439,[29 38] ; [92 41],[40.535 26.465] ; [80.465 52.535],1
r1,1,0.000502,12.108827,[41 26] ; [111  22],[50.92 16.08] ; [101.08  31.92],1
p3,1,0.000824,11.186206,[27 40] ; [86 46],[38.04522613 28.95477387] ; [74.95477387 57.04522613],1
d1,1,0.001168,10.540587,[23 44] ; [78 55],[33.835 33.165] ; [67.165 65.835],0
d5,1,0.002182,9.389658,[41 26] ; [108  25],[49.915 17.085] ; [99.085 33.915],0
r4,1,0.002295,9.297109,[51 16] ; [122  11],[57.955  9.045] ; [115.045  17.955],0
p10,1,0.004162,8.211696,[45 20] ; [114  18],[52.46192893 12.53807107] ; [106.53807107  25.46192893],0
d4,1,0.005466,7.718432,[43 24] ; [109  24],[50.92 16.08] ; [101.08  31.92],0
p4,1,0.006091,7.523152,[33 32] ; [94 39],[41.69191919 23.30808081] ; [85.30808081 47.69191919],0
a6,1,0.007242,7.211978,[35 32] ; [95 38],[43.55 23.45] ; [86.45 46.55],0
u1,1,0.007382,7.177509,[ 2 65] ; [ 21 112],[ 7.705 59.295] ; [ 15.295 117.705],0
v2,1,0.008653,6.893068,[18 45] ; [63 67],[26.44041451 36.55958549] ; [54.55958549 75.44041451],0
s6,1,0.012271,6.271256,[34 31] ; [91 38],[41.8814433 23.1185567] ; [83.1185567 45.8814433],0
n4,1,0.014276,6.003628,[39 27] ; [101  32],[46.4321608 19.5678392] ; [93.5678392 39.4321608],0
s5,1,0.0232,5.153464,[12 53] ; [44 85],[18.7628866 46.2371134] ; [37.2371134 91.7628866],0
d3,1,0.03002,4.708158,[37 30] ; [94 39],[43.885 23.115] ; [87.115 45.885],0
b3,1,0.037087,4.346403,[ 3 31] ; [20 56],[ 7.10909091 26.89090909] ; [15.89090909 60.10909091],0
b2,1,0.037087,4.346403,[ 3 31] ; [20 56],[ 7.10909091 26.89090909] ; [15.89090909 60.10909091],0
p9,1,0.08203,3.024215,[48 17] ; [112  21],[52.52525253 12.47474747] ; [107.47474747  25.52525253],0
n5,1,0.082973,3.005693,[40 26] ; [96 36],[45.33333333 20.66666667] ; [90.66666667 41.33333333],0
s7,1,0.102155,2.671577,[24 40] ; [63 63],[29.30526316 34.69473684] ; [57.69473684 68.30526316],0
r3,1,0.104564,2.634511,[59  7] ; [126   6],[61.66666667  4.33333333] ; [123.33333333   8.66666667],0
u3,1,0.136967,2.21171,[15 23] ; [22 17],[18.25974026 19.74025974] ; [18.74025974 20.25974026],0
n3,1,0.148439,2.088218,[7 7] ; [21  8],[9.11627907 4.88372093] ; [18.88372093 10.11627907],0
a1,1,0.199007,1.649647,[ 1 66] ; [  7 126],[ 2.68 64.32] ; [  5.32 127.68],0
n6,1,0.205104,1.605656,[52 15] ; [112  20],[55.2160804 11.7839196] ; [108.7839196  23.2160804],0
p11,1,0.211752,1.55941,[51 16] ; [111  22],[54.27 12.73] ; [107.73  25.27],0
r2,1,0.215399,1.534763,[58  8] ; [122   9],[60.30456853  5.69543147] ; [119.69543147  11.30456853],0
v3,1,0.226897,1.460211,[14 50] ; [40 93],[17.54314721 46.45685279] ; [36.45685279 96.54314721],0
b5,1,0.294791,1.097612,[38 29] ; [65 68],[34.505 32.495] ; [68.495 64.505],0
p5,1,0.297878,1.083672,[ 6 60] ; [ 19 114],[ 8.29145729 57.70854271] ; [ 16.70854271 116.29145729],0
n1,1,0.305507,1.05,[ 2 12] ; [ 8 20],[ 3.33333333 10.66666667] ; [ 6.66666667 21.33333333],0
p12,1,0.326987,0.960792,[ 3 63] ; [ 11 121],[ 4.66666667 61.33333333] ; [  9.33333333 122.66666667],0
b4,1,0.343308,0.89804,[39 28] ; [68 65],[35.845 31.155] ; [71.155 61.845],0
s4,1,0.344427,0.893885,[15 50] ; [ 23 109],[12.53807107 52.46192893] ; [ 25.46192893 106.53807107],0
