Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,80.416,[132  30] ; [ 49 106],[92.49842271 69.50157729] ; [88.50157729 66.49842271],1
s2,1,0.0,49.484493,[122  47] ; [ 54 107],[90.13333333 78.86666667] ; [85.86666667 75.13333333],1
s3,1,0.0,37.153258,[123  44] ; [64 95],[95.79447853 71.20552147] ; [91.20552147 67.79447853],1
s6,1,0.0,26.22397,[136  31] ; [87 71],[114.58769231  52.41230769] ; [108.41230769  49.58769231],1
s5,1,2.2e-05,17.977384,[85 78] ; [ 46 113],[66.3136646 96.6863354] ; [64.6863354 94.3136646],1
v3,1,0.012654,6.216864,[107  60] ; [78 77],[95.94720497 71.05279503] ; [89.05279503 65.94720497],0
v1,1,0.016492,5.749685,[124  44] ; [97 61],[113.88957055  54.11042945] ; [107.11042945  50.88957055],0
a3,1,0.018814,5.518763,[140  29] ; [116  45],[131.1030303  37.8969697] ; [124.8969697  36.1030303],0
b2,1,0.02377,5.111309,[50 67] ; [27 70],[42.09813084 74.90186916] ; [34.90186916 62.09813084],0
b3,1,0.02377,5.111309,[50 67] ; [27 70],[42.09813084 74.90186916] ; [34.90186916 62.09813084],0
p6,1,0.03433,4.478188,[92 76] ; [68 90],[82.45398773 85.54601227] ; [77.54601227 80.45398773],0
p5,1,0.034332,4.478094,[ 32 138] ; [ 17 144],[ 25.16616314 144.83383686] ; [ 23.83383686 137.16616314],0
n4,1,0.039987,4.218437,[145  24] ; [124  37],[137.76060606  31.23939394] ; [131.23939394  29.76060606],0
p10,1,0.041413,4.159051,[154  14] ; [135  25],[148.02439024  19.97560976] ; [140.97560976  19.02439024],0
n6,1,0.044857,4.02399,[152  15] ; [133  26],[145.99693252  21.00306748] ; [139.00306748  19.99693252],0
p9,1,0.054804,3.688047,[156  13] ; [138  23],[150.56363636  18.43636364] ; [143.43636364  17.56363636],0
s1,1,0.063032,3.455763,[  8 160] ; [  2 159],[  5.10638298 162.89361702] ; [  4.89361702 156.10638298],0
a8,1,0.064972,3.405686,[ 34 124] ; [ 19 123],[ 27.91333333 130.08666667] ; [ 25.08666667 116.91333333],0
u4,1,0.066048,3.378596,[  6 164] ; [  1 160],[  3.59516616 166.40483384] ; [  3.40483384 157.59516616],0
p3,1,0.073491,3.203269,[117  53] ; [95 65],[109.21212121  60.78787879] ; [102.78787879  57.21212121],0
u1,1,0.075653,3.155894,[ 42 128] ; [ 27 134],[ 35.43806647 134.56193353] ; [ 33.56193353 127.43806647],0
n5,1,0.076257,3.14293,[141  27] ; [121  38],[134.60550459  33.39449541] ; [127.39449541  31.60550459],0
a5,1,0.085063,2.965401,[139  31] ; [119  42],[132.50755287  37.49244713] ; [125.49244713  35.50755287],0
u2,1,0.102236,2.670314,[18 12] ; [17 25],[14.58333333 15.41666667] ; [20.41666667 21.58333333],0
r3,1,0.128727,2.307785,[168   2] ; [154   6],[165.87878788   4.12121212] ; [156.12121212   3.87878788],0
r2,1,0.155516,2.017291,[161   5] ; [148  10],[158.31481481   7.68518519] ; [150.68518519   7.31481481],0
d1,1,0.160132,1.972975,[113  57] ; [95 66],[106.82779456  63.17220544] ; [101.17220544  59.82779456],0
p4,1,0.173545,1.852049,[123  47] ; [104  55],[117.29483283  52.70516717] ; [109.70516717  49.29483283],0
p8,1,0.183207,1.771419,[119  49] ; [101  57],[113.37423313  54.62576687] ; [106.62576687  51.37423313],0
d5,1,0.201487,1.631563,[148  22] ; [132  29],[143.80664653  26.19335347] ; [136.19335347  24.80664653],0
d2,1,0.208634,1.580879,[92 78] ; [76 85],[86.28398792 83.71601208] ; [81.71601208 79.28398792],0
n2,1,0.229025,1.446904,[26  4] ; [20  7],[24.21052632  5.78947368] ; [21.78947368  5.21052632],0
u3,1,0.257518,1.282051,[18 12] ; [21 24],[15.6 14.4] ; [23.4 21.6],0
r1,1,0.272501,1.204112,[146  23] ; [132  29],[142.36969697  26.63030303] ; [135.63030303  25.36969697],0
d4,1,0.326875,0.961237,[148  22] ; [134  27],[144.83383686  25.16616314] ; [137.16616314  23.83383686],0
n1,1,0.336453,0.923902,[11 18] ; [ 7 20],[ 9.32142857 19.67857143] ; [ 8.67857143 18.32142857],0
s4,1,0.368092,0.810095,[ 28 141] ; [ 21 140],[ 25.09393939 143.90606061] ; [ 23.90606061 137.09393939],0
r4,1,0.44385,0.586309,[159  11] ; [147  14],[157.16012085  12.83987915] ; [148.83987915  12.16012085],0
b4,1,0.452787,0.563665,[103  67] ; [91 70],[99.63746224 70.36253776] ; [94.36253776 66.63746224],0
p1,1,0.511635,0.430722,[ 16 153] ; [ 12 149],[ 14.33939394 154.66060606] ; [ 13.66060606 147.33939394],0
