Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,47.330025,[ 9 30] ; [79 14],[26. 13.] ; [62. 31.],1
a2,1,0.000191,13.912938,[ 2 37] ; [35 60],[10.76865672 28.23134328] ; [26.23134328 68.76865672],1
b5,1,0.004743,7.975033,[16 23] ; [64 31],[23.28358209 15.71641791] ; [56.71641791 38.28358209],0
d3,1,0.008464,6.932563,[23 16] ; [76 18],[29.03007519  9.96992481] ; [69.96992481 24.03007519],0
u1,1,0.009978,6.638835,[ 4 35] ; [30 65],[ 9.89552239 29.10447761] ; [24.10447761 70.89552239],0
s8,1,0.014224,6.010162,[31  8] ; [53 40],[24.81818182 14.18181818] ; [59.18181818 33.81818182],0
p12,1,0.018569,5.541667,[ 3 35] ; [25 70],[ 8. 30.] ; [20. 75.],0
p1,1,0.022501,5.206633,[ 2 37] ; [20 74],[ 6.45112782 32.54887218] ; [15.54887218 78.45112782],0
r4,1,0.031999,4.598563,[34  5] ; [92  3],[36.67164179  2.32835821] ; [89.32835821  5.67164179],0
b4,1,0.04604,3.980125,[20 19] ; [66 29],[25.02985075 13.97014925] ; [60.97014925 34.02985075],0
s7,1,0.062843,3.460725,[32  6] ; [60 28],[27.74603175 10.25396825] ; [64.25396825 23.74603175],0
d5,1,0.085542,2.956327,[35  3] ; [75 19],[31.66666667  6.33333333] ; [78.33333333 15.66666667],0
v2,1,0.116904,2.458316,[27 11] ; [79 16],[30.28571429  7.71428571] ; [75.71428571 19.28571429],0
p4,1,0.142305,2.152851,[29 10] ; [80 14],[31.96240602  7.03759398] ; [77.03759398 16.96240602],0
u3,1,0.154052,2.031658,[3 5] ; [14  7],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
p3,1,0.180544,1.79314,[25 14] ; [71 23],[28.15037594 10.84962406] ; [67.84962406 26.15037594],0
n4,1,0.218552,1.513852,[38  1] ; [87  8],[36.38059701  2.61940299] ; [88.61940299  6.38059701],0
s6,1,0.228407,1.450754,[31  7] ; [65 26],[28.27906977  9.72093023] ; [67.72093023 23.27906977],0
v1,1,0.253153,1.305818,[26 12] ; [74 21],[28.57142857  9.42857143] ; [71.42857143 23.57142857],0
p10,1,0.292445,1.108333,[33  5] ; [88  7],[34.57142857  3.42857143] ; [86.42857143  8.57142857],0
a1,1,0.324237,0.971777,[ 6 33] ; [ 9 86],[ 4.36567164 34.63432836] ; [10.63432836 84.36567164],0
a8,1,0.345495,0.889933,[ 7 30] ; [10 71],[ 5.33050847 31.66949153] ; [11.66949153 69.33050847],0
s2,1,0.350305,0.872353,[25 14] ; [52 42],[22.57894737 16.42105263] ; [54.42105263 39.57894737],0
v4,1,0.356344,0.850736,[37  2] ; [92  2],[37.82706767  1.17293233] ; [91.17293233  2.82706767],0
b2,1,0.356779,0.849198,[15 12] ; [26 32],[13.02352941 13.97647059] ; [27.97647059 30.02352941],0
b3,1,0.356779,0.849198,[15 12] ; [26 32],[13.02352941 13.97647059] ; [27.97647059 30.02352941],0
n1,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
d1,1,0.374271,0.789434,[24 15] ; [66 29],[26.19402985 12.80597015] ; [63.80597015 31.19402985],0
p5,1,0.384825,0.755231,[ 9 30] ; [29 66],[11.05970149 27.94029851] ; [26.94029851 68.05970149],0
p9,1,0.390017,0.738889,[35  3] ; [91  4],[36.  2.] ; [90.  5.],0
r1,1,0.400032,0.70823,[30  9] ; [79 16],[31.7238806  7.2761194] ; [77.2761194 17.7238806],0
u2,1,0.408384,0.683502,[4 4] ; [14  7],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
d2,1,0.470668,0.520408,[23 16] ; [49 45],[21.11278195 17.88721805] ; [50.88721805 43.11278195],0
n2,1,0.52511,0.403846,[6 2] ; [8 5],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
n3,1,0.52511,0.403846,[6 2] ; [8 5],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
b1,1,0.54025,0.375077,[17 22] ; [36 59],[15.42537313 23.57462687] ; [37.57462687 57.42537313],0
r2,1,0.564191,0.3325,[36  2] ; [92  3],[36.57142857  1.42857143] ; [91.42857143  3.57142857],0
u4,1,0.584626,0.298815,[ 2 37] ; [ 3 92],[ 1.45522388 37.54477612] ; [ 3.54477612 91.45522388],0
a5,1,0.588268,0.293057,[30  9] ; [77 18],[31.14179104  7.85820896] ; [75.85820896 19.14179104],0
r3,1,0.592953,0.285756,[37  2] ; [91  3],[37.53383459  1.46616541] ; [90.46616541  3.53383459],0
p7,1,0.59343,0.28502,[33  6] ; [81 11],[33.9389313  5.0610687] ; [80.0610687 11.9389313],0
n5,1,0.70012,0.148347,[35  4] ; [83 12],[34.34328358  4.65671642] ; [83.65671642 11.34328358],0
p11,1,0.759225,0.093941,[32  7] ; [80 15],[32.59701493  6.40298507] ; [79.40298507 15.59701493],0
s3,1,0.761793,0.091886,[24 15] ; [54 38],[23.22137405 15.77862595] ; [54.77862595 37.22137405],0
a4,1,0.763483,0.090547,[20 19] ; [46 49],[19.20895522 19.79104478] ; [46.79104478 48.20895522],0
n6,1,0.796392,0.066574,[36  3] ; [87  6],[36.34090909  2.65909091] ; [86.65909091  6.34090909],0
s4,1,0.876902,0.023993,[ 5 34] ; [13 81],[ 5.27819549 33.72180451] ; [12.72180451 81.27819549],0
p2,1,0.962993,0.002153,[35  4] ; [85 10],[34.92537313  4.07462687] ; [85.07462687  9.92537313],0
p8,1,0.972594,0.00118,[29  9] ; [72 22],[29.07575758  8.92424242] ; [71.92424242 22.07575758],0
d4,1,0.980941,0.000571,[32  6] ; [79 15],[31.95454545  6.04545455] ; [79.04545455 14.95454545],0
s5,1,0.990059,0.000155,[17 20] ; [41 48],[17.03174603 19.96825397] ; [40.96825397 48.03174603],0
a3,1,0.991424,0.000116,[31  8] ; [74 19],[31.02272727  7.97727273] ; [73.97727273 19.02272727],0
