Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.7e-05,17.02725,[20  9] ; [30 79],[10.50724638 18.49275362] ; [39.49275362 69.50724638],1
p4,1,0.000438,12.364067,[19 10] ; [33 77],[10.84892086 18.15107914] ; [41.15107914 68.84892086],1
p7,1,0.000779,11.291637,[20  8] ; [39 69],[12.14705882 15.85294118] ; [46.85294118 61.14705882],1
r4,1,0.004657,8.008231,[22  7] ; [51 59],[15.23021583 13.76978417] ; [57.76978417 52.23021583],0
p11,1,0.009231,6.777569,[24  5] ; [62 48],[17.94244604 11.05755396] ; [68.05755396 41.94244604],0
s8,1,0.016617,5.736336,[ 7 22] ; [  9 101],[ 3.3381295 25.6618705] ; [12.6618705 97.3381295],0
p2,1,0.016668,5.730983,[24  5] ; [64 45],[18.49275362 10.50724638] ; [69.50724638 39.49275362],0
p12,1,0.028269,4.811573,[ 3 26] ; [  2 108],[ 1.04316547 27.95683453] ; [  3.95683453 106.04316547],0
d3,1,0.031373,4.632443,[19  8] ; [52 58],[13.99270073 13.00729927] ; [57.00729927 52.99270073],0
r3,1,0.053928,3.714933,[26  3] ; [79 30],[22.06521739  6.93478261] ; [82.93478261 26.06521739],0
d1,1,0.064212,3.425118,[14 15] ; [33 77],[ 9.8057554 19.1942446] ; [37.1942446 72.8057554],0
v4,1,0.078488,3.09594,[26  3] ; [81 28],[22.48550725  6.51449275] ; [84.51449275 24.48550725],0
a7,1,0.106121,2.611061,[20  8] ; [60 50],[16.23188406 11.76811594] ; [63.76811594 46.23188406],0
d5,1,0.120904,2.405574,[21  7] ; [65 45],[17.44927536 10.55072464] ; [68.55072464 41.44927536],0
s5,1,0.126848,2.330662,[ 7 21] ; [14 92],[ 4.3880597 23.6119403] ; [16.6119403 89.3880597],0
v3,1,0.148712,2.085415,[ 9 19] ; [21 87],[ 6.17647059 21.82352941] ; [23.82352941 84.17647059],0
s6,1,0.168173,1.899155,[14 14] ; [39 70],[10.83211679 17.16788321] ; [42.16788321 66.83211679],0
p3,1,0.171373,1.870892,[12 17] ; [31 79],[ 8.97122302 20.02877698] ; [34.02877698 75.97122302],0
a6,1,0.213406,1.548166,[18 11] ; [54 56],[15.02158273 13.97841727] ; [56.97841727 53.02158273],0
b5,1,0.219078,1.5104,[21  8] ; [66 44],[18.15107914 10.84892086] ; [68.84892086 41.15107914],0
u2,1,0.23437,1.414141,[8 7] ; [20 35],[6. 9.] ; [22. 33.],0
p9,1,0.245165,1.35065,[23  6] ; [73 34],[20.47058824  8.52941176] ; [75.52941176 31.47058824],0
b4,1,0.251408,1.315461,[19 10] ; [59 51],[16.27338129 12.72661871] ; [61.72661871 48.27338129],0
p10,1,0.259055,1.273799,[20  8] ; [64 43],[17.42222222 10.57777778] ; [66.57777778 40.42222222],0
v2,1,0.267696,1.228514,[11 16] ; [32 76],[ 8.6 18.4] ; [34.4 73.6],0
