Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,100.340198,[ 5 36] ; [221  39],[30.78405316 10.21594684] ; [195.21594684  64.78405316],1
r3,1,0.0,68.658261,[16 24] ; [237  23],[33.73333333  6.26666667] ; [219.26666667  40.73333333],1
r2,1,0.0,49.842957,[20 19] ; [238  20],[33.87878788  5.12121212] ; [224.12121212  33.87878788],1
p2,1,0.0,42.054709,[12 28] ; [205  54],[29.03010033 10.96989967] ; [187.96989967  71.03010033],1
p11,1,0.0,26.95174,[13 28] ; [189  71],[27.51495017 13.48504983] ; [174.48504983  85.51495017],1
n6,1,0.0,25.888612,[16 23] ; [206  54],[28.95652174 10.04347826] ; [193.04347826  66.95652174],1
r1,1,1e-06,24.864237,[12 29] ; [180  79],[26.24 14.76] ; [165.76  93.24],1
p10,1,1.7e-05,18.527079,[14 27] ; [177  80],[26.27852349 14.72147651] ; [164.72147651  92.27852349],1
s6,1,2e-05,18.198331,[ 7 34] ; [137 122],[19.68 21.32] ; [124.32 134.68],1
p9,1,3e-05,17.418675,[17 24] ; [189  67],[28.43771044 12.56228956] ; [177.56228956  78.43771044],1
d5,1,0.000121,14.780201,[18 23] ; [190  68],[28.52173913 12.47826087] ; [179.47826087  78.52173913],1
u3,1,0.000358,12.737583,[ 2 15] ; [58 41],[8.79310345 8.20689655] ; [51.20689655 47.79310345],1
s1,1,0.0007,11.49054,[ 7 34] ; [ 10 248],[ 2.33110368 38.66889632] ; [ 14.66889632 243.33110368],1
p4,1,0.000883,11.057065,[ 9 32] ; [129 130],[18.86 22.14] ; [119.14 139.86],1
a1,1,0.001091,10.666471,[ 6 35] ; [  8 252],[ 1.90697674 39.09302326] ; [ 12.09302326 247.90697674],0
a7,1,0.001584,9.977711,[18 23] ; [179  80],[26.92333333 14.07666667] ; [170.07666667  88.92333333],0
p8,1,0.002003,9.54636,[ 8 32] ; [119 140],[16.98996656 23.01003344] ; [110.01003344 148.98996656],0
s8,1,0.003614,8.468446,[ 4 37] ; [ 83 177],[11.85049834 29.14950166] ; [ 75.14950166 184.85049834],0
n2,1,0.005155,7.824158,[ 6 13] ; [52 26],[11.36082474  7.63917526] ; [46.63917526 31.36082474],0
p6,1,0.011187,6.435321,[ 3 36] ; [ 68 191],[ 9.29194631 29.70805369] ; [ 61.70805369 197.29194631],0
p7,1,0.01744,5.651532,[14 27] ; [137 116],[21.05782313 19.94217687] ; [129.94217687 123.05782313],0
d1,1,0.018091,5.587284,[11 30] ; [121 139],[17.98006645 23.01993355] ; [114.01993355 145.98006645],0
d3,1,0.023286,5.147055,[17 24] ; [155 102],[23.66442953 17.33557047] ; [148.33557047 108.66442953],0
a6,1,0.03388,4.500737,[19 22] ; [165  94],[25.14666667 15.85333333] ; [158.85333333 100.14666667],0
s7,1,0.035028,4.443785,[ 7 30] ; [ 91 158],[12.67832168 24.32167832] ; [ 85.32167832 163.67832168],0
d4,1,0.036558,4.370872,[23 18] ; [187  72],[28.7 12.3] ; [181.3  77.7],0
u2,1,0.05101,3.807933,[ 5 12] ; [55 45],[8.71794872 8.28205128] ; [51.28205128 48.71794872],0
p1,1,0.053605,3.72497,[ 6 35] ; [ 16 243],[ 3.00666667 37.99333333] ; [ 18.99333333 240.00666667],0
s3,1,0.05591,3.654731,[12 28] ; [119 139],[17.58389262 22.41610738] ; [113.41610738 144.58389262],0
b5,1,0.058025,3.592941,[20 21] ; [167  93],[25.4717608 15.5282392] ; [161.5282392  98.4717608],0
n3,1,0.064145,3.426829,[ 8 11] ; [49 26],[11.5212766  7.4787234] ; [45.4787234 29.5212766],0
s2,1,0.087558,2.918711,[ 9 32] ; [ 92 167],[13.80333333 27.19666667] ; [ 87.19666667 171.80333333],0
p3,1,0.092315,2.833533,[10 31] ; [ 98 160],[14.80936455 26.19063545] ; [ 93.19063545 164.80936455],0
n4,1,0.115149,2.482094,[24 17] ; [184  76],[28.33222591 12.66777409] ; [179.66777409  80.33222591],0
b1,1,0.130792,2.283083,[23 18] ; [113 147],[18.52491694 22.47508306] ; [117.47508306 142.52491694],0
a5,1,0.147088,2.102198,[21 20] ; [164  96],[25.19933555 15.80066445] ; [159.80066445 100.19933555],0
u1,1,0.162473,1.951055,[ 2 39] ; [ 32 228],[ 4.63122924 36.36877076] ; [ 29.36877076 230.63122924],0
b3,1,0.214449,1.541134,[11 14] ; [ 49 107],[ 8.28729282 16.71270718] ; [ 51.71270718 104.28729282],0
b2,1,0.214449,1.541134,[11 14] ; [ 49 107],[ 8.28729282 16.71270718] ; [ 51.71270718 104.28729282],0
a2,1,0.223485,1.481851,[ 4 37] ; [ 45 215],[ 6.6744186 34.3255814] ; [ 42.3255814 217.6744186],0
a4,1,0.353305,0.86155,[12 28] ; [ 97 161],[14.63087248 25.36912752] ; [ 94.36912752 163.63087248],0
n5,1,0.356837,0.848996,[26 15] ; [182  76],[28.52173913 12.47826087] ; [179.47826087  78.52173913],0
v1,1,0.384923,0.754921,[10 31] ; [ 79 175],[12.36949153 28.63050847] ; [ 76.63050847 177.36949153],0
d2,1,0.47664,0.50654,[14 26] ; [106 153],[16.05351171 23.94648829] ; [103.94648829 155.05351171],0
s4,1,0.603944,0.269089,[ 7 34] ; [ 36 221],[ 5.91610738 35.08389262] ; [ 37.08389262 219.91610738],0
b4,1,0.651415,0.20412,[23 18] ; [136 124],[21.65780731 19.34219269] ; [137.34219269 122.65780731],0
p5,1,0.697845,0.150724,[ 2 38] ; [ 17 240],[ 2.55892256 37.44107744] ; [ 16.44107744 240.55892256],0
a8,1,0.811041,0.057161,[ 5 35] ; [ 27 214],[ 4.55516014 35.44483986] ; [ 27.44483986 213.55516014],0
v3,1,0.842854,0.039301,[ 7 34] ; [ 47 209],[ 7.45454545 33.54545455] ; [ 46.54545455 209.45454545],0
a3,1,0.843992,0.038726,[24 16] ; [159  99],[24.56375839 15.43624161] ; [158.43624161  99.56375839],0
p12,1,0.91951,0.010211,[ 1 40] ; [  7 251],[ 1.09698997 39.90301003] ; [  6.90301003 251.09698997],0
n1,1,0.947266,0.004375,[ 7 12] ; [29 48],[ 7.125 11.875] ; [28.875 48.125],0
