Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,49.101449,[333  35] ; [10 14],[322.  46.] ; [21.  3.],1
v4,1,0.0,28.487601,[353  14] ; [17  7],[347.28900256  19.71099744] ; [22.71099744  1.28900256],1
r1,1,5e-06,20.71042,[288  79] ; [ 9 15],[278.76982097  88.23017903] ; [18.23017903  5.76982097],1
b1,1,0.000683,11.534633,[120 248] ; [16  8],[127.67346939 240.32653061] ; [ 8.32653061 15.67346939],1
p5,1,0.0009,11.022164,[ 31 336] ; [ 7 17],[ 35.66751918 331.33248082] ; [ 2.33248082 21.66751918],1
s3,1,0.002821,8.919713,[158 205] ; [ 3 21],[151.01550388 211.98449612] ; [ 9.98449612 14.01550388],0
d5,1,0.003139,8.724895,[293  74] ; [13 11],[287.2173913  79.7826087] ; [18.7826087  5.2173913],0
n4,1,0.007192,7.224359,[276  92] ; [12 12],[270.36734694  97.63265306] ; [17.63265306  6.36734694],0
n6,1,0.009182,6.787121,[314  53] ; [15  8],[309.5974359  57.4025641] ; [19.4025641  3.5974359],0
r3,1,0.015861,5.818274,[348  19] ; [19  4],[345.35641026  21.64358974] ; [21.64358974  1.35641026],0
a6,1,0.021752,5.265528,[265 103] ; [12 12],[260.04081633 107.95918367] ; [16.95918367  7.04081633],0
a1,1,0.031459,4.627746,[ 13 355] ; [ 3 21],[ 15.02040816 352.97959184] ; [ 0.97959184 23.02040816],0
p2,1,0.037926,4.308352,[315  50] ; [17  7],[311.51670951  53.48329049] ; [20.48329049  3.51670951],0
u3,1,0.039859,4.223881,[73 54] ; [2 7],[70.03676471 56.96323529] ; [4.96323529 4.03676471],0
a7,1,0.044356,4.04294,[281  86] ; [14 10],[276.89258312  90.10741688] ; [18.10741688  5.89258312],0
d1,1,0.051666,3.78655,[198 170] ; [ 8 16],[193.3877551 174.6122449] ; [12.6122449 11.3877551],0
a2,1,0.054382,3.700938,[ 74 294] ; [ 1 23],[ 70.40816327 297.59183673] ; [ 4.59183673 19.40816327],0
v3,1,0.072221,3.231803,[123 233] ; [ 4 20],[118.97894737 237.02105263] ; [ 8.02105263 15.97894737],0
d3,1,0.086378,2.940603,[259 107] ; [13 11],[255.26153846 110.73846154] ; [16.73846154  7.26153846],0
s6,1,0.090074,2.873053,[198 160] ; [ 9 15],[193.9947644 164.0052356] ; [13.0052356 10.9947644],0
n3,1,0.141446,2.162162,[57 17] ; [3 3],[55.5 18.5] ; [4.5 1.5],0
b4,1,0.153078,2.041311,[223 145] ; [11 13],[219.67346939 148.32653061] ; [14.32653061  9.67346939],0
d2,1,0.297245,1.086511,[146 220] ; [ 7 17],[143.58461538 222.41538462] ; [ 9.41538462 14.58461538],0
s7,1,0.302337,1.063858,[100 253] ; [ 4 18],[ 97.89866667 255.10133333] ; [ 6.10133333 15.89866667],0
p6,1,0.32168,0.982102,[110 252] ; [ 5 19],[107.84974093 254.15025907] ; [ 7.15025907 16.84974093],0
b5,1,0.373144,0.793167,[218 150] ; [12 12],[215.91836735 152.08163265] ; [14.08163265  9.91836735],0
p3,1,0.38002,0.770638,[171 195] ; [ 9 15],[168.92307692 197.07692308] ; [11.07692308 12.92307692],0
s2,1,0.440848,0.594075,[135 230] ; [ 7 17],[133.23907455 231.76092545] ; [ 8.76092545 15.23907455],0
a5,1,0.449867,0.570988,[257 111] ; [15  9],[255.34693878 112.65306122] ; [16.65306122  7.34693878],0
s5,1,0.505511,0.443348,[ 96 259] ; [ 5 19],[ 94.60422164 260.39577836] ; [ 6.39577836 17.60422164],0
u1,1,0.52411,0.405797,[ 47 321] ; [ 2 22],[ 46. 322.] ; [ 3. 21.],0
s4,1,0.532619,0.389393,[ 58 305] ; [ 5 19],[ 59.09302326 303.90697674] ; [ 3.90697674 20.09302326],0
v2,1,0.539008,0.377381,[191 160] ; [11 12],[189.57754011 161.42245989] ; [12.42245989 10.57754011],0
u2,1,0.541851,0.372121,[72 56] ; [6 3],[72.87591241 55.12408759] ; [5.12408759 3.87591241],0
p12,1,0.552537,0.352791,[ 20 347] ; [ 2 22],[ 20.64961637 346.35038363] ; [ 1.35038363 22.64961637],0
p8,1,0.56313,0.334314,[189 175] ; [11 13],[187.62886598 176.37113402] ; [12.37113402 11.62886598],0
n5,1,0.577664,0.310027,[271  95] ; [19  5],[272.15384615  93.84615385] ; [17.84615385  6.15384615],0
n2,1,0.60994,0.260262,[57 18] ; [4 2],[56.48148148 18.51851852] ; [4.51851852 1.48148148],0
s1,1,0.611936,0.257366,[  9 355] ; [ 1 23],[  9.3814433 354.6185567] ; [ 0.6185567 23.3814433],0
b2,1,0.6171,0.249965,[ 60 128] ; [3 9],[ 59.22 128.78] ; [3.78 8.22],0
b3,1,0.6171,0.249965,[ 60 128] ; [3 9],[ 59.22 128.78] ; [3.78 8.22],0
v1,1,0.722106,0.126484,[178 181] ; [11 13],[177.15665796 181.84334204] ; [11.84334204 12.15665796],0
a8,1,0.76415,0.090022,[ 36 301] ; [ 2 21],[ 35.57222222 301.42777778] ; [ 2.42777778 20.57222222],0
a4,1,0.772386,0.083668,[149 219] ; [ 9 15],[148.32653061 219.67346939] ; [ 9.67346939 14.32653061],0
p9,1,0.778751,0.078931,[341  25] ; [22  2],[340.66153846  25.33846154] ; [22.33846154  1.66153846],0
a3,1,0.794165,0.068072,[239 128] ; [15  9],[238.40920716 128.59079284] ; [15.59079284  8.40920716],0
p4,1,0.810154,0.057709,[208 159] ; [13 11],[207.43478261 159.56521739] ; [13.56521739 10.43478261],0
p7,1,0.850568,0.035492,[217 143] ; [14 10],[216.5625 143.4375] ; [14.4375  9.5625],0
p1,1,0.900109,0.015756,[ 28 339] ; [ 2 22],[ 28.15856777 338.84143223] ; [ 1.84143223 22.15856777],0
d4,1,0.905701,0.014034,[295  73] ; [19  5],[294.7755102  73.2244898] ; [19.2244898  4.7755102],0
p11,1,0.962888,0.002165,[308  60] ; [20  4],[307.91836735  60.08163265] ; [20.08163265  3.91836735],0
