Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.310059,[69 32] ; [ 9 27],[57.50364964 43.49635036] ; [20.49635036 15.50364964],1
u1,1,0.003144,8.722114,[26 76] ; [ 1 35],[19.95652174 82.04347826] ; [ 7.04347826 28.95652174],0
r1,1,0.005793,7.613568,[90 11] ; [25 11],[84.7810219 16.2189781] ; [30.2189781  5.7810219],0
r2,1,0.020638,5.3571,[100   2] ; [32  4],[97.56521739  4.43478261] ; [34.43478261  1.56521739],0
a2,1,0.03621,4.3872,[29 73] ; [ 4 32],[24.39130435 77.60869565] ; [ 8.60869565 27.39130435],0
p3,1,0.042251,4.125136,[41 61] ; [21 14],[46.16058394 55.83941606] ; [15.83941606 19.16058394],0
b1,1,0.043755,4.066002,[51 51] ; [25 11],[56.17391304 45.82608696] ; [19.82608696 16.17391304],0
d3,1,0.049271,3.866091,[74 27] ; [20 16],[69.29927007 31.70072993] ; [24.70072993 11.29927007],0
v4,1,0.073756,3.197381,[97  5] ; [31  5],[94.60869565  7.39130435] ; [33.39130435  2.60869565],0
p4,1,0.077485,3.116882,[53 48] ; [25 11],[57.50364964 43.49635036] ; [20.49635036 15.50364964],0
d2,1,0.112711,2.51579,[49 52] ; [23 13],[53.08029197 47.91970803] ; [18.91970803 17.08029197],0
d5,1,0.124716,2.357079,[87 14] ; [27  9],[84.04379562 16.95620438] ; [29.95620438  6.04379562],0
p7,1,0.173391,1.853381,[49 50] ; [22 13],[52.45522388 46.54477612] ; [18.54477612 16.45522388],0
b5,1,0.192438,1.698855,[69 33] ; [20 16],[65.7826087 36.2173913] ; [23.2173913 12.7826087],0
n1,1,0.200814,1.636446,[15 25] ; [8 6],[17.03703704 22.96296296] ; [5.96296296 8.03703704],0
p8,1,0.246058,1.345546,[31 69] ; [15 21],[33.82352941 66.17647059] ; [12.17647059 23.82352941],0
s5,1,0.252823,1.307639,[40 56] ; [19 17],[42.90909091 53.09090909] ; [16.09090909 19.90909091],0
r4,1,0.268844,1.222637,[92 10] ; [30  6],[90.17391304 11.82608696] ; [31.82608696  4.17391304],0
p2,1,0.315922,1.005757,[76 26] ; [23 12],[73.7080292 28.2919708] ; [25.2919708  9.7080292],0
p9,1,0.337133,0.921303,[71 27] ; [23 13],[68.74626866 29.25373134] ; [25.25373134 10.74626866],0
b4,1,0.348733,0.878062,[56 46] ; [23 13],[58.39130435 43.60869565] ; [20.60869565 15.39130435],0
p5,1,0.367192,0.813147,[ 9 92] ; [ 5 30],[10.39705882 90.60294118] ; [ 3.60294118 31.39705882],0
s3,1,0.389676,0.739953,[67 34] ; [21 15],[64.87591241 36.12408759] ; [23.12408759 12.87591241],0
a8,1,0.410524,0.677282,[10 79] ; [ 6 30],[11.392 77.608] ; [ 4.608 31.392],0
n2,1,0.411409,0.674724,[31 10] ; [9 5],[29.81818182 11.18181818] ; [10.18181818  3.81818182],0
r3,1,0.437889,0.601807,[93  7] ; [32  4],[91.91176471  8.08823529] ; [33.08823529  2.91176471],0
p10,1,0.441412,0.59261,[61 36] ; [20 16],[59.07518797 37.92481203] ; [21.92481203 14.07518797],0
a1,1,0.448793,0.573699,[ 5 97] ; [ 3 33],[ 5.91304348 96.08695652] ; [ 2.08695652 33.91304348],0
v3,1,0.523587,0.406822,[34 63] ; [14 20],[35.54198473 61.45801527] ; [12.45801527 21.54198473],0
n3,1,0.5274,0.399399,[30 11] ; [9 5],[29.07272727 11.92727273] ; [9.92727273 4.07272727],0
s1,1,0.639684,0.219156,[ 6 93] ; [ 3 33],[ 6.6 92.4] ; [ 2.4 33.6],0
n4,1,0.65136,0.20419,[65 36] ; [24 11],[66.09558824 34.90441176] ; [22.90441176 12.09558824],0
v1,1,0.660488,0.192931,[52 49] ; [17 19],[50.86861314 50.13138686] ; [18.13138686 17.86861314],0
d1,1,0.721534,0.127027,[56 46] ; [21 15],[56.91304348 45.08695652] ; [20.08695652 15.91304348],0
d4,1,0.723263,0.125387,[84 17] ; [29  7],[83.30656934 17.69343066] ; [29.69343066  6.30656934],0
n6,1,0.723636,0.125035,[78 23] ; [26  9],[77.23529412 23.76470588] ; [26.76470588  8.23529412],0
n5,1,0.72412,0.124579,[63 38] ; [23 12],[63.86764706 37.13235294] ; [22.13235294 12.86764706],0
b2,1,0.747542,0.103608,[14 33] ; [ 6 17],[13.42857143 33.57142857] ; [ 6.57142857 16.42857143],0
b3,1,0.747542,0.103608,[14 33] ; [ 6 17],[13.42857143 33.57142857] ; [ 6.57142857 16.42857143],0
p1,1,0.753726,0.098427,[12 89] ; [ 5 31],[12.53284672 88.46715328] ; [ 4.46715328 31.53284672],0
