Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,106.491716,[150 210] ; [208  41],[211.62561576 148.37438424] ; [146.37438424 102.62561576],1
v1,1,0.0,41.94408,[163 195] ; [180  70],[201.96381579 156.03618421] ; [141.03618421 108.96381579],1
s8,1,3e-06,21.700235,[131 238] ; [136 114],[159.16478191 209.83521809] ; [107.83521809 142.16478191],1
n5,1,2e-05,18.193277,[252 113] ; [212  40],[274.48946515  90.51053485] ; [189.51053485  62.48946515],1
p3,1,2.4e-05,17.843029,[161 208] ; [154  99],[186.87299035 182.12700965] ; [128.12700965 124.87299035],1
s7,1,4.2e-05,16.786048,[141 210] ; [137 102],[165.38644068 185.61355932] ; [112.61355932 126.38644068],1
n4,1,6.4e-05,15.977274,[273  95] ; [221  32],[292.74074074  75.25925926] ; [201.25925926  51.74074074],1
d1,1,0.000168,14.156903,[188 182] ; [167  86],[210.83467095 159.16532905] ; [144.16532905 108.83467095],1
p12,1,0.000485,12.173507,[ 19 348] ; [ 33 219],[ 30.83037157 336.16962843] ; [ 21.16962843 230.83037157],1
p10,1,0.00061,11.745089,[288  78] ; [224  27],[303.71474878  62.28525122] ; [208.28525122  42.71474878],1
p4,1,0.000874,11.076581,[209 160] ; [176  76],[228.76811594 140.23188406] ; [156.23188406  95.76811594],1
s2,1,0.00094,10.941531,[149 219] ; [135 115],[169.11326861 198.88673139] ; [114.88673139 135.11326861],1
n6,1,0.002162,9.40697,[301  66] ; [228  23],[314.14724919  52.85275081] ; [214.85275081  36.14724919],0
p8,1,0.002232,9.348428,[186 180] ; [157  91],[204.45928339 161.54071661] ; [138.54071661 109.45928339],0
p5,1,0.003642,8.454336,[ 34 336] ; [ 43 210],[ 45.73033708 324.26966292] ; [ 31.26966292 221.73033708],0
p7,1,0.005975,7.557891,[230 134] ; [183  65],[245.64052288 118.35947712] ; [167.35947712  80.64052288],0
r4,1,0.007183,7.22654,[320  50] ; [236  17],[330.20866774  39.79133226] ; [225.79133226  27.20866774],0
d5,1,0.009542,6.718466,[288  82] ; [217  35],[300.40192926  69.59807074] ; [204.59807074  47.40192926],0
p1,1,0.012913,6.181043,[ 24 344] ; [ 31 221],[ 32.64516129 335.35483871] ; [ 22.35483871 229.64516129],0
d4,1,0.015864,5.817918,[291  78] ; [217  34],[302.34193548  66.65806452] ; [205.65806452  45.34193548],0
a5,1,0.016187,5.782399,[259 111] ; [199  54],[272.00642055  97.99357945] ; [185.99357945  67.00642055],0
r1,1,0.019322,5.472091,[283  83] ; [214  38],[294.33980583  71.66019417] ; [202.66019417  49.33980583],0
a3,1,0.021861,5.256806,[251 118] ; [192  59],[263.65645161 105.34354839] ; [179.34354839  71.65645161],0
d3,1,0.023511,5.130382,[238 131] ; [185  68],[250.9437299 118.0562701] ; [172.0562701  80.9437299],0
a4,1,0.024838,5.035135,[148 221] ; [124 128],[161.62318841 207.37681159] ; [110.37681159 141.62318841],0
