Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.013875,6.053915,[ 3 45] ; [4 9],[ 5.50819672 42.49180328] ; [ 1.49180328 11.50819672],0
n6,1,0.019771,5.432004,[19 28] ; [10  3],[22.71666667 24.28333333] ; [6.28333333 6.71666667],0
v1,1,0.030083,4.704559,[11 37] ; [7 6],[14.16393443 33.83606557] ; [3.83606557 9.16393443],0
s8,1,0.066432,3.369045,[ 5 43] ; [4 9],[ 7.08196721 40.91803279] ; [ 1.91803279 11.08196721],0
r1,1,0.089359,2.885878,[17 31] ; [8 5],[19.67213115 28.32786885] ; [5.32786885 7.67213115],0
b5,1,0.103069,2.657398,[21 27] ; [9 4],[23.60655738 24.39344262] ; [6.39344262 6.60655738],0
v4,1,0.108162,2.580877,[25 23] ; [10  3],[27.54098361 20.45901639] ; [7.45901639 5.54098361],0
s2,1,0.114494,2.491063,[ 6 42] ; [4 9],[ 7.86885246 40.13114754] ; [ 2.13114754 10.86885246],0
p9,1,0.127562,2.321923,[17 28] ; [8 5],[19.39655172 25.60344828] ; [5.60344828 7.39655172],0
s7,1,0.137291,2.208057,[ 8 35] ; [5 8],[ 9.98214286 33.01785714] ; [3.01785714 9.98214286],0
p11,1,0.137952,2.200656,[12 36] ; [6 7],[14.16393443 33.83606557] ; [3.83606557 9.16393443],0
d2,1,0.146418,2.109179,[15 32] ; [7 6],[17.23333333 29.76666667] ; [4.76666667 8.23333333],0
b2,1,0.292091,1.10996,[15 18] ; [2 6],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
b3,1,0.292091,1.10996,[15 18] ; [2 6],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
n1,1,0.326359,0.963291,[12 16] ; [5 3],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
b4,1,0.329922,0.949204,[26 22] ; [9 4],[27.54098361 20.45901639] ; [7.45901639 5.54098361],0
a7,1,0.356295,0.85091,[19 29] ; [7 6],[20.45901639 27.54098361] ; [5.54098361 7.45901639],0
v3,1,0.359823,0.838509,[10 38] ; [4 8],[11.2 36.8] ; [2.8 9.2],0
n4,1,0.398567,0.712644,[27 21] ; [9 4],[28.32786885 19.67213115] ; [7.67213115 5.32786885],0
n2,1,0.422678,0.642857,[13 15] ; [5 3],[14. 14.] ; [4. 4.],0
d4,1,0.459921,0.546088,[24 24] ; [8 5],[25.18032787 22.81967213] ; [6.81967213 6.18032787],0
s4,1,0.463085,0.538427,[ 7 41] ; [ 3 10],[ 7.86885246 40.13114754] ; [ 2.13114754 10.86885246],0
p6,1,0.499026,0.457006,[ 7 40] ; [ 1 12],[ 6.26666667 40.73333333] ; [ 1.73333333 11.26666667],0
s3,1,0.506886,0.44049,[11 35] ; [4 8],[11.89655172 34.10344828] ; [3.10344828 8.89655172],0
d1,1,0.520908,0.412096,[14 34] ; [5 8],[14.95081967 33.04918033] ; [4.04918033 8.95081967],0
d5,1,0.543944,0.368279,[25 23] ; [8 5],[25.96721311 22.03278689] ; [7.03278689 5.96721311],0
p8,1,0.551802,0.354099,[14 33] ; [5 8],[14.88333333 32.11666667] ; [4.11666667 8.88333333],0
