Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9e-06,19.807669,[72  4] ; [3 4],[68.6746988  7.3253012] ; [6.3253012 0.6746988],1
p2,1,0.000679,11.545898,[71  4] ; [4 3],[68.59756098  6.40243902] ; [6.40243902 0.59756098],1
a3,1,0.001402,10.203076,[62 14] ; [2 5],[58.60240964 17.39759036] ; [5.39759036 1.60240964],0
r3,1,0.002534,9.116206,[72  2] ; [5 2],[70.34567901  3.65432099] ; [6.65432099 0.34567901],0
v2,1,0.004838,7.939024,[49 23] ; [1 6],[45.56962025 26.43037975] ; [4.43037975 2.56962025],0
a5,1,0.024191,5.080881,[61 15] ; [3 4],[58.60240964 17.39759036] ; [5.39759036 1.60240964],0
d4,1,0.040823,4.183363,[65 10] ; [4 3],[63.1097561 11.8902439] ; [5.8902439 1.1097561],0
a6,1,0.045369,4.004884,[50 25] ; [2 5],[47.56097561 27.43902439] ; [4.43902439 2.56097561],0
p6,1,0.058393,3.582442,[57 18] ; [3 4],[54.87804878 20.12195122] ; [5.12195122 1.87804878],0
a7,1,0.123794,2.368649,[54 22] ; [3 4],[52.19277108 23.80722892] ; [4.80722892 2.19277108],0
s8,1,0.124934,2.354354,[48 26] ; [2 4],[46.25 27.75] ; [3.75 2.25],0
p8,1,0.137002,2.211313,[67  9] ; [4 2],[65.80487805 10.19512195] ; [5.19512195 0.80487805],0
d5,1,0.162331,1.952381,[60 15] ; [4 3],[58.53658537 16.46341463] ; [5.46341463 1.53658537],0
v1,1,0.170622,1.877466,[50 23] ; [3 4],[48.3625 24.6375] ; [4.6375 2.3625],0
b5,1,0.175742,1.833268,[34 42] ; [5 2],[35.71084337 40.28915663] ; [3.28915663 3.71084337],0
d2,1,0.186118,1.748085,[41 34] ; [2 5],[39.32926829 35.67073171] ; [3.67073171 3.32926829],0
u2,1,0.211088,1.563946,[10  4] ; [2 3],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
s1,1,0.221674,1.493498,[ 3 73] ; [1 6],[ 3.6626506 72.3373494] ; [0.3373494 6.6626506],0
d1,1,0.290987,1.115049,[48 28] ; [3 4],[46.69879518 29.30120482] ; [4.30120482 2.69879518],0
v3,1,0.309587,1.032438,[45 27] ; [3 4],[43.74683544 28.25316456] ; [4.25316456 2.74683544],0
p4,1,0.343811,0.896168,[71  4] ; [6 1],[70.42682927  4.57317073] ; [6.57317073 0.42682927],0
v4,1,0.350751,0.870738,[70  4] ; [6 1],[69.43209877  4.56790123] ; [6.56790123 0.43209877],0
n6,1,0.36812,0.81,[70  5] ; [5 1],[69.44444444  5.55555556] ; [5.55555556 0.44444444],0
n2,1,0.382733,0.761905,[11  3] ; [1 1],[10.5  3.5] ; [1.5 0.5],0
b2,1,0.390272,0.738095,[29 27] ; [2 4],[28. 28.] ; [3. 3.],0
b3,1,0.390272,0.738095,[29 27] ; [2 4],[28. 28.] ; [3. 3.],0
r1,1,0.397898,0.71467,[63 12] ; [5 2],[62.19512195 12.80487805] ; [5.80487805 1.19512195],0
p3,1,0.397898,0.71467,[63 12] ; [5 2],[62.19512195 12.80487805] ; [5.80487805 1.19512195],0
b1,1,0.40181,0.702903,[31 45] ; [4 3],[32.04819277 43.95180723] ; [2.95180723 4.04819277],0
p1,1,0.406906,0.687823,[22 54] ; [1 6],[21.06024096 54.93975904] ; [1.93975904 5.06024096],0
b4,1,0.40891,0.681966,[42 34] ; [5 2],[43.03614458 32.96385542] ; [3.96385542 3.03614458],0
a4,1,0.40891,0.681966,[34 42] ; [2 5],[32.96385542 43.03614458] ; [3.03614458 3.96385542],0
a8,1,0.467192,0.528609,[12 57] ; [2 5],[12.71052632 56.28947368] ; [1.28947368 5.71052632],0
s3,1,0.492987,0.47,[43 31] ; [5 2],[43.85185185 30.14814815] ; [4.14814815 2.85185185],0
r4,1,0.560401,0.33901,[70  6] ; [6 1],[69.59036145  6.40963855] ; [6.40963855 0.59036145],0
r2,1,0.569223,0.323984,[69  6] ; [6 1],[68.59756098  6.40243902] ; [6.40243902 0.59756098],0
s5,1,0.574552,0.315126,[46 22] ; [4 3],[45.33333333 22.66666667] ; [4.66666667 2.33333333],0
u3,1,0.636982,0.222711,[10  4] ; [3 2],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
n3,1,0.69627,0.152381,[9 5] ; [1 1],[8.75 5.25] ; [1.25 0.75],0
u1,1,0.72645,0.122396,[15 61] ; [1 6],[14.65060241 61.34939759] ; [1.34939759 5.65060241],0
d3,1,0.745001,0.10578,[49 26] ; [5 2],[49.3902439 25.6097561] ; [4.6097561 2.3902439],0
s7,1,0.788016,0.0723,[51 20] ; [4 2],[50.71428571 20.28571429] ; [4.28571429 1.71428571],0
n1,1,0.848936,0.036281,[6 8] ; [1 1],[6.125 7.875] ; [0.875 1.125],0
a1,1,0.916574,0.010972,[12 64] ; [1 6],[11.90361446 64.09638554] ; [1.09638554 5.90361446],0
s6,1,0.964126,0.002023,[57 12] ; [5 1],[57.04 11.96] ; [4.96 1.04],0
s2,1,0.984274,0.000388,[42 32] ; [4 3],[42.02469136 31.97530864] ; [3.97530864 3.02469136],0
