Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.389231,[23 33] ; [107  33],[37.14285714 18.85714286] ; [92.85714286 47.14285714],1
a6,1,3.7e-05,17.043478,[20 36] ; [95 45],[32.85714286 23.14285714] ; [82.14285714 57.85714286],1
d5,1,0.000171,14.124192,[31 25] ; [114  26],[41.42857143 14.57142857] ; [103.57142857  36.42857143],1
p2,1,0.000596,11.788588,[29 27] ; [106  32],[38.96907216 17.03092784] ; [96.03092784 41.96907216],1
d1,1,0.00181,9.732541,[17 39] ; [77 63],[26.85714286 29.14285714] ; [67.14285714 72.85714286],0
p10,1,0.003584,8.483401,[24 31] ; [91 46],[32.94270833 22.05729167] ; [82.05729167 54.94270833],0
p9,1,0.003714,8.418708,[28 27] ; [99 37],[36.57068063 18.42931937] ; [90.42931937 45.57068063],0
a4,1,0.00676,7.335673,[26 30] ; [ 37 103],[18. 38.] ; [45. 95.],0
v4,1,0.012637,6.219225,[43 12] ; [126  12],[48.16062176  6.83937824] ; [120.83937824  17.16062176],0
d4,1,0.020358,5.380957,[39 17] ; [118  22],[44.85714286 11.14285714] ; [112.14285714  27.85714286],0
r3,1,0.025181,5.011364,[46 10] ; [130  10],[50.28571429  5.71428571] ; [125.71428571  14.28571429],0
r4,1,0.028876,4.775014,[37 19] ; [113  27],[42.85714286 13.14285714] ; [107.14285714  32.85714286],0
s1,1,0.030083,4.704521,[ 5 51] ; [  3 137],[ 2.28571429 53.71428571] ; [  5.71428571 134.28571429],0
b1,1,0.037442,4.330207,[26 30] ; [43 97],[19.71428571 36.28571429] ; [49.28571429 90.71428571],0
s6,1,0.03837,4.288555,[21 34] ; [76 63],[27.5 27.5] ; [69.5 69.5],0
a2,1,0.040872,4.181333,[ 2 54] ; [ 19 121],[ 6. 50.] ; [ 15. 125.],0
b2,1,0.045871,3.986312,[13 20] ; [15 57],[ 8.8 24.2] ; [19.2 52.8],0
b3,1,0.045871,3.986312,[13 20] ; [15 57],[ 8.8 24.2] ; [19.2 52.8],0
b5,1,0.098034,2.737241,[28 28] ; [88 52],[33.14285714 22.85714286] ; [82.85714286 57.14285714],0
n1,1,0.102722,2.662763,[ 7 12] ; [ 7 33],[ 4.50847458 14.49152542] ; [ 9.49152542 30.50847458],0
r1,1,0.112069,2.524801,[36 20] ; [105  34],[40.49230769 15.50769231] ; [100.50769231  38.49230769],0
n4,1,0.120948,2.405003,[25 31] ; [46 94],[20.28571429 35.71428571] ; [50.71428571 89.28571429],0
r2,1,0.126674,2.332799,[45 10] ; [124  14],[48.16062176  6.83937824] ; [120.83937824  17.16062176],0
n6,1,0.142846,2.147026,[28 28] ; [86 54],[32.57142857 23.42857143] ; [81.42857143 58.57142857],0
s3,1,0.156642,2.006348,[30 24] ; [61 77],[25.59375 28.40625] ; [65.40625 72.59375],0
p8,1,0.157525,1.997828,[15 41] ; [52 87],[19.24102564 36.75897436] ; [47.75897436 91.24102564],0
v3,1,0.195001,1.679426,[10 40] ; [39 93],[13.46153846 36.53846154] ; [35.53846154 96.46153846],0
u3,1,0.223181,1.483799,[11 14] ; [30 21],[13.48684211 11.51315789] ; [27.51315789 23.48684211],0
v1,1,0.298379,1.081425,[22 33] ; [43 91],[18.91534392 36.08465608] ; [46.08465608 87.91534392],0
a8,1,0.333587,0.934924,[ 2 50] ; [ 10 118],[ 3.46666667 48.53333333] ; [  8.53333333 119.46666667],0
p7,1,0.391772,0.733436,[21 35] ; [61 77],[23.67010309 32.32989691] ; [58.32989691 79.67010309],0
a1,1,0.394207,0.725926,[ 3 53] ; [  4 136],[ 2. 54.] ; [  5. 135.],0
s5,1,0.412738,0.6709,[10 43] ; [ 33 102],[12.12234043 40.87765957] ; [ 30.87765957 104.12234043],0
n3,1,0.428782,0.626121,[11  6] ; [30 10],[12.22807018  4.77192982] ; [28.77192982 11.22807018],0
a5,1,0.433724,0.612831,[31 25] ; [86 54],[33.42857143 22.57142857] ; [83.57142857 56.42857143],0
a3,1,0.457526,0.551939,[31 24] ; [87 53],[33.28205128 21.71794872] ; [84.71794872 55.28205128],0
v2,1,0.471602,0.51822,[23 30] ; [65 67],[25.21081081 27.78918919] ; [62.78918919 69.21081081],0
p1,1,0.589136,0.291695,[ 3 53] ; [  5 132],[ 2.32124352 53.67875648] ; [  5.67875648 131.32124352],0
p11,1,0.609206,0.261333,[33 23] ; [88 52],[34.57142857 21.42857143] ; [86.42857143 53.57142857],0
p12,1,0.674675,0.176182,[ 1 54] ; [  4 135],[ 1.41752577 53.58247423] ; [  3.58247423 135.41752577],0
u2,1,0.680511,0.169551,[14 11] ; [26 25],[13.15789474 11.84210526] ; [26.84210526 24.15789474],0
s7,1,0.696469,0.152172,[13 38] ; [38 96],[14.05945946 36.94054054] ; [36.94054054 97.05945946],0
p3,1,0.726339,0.1225,[17 39] ; [ 39 101],[16. 40.] ; [ 40. 100.],0
s8,1,0.758866,0.094231,[14 42] ; [ 38 102],[14.85714286 41.14285714] ; [ 37.14285714 102.85714286],0
n2,1,0.759847,0.093441,[12  7] ; [23 16],[11.46551724  7.53448276] ; [23.53448276 15.46551724],0
s2,1,0.80707,0.059638,[22 34] ; [52 87],[21.25128205 34.74871795] ; [52.74871795 86.25128205],0
b4,1,0.852528,0.034556,[34 22] ; [87 53],[34.57142857 21.42857143] ; [86.42857143 53.57142857],0
s4,1,0.856296,0.032794,[ 9 47] ; [ 24 116],[ 9.42857143 46.57142857] ; [ 23.57142857 116.42857143],0
p4,1,0.886795,0.020267,[19 37] ; [49 91],[19.42857143 36.57142857] ; [48.57142857 91.42857143],0
d2,1,0.925118,0.008834,[20 36] ; [51 89],[20.28571429 35.71428571] ; [50.71428571 89.28571429],0
