Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.26868,[24  5] ; [ 5 20],[15.57407407 13.42592593] ; [13.42592593 11.57407407],1
a5,1,0.001358,10.262176,[17 12] ; [ 4 21],[11.27777778 17.72222222] ; [ 9.72222222 15.27777778],0
r3,1,0.002576,9.085831,[25  4] ; [12 13],[19.87037037  9.12962963] ; [17.12962963  7.87037037],0
u2,1,0.009375,6.75,[10  2] ; [ 5 10],[6.66666667 5.33333333] ; [8.33333333 6.66666667],0
u3,1,0.012502,6.238187,[9 3] ; [ 4 11],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
s3,1,0.016311,5.769019,[21  8] ; [10 15],[16.64814815 12.35185185] ; [14.35185185 10.64814815],0
n5,1,0.018921,5.508807,[10 18] ; [17  8],[14.26415094 13.73584906] ; [12.73584906 12.26415094],0
r2,1,0.049424,3.860909,[24  5] ; [14 10],[20.79245283  8.20754717] ; [17.20754717  6.79245283],0
b4,1,0.05044,3.82677,[17 12] ; [ 8 17],[13.42592593 15.57407407] ; [11.57407407 13.42592593],0
v4,1,0.061447,3.497879,[22  6] ; [13 11],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
a4,1,0.072797,3.218801,[11 18] ; [ 4 21],[ 8.05555556 20.94444444] ; [ 6.94444444 18.05555556],0
s4,1,0.077713,3.112084,[ 2 27] ; [ 6 19],[ 4.2962963 24.7037037] ; [ 3.7037037 21.2962963],0
v3,1,0.080266,3.059503,[ 9 19] ; [ 3 22],[ 6.33962264 21.66037736] ; [ 5.66037736 19.33962264],0
p11,1,0.105579,2.619174,[18 11] ; [10 15],[15.03703704 13.96296296] ; [12.96296296 12.03703704],0
a3,1,0.1321,2.267654,[17 11] ; [10 15],[14.26415094 13.73584906] ; [12.73584906 12.26415094],0
a6,1,0.14386,2.136182,[15 14] ; [ 8 17],[12.35185185 16.64814815] ; [10.64814815 14.35185185],0
p3,1,0.150189,2.070327,[11 18] ; [ 5 20],[ 8.59259259 20.40740741] ; [ 7.40740741 17.59259259],0
s2,1,0.17674,1.824828,[12 17] ; [ 6 19],[ 9.66666667 19.33333333] ; [ 8.33333333 16.66666667],0
