Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.000723,11.428571,[7 3] ; [ 2 18],[3. 7.] ; [ 6. 14.],1
b2,1,0.000887,11.049107,[7 9] ; [ 1 27],[ 2.90909091 13.09090909] ; [ 5.09090909 22.90909091],1
b3,1,0.000887,11.049107,[7 9] ; [ 1 27],[ 2.90909091 13.09090909] ; [ 5.09090909 22.90909091],1
p3,1,0.005036,7.866497,[14 10] ; [10 32],[ 8.72727273 15.27272727] ; [15.27272727 26.72727273],0
p8,1,0.01024,6.592664,[15  9] ; [13 30],[10.02985075 13.97014925] ; [17.97014925 25.02985075],0
s3,1,0.031112,4.646799,[17  6] ; [40  3],[19.86363636  3.13636364] ; [37.13636364  5.86363636],0
p5,1,0.041373,4.160671,[ 5 19] ; [ 2 40],[ 2.54545455 21.45454545] ; [ 4.45454545 37.54545455],0
p4,1,0.051494,3.792121,[16  8] ; [18 25],[12.17910448 11.82089552] ; [21.82089552 21.17910448],0
p7,1,0.060499,3.523651,[19  5] ; [23 18],[15.50769231  8.49230769] ; [26.49230769 14.50769231],0
a8,1,0.076523,3.137255,[ 6 18] ; [ 3 33],[ 3.6 20.4] ; [ 5.4 30.6],0
s5,1,0.079956,3.065796,[12 11] ; [13 30],[ 8.71212121 14.28787879] ; [16.28787879 26.71212121],0
n3,1,0.083709,2.991369,[3 2] ; [13  1],[4.21052632 0.78947368] ; [11.78947368  2.21052632],0
s4,1,0.095057,2.786583,[ 4 19] ; [16 27],[ 6.96969697 16.03030303] ; [13.03030303 29.96969697],0
a5,1,0.117526,2.449991,[17  7] ; [22 21],[13.97014925 10.02985075] ; [25.02985075 17.97014925],0
n5,1,0.120503,2.410768,[20  3] ; [30 13],[17.42424242  5.57575758] ; [32.57575758 10.42424242],0
v2,1,0.131994,2.268896,[13 10] ; [16 27],[10.10606061 12.89393939] ; [18.89393939 24.10606061],0
n4,1,0.147518,2.097732,[19  5] ; [26 16],[16.36363636  7.63636364] ; [28.63636364 13.36363636],0
a4,1,0.175162,1.838197,[ 8 16] ; [ 8 35],[ 5.73134328 18.26865672] ; [10.26865672 32.73134328],0
p9,1,0.206667,1.594626,[21  3] ; [32 11],[18.98507463  5.01492537] ; [34.01492537  8.98507463],0
s7,1,0.218893,1.511617,[18  5] ; [26 15],[15.8125  7.1875] ; [28.1875 12.8125],0
d1,1,0.241117,1.374053,[ 3 21] ; [ 2 41],[ 1.79104478 22.20895522] ; [ 3.20895522 39.79104478],0
n1,1,0.254524,1.298302,[3 2] ; [4 9],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
d2,1,0.263285,1.2514,[ 8 16] ; [ 9 34],[ 6.08955224 17.91044776] ; [10.91044776 32.08955224],0
v3,1,0.277647,1.178571,[10 14] ; [12 30],[ 8. 16.] ; [14. 28.],0
a6,1,0.294345,1.099639,[16  8] ; [23 20],[13.97014925 10.02985075] ; [25.02985075 17.97014925],0
u3,1,0.300623,1.071429,[6 4] ; [ 8 12],[4.66666667 5.33333333] ; [ 9.33333333 10.66666667],0
b1,1,0.308776,1.035906,[12 12] ; [16 27],[10.02985075 13.97014925] ; [17.97014925 25.02985075],0
d5,1,0.324237,0.97178,[11 12] ; [26 17],[12.89393939 10.10606061] ; [24.10606061 18.89393939],0
p1,1,0.330467,0.947066,[ 5 19] ; [ 5 37],[ 3.63636364 20.36363636] ; [ 6.36363636 35.63636364],0
p10,1,0.343235,0.898312,[21  3] ; [32  9],[19.56923077  4.43076923] ; [33.43076923  7.56923077],0
p11,1,0.403043,0.699227,[18  6] ; [28 15],[16.47761194  7.52238806] ; [29.52238806 13.47761194],0
n2,1,0.421317,0.646639,[4 1] ; [13  1],[4.47368421 0.52631579] ; [12.52631579  1.47368421],0
s8,1,0.475337,0.509541,[15  9] ; [23 20],[13.6119403 10.3880597] ; [24.3880597 18.6119403],0
r1,1,0.478546,0.502174,[18  6] ; [28 14],[16.72727273  7.27272727] ; [29.27272727 12.72727273],0
v4,1,0.486009,0.48535,[21  3] ; [38  3],[21.78461538  2.21538462] ; [37.21538462  3.78461538],0
