Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000195,13.87901,[12 20] ; [35  9],[19.78947368 12.21052632] ; [27.21052632 16.78947368],1
r4,1,0.000286,13.157938,[ 5 27] ; [25 19],[12.63157895 19.36842105] ; [17.36842105 26.63157895],1
b5,1,0.00247,9.162681,[13 19] ; [33 11],[19.36842105 12.63157895] ; [26.63157895 17.36842105],0
v4,1,0.003216,8.680653,[16 16] ; [36  8],[21.89473684 10.10526316] ; [30.10526316 13.89473684],0
p8,1,0.01205,6.303428,[ 2 29] ; [13 30],[ 6.28378378 24.71621622] ; [ 8.71621622 34.28378378],0
p1,1,0.014184,6.015057,[ 6 26] ; [ 1 43],[ 2.94736842 29.05263158] ; [ 4.05263158 39.94736842],0
p2,1,0.033305,4.530051,[11 21] ; [26 18],[15.57894737 16.42105263] ; [21.42105263 22.57894737],0
s2,1,0.040181,4.210227,[ 6 26] ; [18 26],[10.10526316 21.89473684] ; [13.89473684 30.10526316],0
p4,1,0.044638,4.032275,[ 7 25] ; [19 24],[11.09333333 20.90666667] ; [14.90666667 28.09333333],0
a1,1,0.046348,3.968917,[ 6 26] ; [ 2 42],[ 3.36842105 28.63157895] ; [ 4.63157895 39.36842105],0
b1,1,0.102136,2.671875,[22 10] ; [22 22],[18.52631579 13.47368421] ; [25.47368421 18.52631579],0
r2,1,0.113658,2.502604,[20 11] ; [34  8],[22.93150685  8.06849315] ; [31.06849315 10.93150685],0
s8,1,0.128688,2.308264,[ 2 30] ; [ 8 36],[ 4.21052632 27.78947368] ; [ 5.78947368 38.21052632],0
v2,1,0.161624,1.958962,[ 6 25] ; [15 29],[ 8.68 22.32] ; [12.32 31.68],0
d3,1,0.168828,1.893315,[13 18] ; [25 18],[15.91891892 15.08108108] ; [22.08108108 20.91891892],0
s1,1,0.170994,1.874211,[ 3 29] ; [ 1 43],[ 1.68421053 30.31578947] ; [ 2.31578947 41.68421053],0
s6,1,0.19692,1.665069,[ 7 25] ; [15 27],[ 9.51351351 22.48648649] ; [12.48648649 29.51351351],0
d1,1,0.211571,1.560642,[ 8 24] ; [17 27],[10.52631579 21.47368421] ; [14.47368421 29.52631579],0
s5,1,0.279528,1.169383,[ 5 26] ; [11 30],[ 6.88888889 24.11111111] ; [ 9.11111111 31.88888889],0
