Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000603,11.767305,[ 99 197] ; [37 29],[111.20441989 184.79558011] ; [24.79558011 41.20441989],1
p5,1,0.000845,11.140359,[ 25 275] ; [15 52],[ 32.69754768 267.30245232] ; [ 7.30245232 59.69754768],1
n4,1,0.002878,8.883449,[206  95] ; [58  9],[215.93478261  85.06521739] ; [48.06521739 18.93478261],0
s7,1,0.007168,7.230268,[117 174] ; [37 26],[126.59322034 164.40677966] ; [27.40677966 35.59322034],0
b1,1,0.013321,6.126002,[117 185] ; [37 30],[126.03794038 175.96205962] ; [27.96205962 39.03794038],0
u1,1,0.024707,5.044281,[ 36 266] ; [15 52],[ 41.7398374 260.2601626] ; [ 9.2601626 57.7398374],0
p3,1,0.031999,4.598544,[123 178] ; [37 30],[130.86956522 170.13043478] ; [29.13043478 37.86956522],0
s6,1,0.035135,4.438623,[183 112] ; [50 16],[190.40166205 104.59833795] ; [42.59833795 23.40166205],0
n2,1,0.093582,2.811643,[58 27] ; [11  1],[60.46391753 24.53608247] ; [8.53608247 3.46391753],0
n6,1,0.097321,2.74891,[244  57] ; [60  7],[248.65217391  52.34782609] ; [55.34782609 11.65217391],0
r4,1,0.122039,2.390955,[270  32] ; [64  3],[273.35501355  28.64498645] ; [60.64498645  6.35501355],0
r1,1,0.122431,2.385939,[214  86] ; [54 13],[219.07356948  80.92643052] ; [48.92643052 18.07356948],0
s8,1,0.125191,2.351146,[109 192] ; [31 36],[114.51086957 186.48913043] ; [25.48913043 41.51086957],0
p2,1,0.160709,1.96754,[251  50] ; [51 16],[247.01630435  53.98369565] ; [54.98369565 12.01630435],0
n5,1,0.161955,1.955873,[207  93] ; [52 15],[211.71662125  88.28337875] ; [47.28337875 19.71662125],0
s2,1,0.212967,1.551143,[136 164] ; [36 31],[140.59945504 159.40054496] ; [31.40054496 35.59945504],0
u3,1,0.284734,1.144354,[62 49] ; [15  7],[64.26315789 46.73684211] ; [12.73684211  9.26315789],0
p1,1,0.301312,1.06838,[ 24 276] ; [ 8 59],[ 26.15803815 273.84196185] ; [ 5.84196185 61.15803815],0
p9,1,0.336661,0.923105,[238  61] ; [49 17],[235.10410959  63.89589041] ; [51.89589041 14.10410959],0
d4,1,0.348124,0.880284,[231  71] ; [54 12],[233.88586957  68.11413043] ; [51.11413043 14.88586957],0
a7,1,0.363703,0.825068,[206  95] ; [42 25],[202.84782609  98.15217391] ; [45.15217391 21.84782609],0
v4,1,0.373028,0.793553,[284  17] ; [65  2],[285.45923913  15.54076087] ; [63.54076087  3.45923913],0
u2,1,0.385424,0.753329,[60 52] ; [14  8],[61.85074627 50.14925373] ; [12.14925373  9.85074627],0
d3,1,0.400264,0.707532,[185 115] ; [45 22],[188.01089918 111.98910082] ; [41.98910082 25.01089918],0
a8,1,0.403328,0.698381,[ 40 245] ; [ 6 54],[ 38. 247.] ; [ 8. 52.],0
a3,1,0.409286,0.680875,[189 112] ; [45 21],[191.91825613 109.08174387] ; [42.08174387 23.91825613],0
s3,1,0.466658,0.529877,[161 141] ; [39 28],[163.68563686 138.31436314] ; [36.31436314 30.68563686],0
d1,1,0.515242,0.423408,[149 153] ; [36 31],[151.40921409 150.59078591] ; [33.59078591 33.40921409],0
a5,1,0.524865,0.404323,[195 107] ; [46 21],[197.24119241 104.75880759] ; [43.75880759 23.24119241],0
n3,1,0.546358,0.363882,[55 28] ; [9 3],[55.91578947 27.08421053] ; [8.08421053 3.91578947],0
p4,1,0.559227,0.341044,[166 135] ; [39 27],[168.13351499 132.86648501] ; [36.86648501 29.13351499],0
r2,1,0.567026,0.327684,[275  24] ; [63  4],[276.12568306  22.87431694] ; [61.87431694  5.12568306],0
d2,1,0.57584,0.313009,[128 173] ; [31 36],[130.05163043 170.94836957] ; [28.94836957 38.05163043],0
b4,1,0.579404,0.307199,[169 133] ; [35 32],[166.95934959 135.04065041] ; [37.04065041 29.95934959],0
p7,1,0.582875,0.30161,[173 123] ; [41 25],[174.98342541 121.01657459] ; [39.01657459 26.98342541],0
a6,1,0.600159,0.274757,[188 114] ; [44 23],[189.87533875 112.12466125] ; [42.12466125 24.87533875],0
p11,1,0.60198,0.27202,[230  72] ; [49 18],[228.34146341  73.65853659] ; [50.65853659 16.34146341],0
p6,1,0.620929,0.244564,[104 196] ; [25 41],[105.73770492 194.26229508] ; [23.26229508 42.73770492],0
a1,1,0.639444,0.21947,[ 10 292] ; [ 3 64],[ 10.6395664 291.3604336] ; [ 2.3604336 64.6395664],0
b5,1,0.692692,0.156187,[186 116] ; [43 24],[187.4200542 114.5799458] ; [41.5799458 25.4200542],0
d5,1,0.708062,0.140221,[226  75] ; [51 15],[227.1852861  73.8147139] ; [49.8147139 16.1852861],0
p12,1,0.750523,0.101092,[ 15 284] ; [ 4 63],[ 15.52185792 283.47814208] ; [ 3.47814208 63.52185792],0
a2,1,0.752131,0.099749,[ 58 244] ; [14 53],[ 58.92682927 243.07317073] ; [13.07317073 53.92682927],0
a4,1,0.753855,0.09832,[124 177] ; [29 38],[125.14402174 175.85597826] ; [27.85597826 39.14402174],0
s5,1,0.775829,0.081088,[ 88 205] ; [21 45],[ 88.96100279 204.03899721] ; [20.03899721 45.96100279],0
s4,1,0.830634,0.045748,[ 62 235] ; [13 53],[ 61.36363636 235.63636364] ; [13.63636364 52.36363636],0
p8,1,0.834801,0.043492,[148 153] ; [32 35],[147.22826087 153.77173913] ; [32.77173913 34.22826087],0
n1,1,0.942469,0.005208,[33 52] ; [4 6],[33.10526316 51.89473684] ; [3.89473684 6.10526316],0
s1,1,0.943414,0.005038,[ 13 286] ; [ 3 63],[ 13.10684932 285.89315068] ; [ 2.89315068 63.10684932],0
p10,1,0.965824,0.001836,[222  76] ; [49 17],[221.86263736  76.13736264] ; [49.13736264 16.86263736],0
b2,1,0.966357,0.001779,[ 60 111] ; [17 31],[ 60.12328767 110.87671233] ; [16.87671233 31.12328767],0
b3,1,0.966357,0.001779,[ 60 111] ; [17 31],[ 60.12328767 110.87671233] ; [16.87671233 31.12328767],0
