Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,95.96256,[ 92 125] ; [473 131],[149.3361754  67.6638246] ; [415.6638246 188.3361754],1
d3,1,0.0,81.099986,[ 98 119] ; [472 133],[150.47445255  66.52554745] ; [419.52554745 185.47445255],1
a2,1,0.0,36.789031,[ 20 197] ; [181 426],[ 52.93325243 164.06674757] ; [148.06674757 458.93325243],1
u1,1,0.0,26.885462,[ 15 202] ; [139 468],[ 40.55582524 176.44417476] ; [113.44417476 493.55582524],1
b5,1,0.0,25.84188,[100 117] ; [399 208],[131.41140777  85.58859223] ; [367.58859223 239.41140777],1
d1,1,0.000245,13.452636,[106 111] ; [383 224],[128.77791262  88.22208738] ; [360.22208738 246.77791262],1
p2,1,0.001165,10.544595,[162  52] ; [516  88],[177.37408313  36.62591687] ; [500.62591687 103.37408313],0
d5,1,0.005139,7.82972,[162  54] ; [506  99],[175.74665043  40.25334957] ; [492.25334957 112.74665043],0
p4,1,0.009728,6.684044,[111 102] ; [374 227],[126.91031941  86.08968059] ; [358.08968059 242.91031941],0
d4,1,0.010619,6.527972,[165  50] ; [511  94],[177.24390244  37.75609756] ; [498.75609756 106.24390244],0
v2,1,0.017795,5.616178,[104 104] ; [345 235],[118.5177665  89.4822335] ; [330.4822335 249.5177665],0
s5,1,0.018391,5.558469,[ 85 118] ; [191 393],[ 71.19186785 131.80813215] ; [204.80813215 379.19186785],0
b3,1,0.020156,5.398296,[64 74] ; [127 235],[52.716 85.284] ; [138.284 223.716],0
b2,1,0.020156,5.398296,[64 74] ; [127 235],[52.716 85.284] ; [138.284 223.716],0
r1,1,0.029179,4.757028,[177  40] ; [528  75],[186.56707317  30.43292683] ; [518.43292683  84.56707317],0
b1,1,0.03144,4.628796,[ 94 123] ; [213 394],[ 80.84830097 136.15169903] ; [226.15169903 380.84830097],0
u3,1,0.035103,4.440172,[32 32] ; [110  59],[39.00429185 24.99570815] ; [102.99570815  66.00429185],0
p10,1,0.03925,4.250003,[161  51] ; [493 105],[171.17037037  40.82962963] ; [482.82962963 115.17037037],0
p9,1,0.088428,2.902758,[172  41] ; [509  85],[179.74349442  33.25650558] ; [501.25650558  92.74349442],0
v4,1,0.109483,2.561669,[207   8] ; [596  11],[210.03041363   4.96958637] ; [592.96958637  14.03041363],0
s8,1,0.118559,2.436254,[107 108] ; [262 339],[ 97.22426471 117.77573529] ; [271.77573529 329.22426471],0
a5,1,0.139348,2.185142,[153  64] ; [459 148],[161.16990291  55.83009709] ; [450.83009709 156.16990291],0
n6,1,0.195088,1.678771,[176  38] ; [519  85],[181.82151589  32.17848411] ; [513.17848411  90.82151589],0
p8,1,0.199371,1.646975,[103 108] ; [321 274],[110.99751861 100.00248139] ; [313.00248139 281.99751861],0
b4,1,0.20279,1.622167,[119  98] ; [363 244],[126.93446602  90.06553398] ; [355.06553398 251.93446602],0
a1,1,0.329618,0.950396,[ 12 205] ; [ 24 583],[  9.48058252 207.51941748] ; [ 26.51941748 580.48058252],0
n1,1,0.345069,0.891508,[26 31] ; [45 73],[23.12571429 33.87428571] ; [47.87428571 70.12571429],0
s7,1,0.348381,0.879347,[109  99] ; [280 296],[103.20408163 104.79591837] ; [285.79591837 290.20408163],0
s4,1,0.349884,0.873878,[ 41 174] ; [ 97 499],[ 36.58446363 178.41553637] ; [101.41553637 494.58446363],0
n2,1,0.370149,0.803165,[47 11] ; [90 30],[44.64044944 13.35955056] ; [92.35955056 27.64044944],0
p12,1,0.397289,0.716516,[ 14 197] ; [ 51 551],[ 16.8696187 194.1303813] ; [ 48.1303813 553.8696187],0
s3,1,0.406718,0.688375,[128  86] ; [337 259],[122.85185185  91.14814815] ; [342.14814815 253.85185185],0
s2,1,0.46537,0.532948,[107 108] ; [316 284],[111.58895706 103.41104294] ; [311.41104294 288.58895706],0
a8,1,0.486273,0.484764,[ 26 180] ; [ 79 462],[ 28.95582329 177.04417671] ; [ 76.04417671 464.95582329],0
u2,1,0.493633,0.468597,[33 30] ; [97 72],[35.30172414 27.69827586] ; [94.69827586 74.30172414],0
v1,1,0.502948,0.44871,[112 100] ; [328 263],[116.16438356  95.83561644] ; [323.83561644 267.16438356],0
p1,1,0.585216,0.297878,[ 17 198] ; [ 55 547],[ 18.94736842 196.05263158] ; [ 53.05263158 548.94736842],0
s6,1,0.607158,0.264334,[139  68] ; [411 184],[141.95760599  65.04239401] ; [408.04239401 186.95760599],0
a3,1,0.637623,0.221865,[153  64] ; [436 168],[155.67965895  61.32034105] ; [433.32034105 170.67965895],0
r3,1,0.650357,0.205451,[211   5] ; [594  11],[211.79049939   4.20950061] ; [593.20950061  11.79049939],0
p11,1,0.686628,0.16276,[173  44] ; [476 131],[170.91383495  46.08616505] ; [478.08616505 128.91383495],0
s1,1,0.695023,0.153702,[  8 205] ; [ 19 576],[  7.11757426 205.88242574] ; [ 19.88242574 575.11757426],0
u4,1,0.706372,0.141928,[  6 211] ; [ 14 593],[  5.26699029 211.73300971] ; [ 14.73300971 592.26699029],0
d2,1,0.707482,0.140805,[103 113] ; [297 307],[105.36585366 110.63414634] ; [294.63414634 309.36585366],0
n3,1,0.714779,0.13355,[42 14] ; [93 27],[42.95454545 13.04545455] ; [92.04545455 27.95454545],0
v3,1,0.730744,0.11843,[ 81 125] ; [236 344],[ 83.08142494 122.91857506] ; [233.91857506 346.08142494],0
