Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000977,10.87006,[ 5 47] ; [7 8],[ 9.31343284 42.68656716] ; [ 2.68656716 12.31343284],1
s6,1,0.00154,10.030044,[12 40] ; [10  5],[17.07462687 34.92537313] ; [ 4.92537313 10.07462687],0
s5,1,0.003482,8.535967,[ 5 46] ; [6 8],[ 8.63076923 42.36923077] ; [ 2.36923077 11.63076923],0
p6,1,0.006572,7.386364,[ 5 45] ; [6 9],[ 8.46153846 41.53846154] ; [ 2.53846154 12.46153846],0
s3,1,0.01269,6.211765,[13 38] ; [9 6],[17. 34.] ; [ 5. 10.],0
s2,1,0.014853,5.933799,[11 41] ; [8 7],[14.74626866 37.25373134] ; [ 4.25373134 10.74626866],0
a3,1,0.021561,5.280839,[28 24] ; [13  2],[31.82089552 20.17910448] ; [9.17910448 5.82089552],0
n2,1,0.034294,4.48,[9 9] ; [9 1],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
r3,1,0.039221,4.251257,[30 22] ; [13  2],[33.37313433 18.62686567] ; [9.62686567 5.37313433],0
s4,1,0.0447,4.029928,[ 6 46] ; [ 5 10],[ 8.53731343 43.46268657] ; [ 2.46268657 12.53731343],0
p11,1,0.072097,3.234623,[21 31] ; [10  5],[24.05970149 27.94029851] ; [6.94029851 8.05970149],0
d1,1,0.077428,3.118077,[18 34] ; [9 6],[20.95522388 31.04477612] ; [6.04477612 8.95522388],0
n1,1,0.100348,2.7,[ 6 12] ; [6 3],[ 8. 10.] ; [4. 5.],0
a5,1,0.140374,2.17386,[27 25] ; [11  4],[29.49253731 22.50746269] ; [8.50746269 6.49253731],0
b4,1,0.140374,2.17386,[27 25] ; [11  4],[29.49253731 22.50746269] ; [8.50746269 6.49253731],0
d4,1,0.146892,2.104237,[31 21] ; [12  3],[33.37313433 18.62686567] ; [9.62686567 5.37313433],0
r2,1,0.153568,2.036451,[33 17] ; [12  2],[35.15625 14.84375] ; [9.84375 4.15625],0
a2,1,0.169786,1.884835,[ 4 48] ; [ 3 12],[ 5.43283582 46.56716418] ; [ 1.56716418 13.43283582],0
r4,1,0.242691,1.364894,[19 33] ; [8 7],[20.95522388 31.04477612] ; [6.04477612 8.95522388],0
a6,1,0.254071,1.300777,[26 26] ; [10  5],[27.94029851 24.05970149] ; [8.05970149 6.94029851],0
d5,1,0.273453,1.199341,[30 22] ; [11  4],[31.82089552 20.17910448] ; [9.17910448 5.82089552],0
v2,1,0.292528,1.107948,[15 34] ; [6 7],[16.59677419 32.40322581] ; [4.40322581 8.59677419],0
n5,1,0.320011,0.988903,[35 17] ; [8 7],[33.37313433 18.62686567] ; [9.62686567 5.37313433],0
u1,1,0.326044,0.964545,[ 3 49] ; [ 2 13],[ 3.88059701 48.11940299] ; [ 1.11940299 13.88059701],0
p12,1,0.34156,0.904566,[ 1 51] ; [ 1 14],[ 1.55223881 50.44776119] ; [ 0.44776119 14.55223881],0
b1,1,0.344675,0.892966,[24 28] ; [9 6],[25.6119403 26.3880597] ; [7.3880597 7.6119403],0
p3,1,0.34998,0.873529,[11 40] ; [ 5 10],[12.36363636 38.63636364] ; [ 3.63636364 11.36363636],0
v3,1,0.384851,0.755148,[10 41] ; [4 9],[11.15625 39.84375] ; [ 2.84375 10.15625],0
v1,1,0.413283,0.669336,[14 38] ; [5 8],[15.2 36.8] ; [3.8 9.2],0
p1,1,0.419376,0.652062,[ 9 43] ; [ 4 11],[10.08955224 41.91044776] ; [ 2.91044776 12.08955224],0
p9,1,0.420515,0.648875,[24 25] ; [8 5],[25.29032258 23.70967742] ; [6.70967742 6.29032258],0
b3,1,0.469111,0.524069,[13 18] ; [7 6],[14.09090909 16.90909091] ; [5.90909091 7.09090909],0
b2,1,0.469111,0.524069,[13 18] ; [7 6],[14.09090909 16.90909091] ; [5.90909091 7.09090909],0
p10,1,0.524803,0.404444,[22 28] ; [8 7],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
