Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.651321,[94 24] ; [ 8 18],[83.58333333 34.41666667] ; [18.41666667  7.58333333],1
n4,1,6.3e-05,16.005635,[95 23] ; [11 15],[86.86111111 31.13888889] ; [19.13888889  6.86111111],1
v4,1,0.001656,9.896729,[115   2] ; [22  4],[112.09090909   4.90909091] ; [24.90909091  1.09090909],0
p2,1,0.002002,9.547457,[107  10] ; [18  8],[102.27272727  14.72727273] ; [22.72727273  3.27272727],0
d2,1,0.026833,4.901553,[60 58] ; [ 7 19],[54.90277778 63.09722222] ; [12.09722222 13.90277778],0
d1,1,0.055479,3.667625,[74 44] ; [11 15],[69.65277778 48.34722222] ; [15.34722222 10.65277778],0
a5,1,0.05647,3.638146,[86 32] ; [14 12],[81.94444444 36.05555556] ; [18.05555556  7.94444444],0
s8,1,0.057703,3.602195,[35 83] ; [ 3 23],[31.13888889 86.86111111] ; [ 6.86111111 19.13888889],0
p4,1,0.074646,3.177778,[76 41] ; [12 14],[72. 45.] ; [16. 10.],0
s1,1,0.084427,2.97755,[  2 115] ; [ 2 23],[  3.29577465 113.70422535] ; [ 0.70422535 24.29577465],0
v1,1,0.123156,2.376717,[64 52] ; [10 16],[60.45070423 55.54929577] ; [13.54929577 12.45070423],0
p11,1,0.155032,2.022024,[100  18] ; [19  7],[97.51388889 20.48611111] ; [21.48611111  4.51388889],0
p10,1,0.167543,1.904794,[98 18] ; [19  7],[95.57746479 20.42253521] ; [21.42253521  4.57746479],0
p7,1,0.185702,1.751387,[89 27] ; [16  9],[86.38297872 29.61702128] ; [18.61702128  6.38297872],0
u1,1,0.192869,1.695567,[ 15 103] ; [ 1 25],[ 13.11111111 104.88888889] ; [ 2.88888889 23.11111111],0
r3,1,0.211496,1.561156,[109   9] ; [22  4],[107.34722222  10.65277778] ; [23.65277778  2.34722222],0
p3,1,0.266282,1.235802,[68 49] ; [12 14],[65.45454545 51.54545455] ; [14.54545455 11.45454545],0
p9,1,0.292123,1.109813,[99 17] ; [20  6],[97.21126761 18.78873239] ; [21.78873239  4.21126761],0
a2,1,0.297996,1.083141,[24 94] ; [ 3 23],[22.125 95.875] ; [ 4.875 21.125],0
b1,1,0.356127,0.851505,[43 75] ; [12 14],[45.06944444 72.93055556] ; [ 9.93055556 16.06944444],0
a4,1,0.389327,0.741044,[47 71] ; [ 8 18],[45.06944444 72.93055556] ; [ 9.93055556 16.06944444],0
n2,1,0.392742,0.730435,[18  5] ; [3 2],[17.25  5.75] ; [3.75 1.25],0
d4,1,0.395975,0.720515,[91 27] ; [18  8],[89.31944444 28.68055556] ; [19.68055556  6.31944444],0
v3,1,0.400725,0.70615,[49 66] ; [ 8 16],[47.15827338 67.84172662] ; [ 9.84172662 14.15827338],0
b5,1,0.420449,0.649059,[67 51] ; [17  9],[68.83333333 49.16666667] ; [15.16666667 10.83333333],0
d3,1,0.484252,0.489272,[81 37] ; [16 10],[79.48611111 38.51388889] ; [17.51388889  8.48611111],0
p5,1,0.486691,0.483835,[  9 108] ; [ 1 25],[  8.18181818 108.81818182] ; [ 1.81818182 24.18181818],0
b3,1,0.524354,0.40532,[27 45] ; [ 4 10],[25.95348837 46.04651163] ; [5.04651163 8.95348837],0
b2,1,0.524354,0.40532,[27 45] ; [ 4 10],[25.95348837 46.04651163] ; [5.04651163 8.95348837],0
n3,1,0.532528,0.389565,[17  6] ; [3 2],[16.42857143  6.57142857] ; [3.57142857 1.42857143],0
s7,1,0.542243,0.371398,[31 80] ; [ 5 18],[29.82089552 81.17910448] ; [ 6.17910448 16.82089552],0
p1,1,0.54252,0.370889,[ 13 104] ; [ 4 22],[ 13.90909091 103.09090909] ; [ 3.09090909 22.90909091],0
a3,1,0.59712,0.279361,[74 43] ; [15 11],[72.81818182 44.18181818] ; [16.18181818  9.81818182],0
a7,1,0.611573,0.257891,[85 33] ; [20  6],[86.04166667 31.95833333] ; [18.95833333  7.04166667],0
r2,1,0.641017,0.217415,[106  10] ; [23  3],[105.38028169  10.61971831] ; [23.61971831  2.38028169],0
s3,1,0.657604,0.196447,[28 88] ; [ 5 20],[27.14893617 88.85106383] ; [ 5.85106383 19.14893617],0
r4,1,0.698349,0.150196,[99 19] ; [21  5],[98.33333333 19.66666667] ; [21.66666667  4.33333333],0
s5,1,0.701843,0.146562,[ 17 101] ; [ 3 23],[ 16.38888889 101.61111111] ; [ 3.61111111 22.38888889],0
a6,1,0.719881,0.128607,[77 41] ; [16 10],[76.20833333 41.79166667] ; [16.79166667  9.20833333],0
s4,1,0.737151,0.112647,[  7 111] ; [ 2 24],[  7.375 110.625] ; [ 1.625 24.375],0
s2,1,0.742165,0.108233,[22 95] ; [ 4 21],[21.42253521 95.57746479] ; [ 4.57746479 20.42253521],0
p12,1,0.784044,0.075105,[  6 111] ; [ 1 25],[  5.72727273 111.27272727] ; [ 1.27272727 24.72727273],0
b4,1,0.846352,0.037549,[66 52] ; [14 12],[65.55555556 52.44444444] ; [14.44444444 11.55555556],0
v2,1,0.854721,0.033525,[70 46] ; [14 10],[69.6 46.4] ; [14.4  9.6],0
n1,1,0.879193,0.023102,[ 8 14] ; [2 3],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
u3,1,0.891864,0.018481,[19 25] ; [5 6],[19.2 24.8] ; [4.8 6.2],0
r1,1,0.924644,0.008946,[91 26] ; [20  6],[90.81818182 26.18181818] ; [20.18181818  5.81818182],0
p6,1,0.943512,0.005021,[43 74] ; [ 9 16],[42.84507042 74.15492958] ; [ 9.15492958 15.84507042],0
d5,1,0.982865,0.000461,[91 27] ; [20  6],[90.95833333 27.04166667] ; [20.04166667  5.95833333],0
