Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.9e-05,15.160336,[141  27] ; [21 17],[132.11650485  35.88349515] ; [29.88349515  8.11650485],1
p8,1,0.001906,9.637897,[87 82] ; [ 9 29],[78.37681159 90.62318841] ; [17.62318841 20.37681159],0
s1,1,0.002032,9.520325,[  5 161] ; [ 6 33],[  8.90731707 157.09268293] ; [ 2.09268293 36.90731707],0
n6,1,0.003392,8.583869,[136  32] ; [23 16],[129.04347826  38.95652174] ; [29.95652174  9.04347826],0
p11,1,0.003713,8.419182,[134  36] ; [22 17],[126.88995215  43.11004785] ; [29.11004785  9.88995215],0
p10,1,0.004934,7.903404,[130  36] ; [22 17],[123.08292683  42.91707317] ; [28.91707317 10.08292683],0
n4,1,0.006256,7.474918,[128  41] ; [21 18],[121.0625  47.9375] ; [27.9375 11.0625],0
s7,1,0.012924,6.179549,[96 67] ; [13 23],[89.28140704 73.71859296] ; [19.71859296 16.28140704],0
r2,1,0.01452,5.973795,[157  10] ; [32  7],[153.2184466  13.7815534] ; [35.7815534  3.2184466],0
b1,1,0.021985,5.246943,[ 62 108] ; [22 17],[ 68.32535885 101.67464115] ; [15.67464115 23.32535885],0
p4,1,0.031298,4.636533,[91 79] ; [13 25],[85. 85.] ; [19. 19.],0
p7,1,0.036844,4.35761,[119  47] ; [20 17],[113.66502463  52.33497537] ; [25.33497537 11.66502463],0
a6,1,0.061958,3.484184,[102  68] ; [17 22],[96.79425837 73.20574163] ; [22.20574163 16.79425837],0
b2,1,0.062724,3.463857,[31 64] ; [ 3 20],[27.37288136 67.62711864] ; [ 6.62711864 16.37288136],0
b3,1,0.062724,3.463857,[31 64] ; [ 3 20],[27.37288136 67.62711864] ; [ 6.62711864 16.37288136],0
p6,1,0.066206,3.374672,[ 55 112] ; [ 7 32],[ 50.26213592 116.73786408] ; [11.73786408 27.26213592],0
b5,1,0.074483,3.181345,[91 79] ; [27 12],[95.98086124 74.01913876] ; [22.01913876 16.98086124],0
s6,1,0.085787,2.951704,[132  34] ; [26 13],[127.94146341  38.05853659] ; [30.05853659  8.94146341],0
d5,1,0.093584,2.811617,[95 75] ; [16 23],[90.28708134 79.71291866] ; [20.71291866 18.28708134],0
a1,1,0.094632,2.793765,[  4 166] ; [ 3 36],[  5.6937799 164.3062201] ; [ 1.3062201 37.6937799],0
v4,1,0.096864,2.756434,[158   9] ; [34  5],[155.65048544  11.34951456] ; [36.34951456  2.65048544],0
d3,1,0.144168,2.132897,[74 96] ; [12 27],[ 69.95215311 100.04784689] ; [16.04784689 22.95215311],0
a7,1,0.16485,1.929166,[107  62] ; [20 19],[103.1875  65.8125] ; [23.8125 15.1875],0
d2,1,0.166404,1.915045,[ 24 146] ; [ 9 30],[ 26.84210526 143.15789474] ; [ 6.15789474 32.84210526],0
n5,1,0.207537,1.588525,[124  45] ; [24 14],[120.83091787  48.16908213] ; [27.16908213 10.83091787],0
b4,1,0.216963,1.524346,[97 73] ; [18 21],[93.54066986 76.45933014] ; [21.45933014 17.54066986],0
d4,1,0.228504,1.45015,[105  65] ; [20 19],[101.67464115  68.32535885] ; [23.32535885 15.67464115],0
s8,1,0.230802,1.435912,[79 91] ; [14 25],[75.64593301 94.35406699] ; [17.35406699 21.64593301],0
r3,1,0.255899,1.290807,[159   9] ; [35  4],[157.44927536  10.55072464] ; [36.55072464  2.44927536],0
s2,1,0.257009,1.284798,[115  55] ; [30  9],[117.94258373  52.05741627] ; [27.05741627 11.94258373],0
n2,1,0.305749,1.048951,[36  3] ; [9 2],[35.1  3.9] ; [9.9 1.1],0
a2,1,0.344258,0.894509,[ 11 159] ; [ 1 38],[  9.76076555 160.23923445] ; [ 2.23923445 36.76076555],0
p3,1,0.349105,0.876707,[75 95] ; [14 25],[72.3923445 97.6076555] ; [16.6076555 22.3923445],0
p5,1,0.380374,0.769492,[ 17 153] ; [ 2 35],[ 15.60386473 154.39613527] ; [ 3.39613527 33.60386473],0
a5,1,0.417714,0.656737,[95 75] ; [19 20],[92.72727273 77.27272727] ; [21.27272727 17.72727273],0
a4,1,0.448,0.575707,[ 38 131] ; [11 28],[ 39.8125 129.1875] ; [ 9.1875 29.8125],0
p12,1,0.456785,0.553761,[  8 161] ; [ 3 36],[  8.9375 160.0625] ; [ 2.0625 36.9375],0
a8,1,0.472008,0.517271,[ 25 134] ; [ 8 31],[ 26.5 132.5] ; [ 6.5 32.5],0
p1,1,0.504985,0.444444,[ 12 157] ; [ 4 35],[ 13. 156.] ; [ 3. 36.],0
n3,1,0.521215,0.411489,[31  8] ; [7 3],[30.24489796  8.75510204] ; [7.75510204 2.24489796],0
s4,1,0.556161,0.346395,[ 36 133] ; [10 29],[ 37.375 131.625] ; [ 8.625 30.375],0
u2,1,0.586946,0.295139,[31 37] ; [9 8],[32. 36.] ; [8. 9.],0
v3,1,0.602231,0.271644,[ 56 112] ; [11 27],[ 54.6407767 113.3592233] ; [12.3592233 25.6407767],0
v2,1,0.653672,0.201302,[74 87] ; [19 19],[75.24120603 85.75879397] ; [17.75879397 20.24120603],0
r4,1,0.762451,0.091363,[147  23] ; [33  6],[146.41148325  23.58851675] ; [33.58851675  5.41148325],0
u3,1,0.780276,0.077818,[38 31] ; [10  7],[38.51162791 30.48837209] ; [9.48837209 7.51162791],0
a3,1,0.804449,0.061303,[99 70] ; [22 17],[98.3125 70.6875] ; [22.6875 16.3125],0
r1,1,0.857339,0.032314,[123  45] ; [28 11],[122.55072464  45.44927536] ; [28.44927536 10.55072464],0
n1,1,0.929018,0.007935,[15 24] ; [4 6],[15.12244898 23.87755102] ; [3.87755102 6.12244898],0
v1,1,0.977462,0.000798,[79 84] ; [19 20],[79.07920792 83.92079208] ; [18.92079208 20.07920792],0
s5,1,0.98056,0.000594,[ 54 109] ; [13 26],[ 54.06435644 108.93564356] ; [12.93564356 26.06435644],0
