Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,90.003913,[ 5 47] ; [214  63],[34.61398176 17.38601824] ; [184.38601824  92.61398176],1
d4,1,0.0,46.988245,[29 23] ; [254  23],[44.72948328  7.27051672] ; [238.27051672  38.72948328],1
d3,1,2.6e-05,17.709393,[23 29] ; [204  73],[35.87841945 16.12158055] ; [191.12158055  85.87841945],1
a4,1,5.3e-05,16.326202,[11 41] ; [143 134],[24.34042553 27.65957447] ; [129.65957447 147.34042553],1
d2,1,8.4e-05,15.455937,[16 36] ; [167 110],[28.92401216 23.07598784] ; [154.07598784 122.92401216],1
a5,1,0.000161,14.242558,[32 20] ; [233  44],[41.88449848 10.11550152] ; [223.11550152  53.88449848],1
n4,1,0.000275,13.235025,[35 17] ; [242  35],[43.78115502  8.21884498] ; [233.21884498  43.78115502],1
a3,1,0.000777,11.295623,[32 20] ; [227  49],[41.06097561 10.93902439] ; [217.93902439  58.06097561],1
r2,1,0.001603,9.955767,[44  7] ; [264   9],[48.48148148  2.51851852] ; [259.51851852  13.48148148],0
p1,1,0.002624,9.051734,[10 42] ; [ 18 258],[ 4.43902439 47.56097561] ; [ 23.56097561 252.43902439],0
u1,1,0.010359,6.572143,[ 4 48] ; [ 65 212],[10.90577508 41.09422492] ; [ 58.09422492 218.90577508],0
r4,1,0.014495,5.976871,[44  8] ; [261  16],[48.20668693  3.79331307] ; [256.79331307  20.20668693],0
a2,1,0.026308,4.935666,[ 7 45] ; [ 78 199],[13.43465046 38.56534954] ; [ 71.56534954 205.43465046],0
r1,1,0.033667,4.511557,[38 14] ; [234  41],[43.25382263  8.74617737] ; [228.74617737  46.25382263],0
v3,1,0.046835,3.951301,[18 32] ; [136 129],[24.44444444 25.55555556] ; [129.55555556 135.44444444],0
v2,1,0.067943,3.332036,[24 24] ; [170  96],[29.65605096 18.34394904] ; [164.34394904 101.65605096],0
s6,1,0.074296,3.185467,[39 13] ; [233  41],[43.38650307  8.61349693] ; [228.61349693  45.38650307],0
n5,1,0.08152,3.03434,[38 14] ; [229  46],[42.4587156  9.5412844] ; [224.5412844  50.4587156],0
r3,1,0.088582,2.899946,[49  3] ; [272   5],[50.73556231  1.26443769] ; [270.26443769   6.73556231],0
n3,1,0.129931,2.293326,[9 1] ; [35 18],[6.98412698 3.01587302] ; [37.01587302 15.98412698],0
s2,1,0.154361,2.028615,[32 20] ; [195  78],[36.32 15.68] ; [190.68  82.32],0
s5,1,0.15519,2.020485,[16 33] ; [115 149],[20.50798722 28.49201278] ; [110.49201278 153.50798722],0
u3,1,0.171313,1.871415,[11  9] ; [36 14],[13.42857143  6.57142857] ; [33.57142857 16.42857143],0
v1,1,0.19232,1.699756,[28 23] ; [171  94],[32.11708861 18.88291139] ; [166.88291139  98.11708861],0
a1,1,0.19438,1.684102,[ 1 51] ; [ 18 259],[ 3.00303951 48.99696049] ; [ 15.99696049 261.00303951],0
p8,1,0.208871,1.579234,[37 15] ; [168 103],[33.00309598 18.99690402] ; [171.99690402  99.00309598],0
a7,1,0.211083,1.563983,[32 20] ; [194  82],[35.82926829 16.17073171] ; [190.17073171  85.82926829],0
n6,1,0.21937,1.508488,[43  9] ; [245  31],[45.65853659  6.34146341] ; [242.34146341  33.65853659],0
p12,1,0.227144,1.458658,[ 9 43] ; [ 31 243],[ 6.3803681 45.6196319] ; [ 33.6196319 240.3803681],0
p6,1,0.303171,1.060196,[21 31] ; [131 141],[24.39506173 27.60493827] ; [127.60493827 144.39506173],0
b1,1,0.312574,1.019768,[23 29] ; [102 175],[19.75683891 32.24316109] ; [105.24316109 171.75683891],0
b2,1,0.327224,0.959851,[20 18] ; [ 88 112],[17.24369748 20.75630252] ; [ 90.75630252 109.24369748],0
b3,1,0.327224,0.959851,[20 18] ; [ 88 112],[17.24369748 20.75630252] ; [ 90.75630252 109.24369748],0
v4,1,0.360309,0.836815,[48  3] ; [267   9],[49.12844037  1.87155963] ; [265.87155963  10.12844037],0
p4,1,0.384349,0.756746,[33 19] ; [192  84],[35.67073171 16.32926829] ; [189.32926829  86.67073171],0
p2,1,0.457299,0.552498,[43  9] ; [239  37],[44.70731707  7.29268293] ; [237.29268293  38.70731707],0
s3,1,0.493664,0.468529,[37 15] ; [205  66],[38.95975232 13.04024768] ; [203.04024768  67.95975232],0
a6,1,0.507072,0.440105,[32 20] ; [183  93],[34.08536585 17.91463415] ; [180.91463415  95.08536585],0
p3,1,0.509987,0.434093,[29 23] ; [168 109],[31.13677812 20.86322188] ; [165.86322188 111.13677812],0
s4,1,0.52467,0.404703,[11 41] ; [ 48 227],[ 9.382263 42.617737] ; [ 49.617737 225.382263],0
b4,1,0.600601,0.274091,[28 24] ; [160 117],[29.71428571 22.28571429] ; [158.28571429 118.71428571],0
n1,1,0.605919,0.26616,[5 5] ; [21 30],[4.26229508 5.73770492] ; [21.73770492 29.26229508],0
s7,1,0.621847,0.24328,[39 11] ; [201  68],[37.61755486 12.38244514] ; [202.38244514  66.61755486],0
p7,1,0.723303,0.125349,[37 14] ; [200  67],[38.00943396 12.99056604] ; [198.99056604  68.00943396],0
b5,1,0.800704,0.063724,[30 22] ; [165 112],[30.82066869 21.17933131] ; [164.17933131 112.82066869],0
u2,1,0.809236,0.058279,[13  7] ; [34 16],[13.42857143  6.57142857] ; [33.57142857 16.42857143],0
a8,1,0.811552,0.056846,[ 8 42] ; [ 44 209],[ 8.58085809 41.41914191] ; [ 43.41914191 209.58085809],0
n2,1,0.81479,0.054874,[7 3] ; [39 14],[7.3015873 2.6984127] ; [38.6984127 14.3015873],0
p9,1,0.915267,0.01132,[48  4] ; [255  20],[48.18348624  3.81651376] ; [254.81651376  20.18348624],0
p5,1,0.938654,0.005923,[ 8 43] ; [ 44 229],[ 8.18518519 42.81481481] ; [ 43.81481481 229.18518519],0
s1,1,0.946861,0.004442,[ 2 50] ; [ 11 261],[ 2.08641975 49.91358025] ; [ 10.91358025 261.08641975],0
u4,1,0.966145,0.001801,[ 2 50] ; [ 11 266],[ 2.05471125 49.94528875] ; [ 10.94528875 266.05471125],0
p10,1,0.977286,0.000811,[47  5] ; [248  26],[47.05521472  4.94478528] ; [247.94478528  26.05521472],0
