Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,26.555639,[ 4 43] ; [16  8],[13.23943662 33.76056338] ; [ 6.76056338 17.23943662],1
s5,1,2e-06,22.243421,[ 1 45] ; [11 12],[ 8. 38.] ; [ 4. 19.],1
p6,1,0.000102,15.094591,[ 2 43] ; [10 14],[ 7.82608696 37.17391304] ; [ 4.17391304 19.82608696],1
s8,1,0.000276,13.223428,[ 3 44] ; [10 14],[ 8.6056338 38.3943662] ; [ 4.3943662 19.6056338],1
s4,1,0.000935,10.952928,[ 3 44] ; [ 9 15],[ 7.94366197 39.05633803] ; [ 4.05633803 19.94366197],1
s7,1,0.00154,10.030044,[ 5 40] ; [10 12],[10.07462687 34.92537313] ; [ 4.92537313 17.07462687],0
r4,1,0.001561,10.004775,[13 34] ; [16  8],[19.1971831 27.8028169] ; [ 9.8028169 14.1971831],0
p11,1,0.008963,6.830151,[16 31] ; [16  8],[21.18309859 25.81690141] ; [10.81690141 13.18309859],0
b4,1,0.009027,6.817574,[22 25] ; [19  5],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
s3,1,0.015623,5.844862,[10 36] ; [12 12],[14.45714286 31.54285714] ; [ 7.54285714 16.45714286],0
r3,1,0.019396,5.465446,[26 21] ; [20  4],[30.45070423 16.54929577] ; [15.54929577  8.45070423],0
v4,1,0.021904,5.25341,[24 23] ; [19  5],[28.46478873 18.53521127] ; [14.53521127  9.46478873],0
p4,1,0.023939,5.099064,[ 8 39] ; [10 14],[11.91549296 35.08450704] ; [ 6.08450704 17.91549296],0
u2,1,0.024171,5.082353,[ 3 14] ; [6 4],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
v2,1,0.024932,5.028571,[11 34] ; [11 10],[15. 30.] ; [ 7. 14.],0
p7,1,0.03198,4.599594,[10 37] ; [11 13],[13.90140845 33.09859155] ; [ 7.09859155 16.90140845],0
p8,1,0.035085,4.441048,[ 7 39] ; [ 9 15],[10.51428571 35.48571429] ; [ 5.48571429 18.51428571],0
p3,1,0.062558,3.468248,[ 8 38] ; [ 9 15],[11.17142857 34.82857143] ; [ 5.82857143 18.17142857],0
n6,1,0.092001,2.839007,[25 21] ; [18  6],[28.25714286 17.74285714] ; [14.74285714  9.25714286],0
n5,1,0.094463,2.796618,[33 14] ; [12 12],[29.78873239 17.21126761] ; [15.21126761  8.78873239],0
d4,1,0.098766,2.725365,[28 19] ; [19  5],[31.11267606 15.88732394] ; [15.88732394  8.11267606],0
b5,1,0.110658,2.544801,[24 23] ; [17  7],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
a6,1,0.152395,2.048116,[28 19] ; [10 14],[25.15492958 21.84507042] ; [12.84507042 11.15492958],0
u3,1,0.158834,1.985294,[ 4 13] ; [5 5],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
v1,1,0.189051,1.725,[11 35] ; [ 9 14],[13.33333333 32.66666667] ; [ 6.66666667 16.33333333],0
n4,1,0.202198,1.626423,[29 18] ; [11 13],[26.47887324 20.52112676] ; [13.52112676 10.47887324],0
d3,1,0.208,1.58529,[20 27] ; [14 10],[22.50704225 24.49295775] ; [11.49295775 12.50704225],0
p5,1,0.210471,1.568182,[ 1 45] ; [ 2 21],[ 2. 44.] ; [ 1. 22.],0
d5,1,0.271718,1.208055,[27 20] ; [17  7],[29.12676056 17.87323944] ; [14.87323944  9.12676056],0
d1,1,0.345032,0.891645,[18 29] ; [12 12],[19.85915493 27.14084507] ; [10.14084507 13.85915493],0
b3,1,0.381832,0.764796,[15 16] ; [ 6 11],[13.5625 17.4375] ; [7.4375 9.5625],0
b2,1,0.381832,0.764796,[15 16] ; [ 6 11],[13.5625 17.4375] ; [7.4375 9.5625],0
a1,1,0.431903,0.617701,[ 7 40] ; [ 2 22],[ 5.95774648 41.04225352] ; [ 3.04225352 20.95774648],0
r2,1,0.438093,0.601271,[29 15] ; [18  6],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
p9,1,0.492404,0.471269,[20 22] ; [13 10],[21.32307692 20.67692308] ; [11.67692308 11.32307692],0
p10,1,0.536171,0.382683,[19 26] ; [12 12],[20.2173913 24.7826087] ; [10.7826087 13.2173913],0
a2,1,0.576322,0.312219,[ 6 41] ; [ 2 22],[ 5.29577465 41.70422535] ; [ 2.70422535 21.29577465],0
n2,1,0.611732,0.25766,[14  9] ; [5 2],[14.56666667  8.43333333] ; [4.43333333 2.56666667],0
p12,1,0.623281,0.241283,[ 1 46] ; [ 1 23],[ 1.32394366 45.67605634] ; [ 0.67605634 23.32394366],0
a3,1,0.651779,0.203665,[30 17] ; [14 10],[29.12676056 17.87323944] ; [14.87323944  9.12676056],0
n3,1,0.665984,0.186335,[12 11] ; [3 4],[11.5 11.5] ; [3.5 3.5],0
d2,1,0.676202,0.174433,[23 22] ; [11 13],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
s1,1,0.757943,0.094977,[ 5 42] ; [ 2 22],[ 4.63380282 42.36619718] ; [ 2.36619718 21.63380282],0
p1,1,0.798084,0.065448,[ 9 38] ; [ 4 20],[ 8.6056338 38.3943662] ; [ 4.3943662 19.6056338],0
v3,1,0.815971,0.054163,[10 37] ; [ 5 16],[10.36764706 36.63235294] ; [ 4.63235294 16.36764706],0
a4,1,0.821807,0.050725,[16 30] ; [ 9 15],[16.42857143 29.57142857] ; [ 8.57142857 15.42857143],0
n1,1,0.927375,0.008308,[ 9 13] ; [3 4],[ 9.10344828 12.89655172] ; [2.89655172 4.10344828],0
a7,1,0.932409,0.007194,[23 24] ; [12 12],[23.16901408 23.83098592] ; [11.83098592 12.16901408],0
b1,1,0.932409,0.007194,[24 23] ; [12 12],[23.83098592 23.16901408] ; [12.16901408 11.83098592],0
a5,1,0.942972,0.005117,[27 20] ; [14 10],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
