Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6e-05,16.098695,[52  5] ; [27 20],[43.29807692 13.70192308] ; [35.70192308 11.29807692],1
v4,1,0.000189,13.942202,[51  4] ; [30 18],[43.25242718 11.74757282] ; [37.74757282 10.25242718],1
p10,1,0.000302,13.058202,[37 20] ; [13 32],[27.94117647 29.05882353] ; [22.05882353 22.94117647],1
p8,1,0.000392,12.571186,[28 29] ; [ 7 38],[19.55882353 37.44117647] ; [15.44117647 29.55882353],1
p2,1,0.000436,12.372891,[45 12] ; [22 26],[36.37142857 20.62857143] ; [30.62857143 17.37142857],1
r4,1,0.000923,10.975877,[44 13] ; [22 26],[35.82857143 21.17142857] ; [30.17142857 17.82857143],1
p7,1,0.007784,7.082566,[32 22] ; [15 31],[25.38 28.62] ; [21.62 24.38],0
p9,1,0.008747,6.873851,[40 17] ; [20 25],[33.52941176 23.47058824] ; [26.47058824 18.52941176],0
r1,1,0.021158,5.313765,[41 16] ; [24 24],[35.28571429 21.71428571] ; [29.71428571 18.28571429],0
s8,1,0.024268,5.075384,[16 41] ; [ 5 43],[11.4 45.6] ; [ 9.6 38.4],0
v2,1,0.024671,5.046847,[24 30] ; [10 34],[18.73469388 35.26530612] ; [15.26530612 28.73469388],0
d2,1,0.049954,3.843013,[ 6 51] ; [12 36],[ 9.77142857 47.22857143] ; [ 8.22857143 39.77142857],0
s1,1,0.053134,3.739704,[ 1 56] ; [ 5 42],[ 3.28846154 53.71153846] ; [ 2.71153846 44.28846154],0
a2,1,0.056782,3.628971,[ 1 56] ; [ 5 43],[ 3.25714286 53.74285714] ; [ 2.74285714 45.25714286],0
n2,1,0.081062,3.043481,[15  2] ; [14  8],[12.64102564  4.35897436] ; [16.35897436  5.64102564],0
b5,1,0.110608,2.545519,[35 22] ; [22 26],[30.94285714 26.05714286] ; [26.05714286 21.94285714],0
p6,1,0.130176,2.290403,[14 42] ; [ 6 40],[10.98039216 45.01960784] ; [ 9.01960784 36.98039216],0
p4,1,0.134966,2.234438,[23 33] ; [13 35],[19.38461538 36.61538462] ; [16.61538462 31.38461538],0
s6,1,0.185016,1.756864,[25 32] ; [15 33],[21.71428571 35.28571429] ; [18.28571429 29.71428571],0
a1,1,0.186966,1.741365,[ 3 54] ; [ 6 42],[ 4.88571429 52.11428571] ; [ 4.11428571 43.88571429],0
v1,1,0.209967,1.571657,[25 30] ; [16 32],[21.89320388 33.10679612] ; [19.10679612 28.89320388],0
p3,1,0.239181,1.385417,[19 38] ; [11 37],[16.28571429 40.71428571] ; [13.71428571 34.28571429],0
n1,1,0.257586,1.281686,[8 8] ; [ 7 15],[6.31578947 9.68421053] ; [ 8.68421053 13.31578947],0
u3,1,0.259135,1.273375,[16  9] ; [11 12],[14.0625 10.9375] ; [12.9375 10.0625],0
u2,1,0.262676,1.254598,[17  8] ; [12 11],[15.10416667  9.89583333] ; [13.89583333  9.10416667],0
d3,1,0.285373,1.141321,[24 33] ; [15 32],[21.375 35.625] ; [17.625 29.375],0
s3,1,0.287293,1.132263,[29 28] ; [19 28],[26.30769231 30.69230769] ; [21.69230769 25.30769231],0
s5,1,0.343345,0.897902,[10 46] ; [ 5 40],[ 8.31683168 47.68316832] ; [ 6.68316832 38.31683168],0
b2,1,0.344308,0.894325,[ 6 23] ; [ 8 17],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
b3,1,0.344308,0.894325,[ 6 23] ; [ 8 17],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
b1,1,0.423154,0.641538,[30 27] ; [29 19],[32.02857143 24.97142857] ; [26.97142857 21.02857143],0
v3,1,0.426871,0.631321,[12 45] ; [12 31],[13.68 43.32] ; [10.32 32.68],0
s7,1,0.448351,0.574818,[16 36] ; [11 35],[14.32653061 37.67346939] ; [12.67346939 33.32653061],0
a6,1,0.48402,0.489792,[33 24] ; [31 17],[34.74285714 22.25714286] ; [29.25714286 18.74285714],0
a5,1,0.487632,0.481748,[30 27] ; [22 26],[28.22857143 28.77142857] ; [23.77142857 24.22857143],0
b4,1,0.508782,0.436572,[26 31] ; [25 23],[27.68571429 29.31428571] ; [23.31428571 24.68571429],0
a3,1,0.605269,0.267122,[32 25] ; [24 23],[30.69230769 26.30769231] ; [25.30769231 21.69230769],0
n4,1,0.630248,0.231725,[30 27] ; [23 25],[28.77142857 28.22857143] ; [24.22857143 23.77142857],0
r2,1,0.666508,0.185714,[44 12] ; [36 12],[43.07692308 12.92307692] ; [36.92307692 11.07692308],0
p1,1,0.681366,0.168592,[ 6 50] ; [ 4 44],[ 5.38461538 50.61538462] ; [ 4.61538462 43.38461538],0
s4,1,0.681618,0.168311,[10 47] ; [ 7 41],[ 9.22857143 47.77142857] ; [ 7.77142857 40.22857143],0
p5,1,0.688783,0.160406,[ 2 55] ; [ 1 45],[ 1.66019417 55.33980583] ; [ 1.33980583 44.66019417],0
s2,1,0.69963,0.148857,[17 40] ; [16 32],[17.91428571 39.08571429] ; [15.08571429 32.91428571],0
a8,1,0.779414,0.078447,[ 7 47] ; [ 7 40],[ 7.48514851 46.51485149] ; [ 6.51485149 40.48514851],0
d5,1,0.788104,0.072239,[30 27] ; [24 24],[29.31428571 27.68571429] ; [24.68571429 23.31428571],0
n3,1,0.795953,0.066868,[12  5] ; [14  7],[11.63157895  5.36842105] ; [14.36842105  6.63157895],0
u1,1,0.902233,0.01509,[ 1 56] ; [ 1 47],[ 1.08571429 55.91428571] ; [ 0.91428571 47.08571429],0
n5,1,0.941795,0.005331,[27 29] ; [23 24],[27.18446602 28.81553398] ; [22.81553398 24.18446602],0
a4,1,0.958632,0.002691,[14 43] ; [12 36],[14.11428571 42.88571429] ; [11.88571429 36.11428571],0
d4,1,0.982072,0.000505,[31 26] ; [26 22],[30.94285714 26.05714286] ; [26.05714286 21.94285714],0
a7,1,0.990999,0.000127,[32 25] ; [27 21],[32.02857143 24.97142857] ; [26.97142857 21.02857143],0
