Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.128894,[24  4] ; [24 52],[12.92307692 15.07692308] ; [35.07692308 40.92307692],1
s7,1,6.8e-05,15.86561,[16 10] ; [13 55],[ 8.0212766 17.9787234] ; [20.9787234 47.0212766],1
s2,1,0.001093,10.662345,[18 11] ; [21 55],[10.77142857 18.22857143] ; [28.22857143 47.77142857],0
p10,1,0.001169,10.538305,[22  6] ; [32 43],[14.67961165 13.32038835] ; [39.32038835 35.67961165],0
p9,1,0.00183,9.712959,[23  5] ; [36 39],[16.03883495 11.96116505] ; [42.96116505 32.03883495],0
s5,1,0.004063,8.255355,[11 16] ; [10 61],[ 5.78571429 21.21428571] ; [15.21428571 55.78571429],0
u3,1,0.009556,6.715812,[15  1] ; [14 11],[11.31707317  4.68292683] ; [17.68292683  7.31707317],0
r4,1,0.014465,5.980502,[26  3] ; [50 26],[20.99047619  8.00952381] ; [55.00952381 20.99047619],0
p11,1,0.015483,5.860651,[21  8] ; [35 41],[15.46666667 13.53333333] ; [40.53333333 35.46666667],0
u2,1,0.015695,5.83673,[14  1] ; [15 11],[10.6097561  4.3902439] ; [18.3902439  7.6097561],0
s3,1,0.026859,4.899839,[19 10] ; [31 44],[13.94230769 15.05769231] ; [36.05769231 38.94230769],0
a3,1,0.049954,3.843013,[13 16] ; [50 26],[17.4 11.6] ; [45.6 30.4],0
b3,1,0.051269,3.799461,[10 11] ; [ 9 30],[ 6.65 14.35] ; [12.35 26.65],0
b2,1,0.051269,3.799461,[10 11] ; [ 9 30],[ 6.65 14.35] ; [12.35 26.65],0
s4,1,0.053332,3.733486,[ 9 20] ; [11 65],[ 5.52380952 23.47619048] ; [14.47619048 61.52380952],0
v1,1,0.096198,2.767472,[15 13] ; [27 49],[11.30769231 16.69230769] ; [30.69230769 45.30769231],0
p3,1,0.121884,2.392941,[15 14] ; [26 48],[11.54368932 17.45631068] ; [29.45631068 44.54368932],0
u1,1,0.140739,2.16986,[ 4 25] ; [ 4 72],[ 2.20952381 26.79047619] ; [ 5.79047619 70.20952381],0
p6,1,0.152142,2.050641,[ 8 21] ; [11 61],[ 5.45544554 23.54455446] ; [13.54455446 58.45544554],0
p2,1,0.162537,1.950459,[22  7] ; [46 29],[18.96153846 10.03846154] ; [49.03846154 25.96153846],0
