Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-05,19.550305,[67 97] ; [47 17],[82. 82.] ; [32. 32.],1
s6,1,3.9e-05,16.89589,[92 72] ; [53  9],[105.22123894  58.77876106] ; [39.77876106 22.22123894],1
s7,1,4.2e-05,16.7599,[58 99] ; [43 21],[71.75113122 85.24886878] ; [29.24886878 34.75113122],1
p12,1,0.000694,11.50643,[  3 162] ; [ 8 56],[  7.92576419 157.07423581] ; [ 3.07423581 60.92576419],1
s8,1,0.001029,10.775329,[ 53 113] ; [35 28],[ 63.79039301 102.20960699] ; [24.20960699 38.79039301],0
s3,1,0.001567,9.99784,[72 90] ; [41 19],[82.45945946 79.54054054] ; [30.54054054 29.45945946],0
b5,1,0.009961,6.641928,[111  55] ; [31 33],[102.48695652  63.51304348] ; [39.51304348 24.48695652],0
s4,1,0.015415,5.868421,[ 18 147] ; [15 49],[ 23.77729258 141.22270742] ; [ 9.22270742 54.77729258],0
d2,1,0.01685,5.711952,[67 99] ; [36 26],[74.99122807 91.00877193] ; [28.00877193 33.99122807],0
r2,1,0.023916,5.100678,[144  18] ; [60  1],[148.19730942  13.80269058] ; [55.80269058  5.19730942],0
a6,1,0.025219,5.008809,[119  47] ; [36 28],[111.86956522  54.13043478] ; [43.13043478 20.86956522],0
a4,1,0.032747,4.558942,[ 60 106] ; [33 31],[67.12173913 98.87826087] ; [25.87826087 38.12173913],0
a5,1,0.066729,3.36171,[109  57] ; [50 14],[114.75652174  51.24347826] ; [44.24347826 19.75652174],0
r1,1,0.08159,3.032945,[131  35] ; [56  7],[135.55458515  30.44541485] ; [51.44541485 11.55458515],0
p7,1,0.085398,2.959058,[79 81] ; [38 23],[84.70588235 75.29411765] ; [32.29411765 28.70588235],0
p5,1,0.109632,2.559514,[  5 161] ; [ 5 59],[  7.2173913 158.7826087] ; [ 2.7826087 61.2173913],0
u2,1,0.123323,2.374603,[29 22] ; [ 6 11],[26.25 24.75] ; [8.75 8.25],0
p1,1,0.154305,2.029164,[  4 162] ; [ 4 60],[  5.77391304 160.22608696] ; [ 2.22608696 61.77391304],0
b3,1,0.163543,1.941157,[22 67] ; [15 26],[25.33076923 63.66923077] ; [11.66923077 29.33076923],0
b2,1,0.163543,1.941157,[22 67] ; [15 26],[25.33076923 63.66923077] ; [11.66923077 29.33076923],0
d5,1,0.224292,1.476696,[134  32] ; [56  8],[137.13043478  28.86956522] ; [52.86956522 11.13043478],0
b1,1,0.237082,1.397863,[ 44 122] ; [22 42],[ 47.63478261 118.36521739] ; [18.36521739 45.63478261],0
r3,1,0.265644,1.239102,[157   8] ; [61  1],[158.45814978   6.54185022] ; [59.54185022  2.45814978],0
d3,1,0.294738,1.097852,[123  43] ; [43 21],[119.80869565  46.19130435] ; [46.19130435 17.80869565],0
a2,1,0.302465,1.063292,[ 29 137] ; [15 49],[ 31.75652174 134.24347826] ; [12.24347826 51.75652174],0
u1,1,0.354378,0.857717,[ 23 143] ; [12 52],[ 25.26086957 140.73913043] ; [ 9.73913043 54.26086957],0
n1,1,0.366723,0.81474,[ 9 34] ; [ 6 13],[10.40322581 32.59677419] ; [ 4.59677419 14.40322581],0
v4,1,0.366795,0.814495,[151  14] ; [58  3],[152.58849558  12.41150442] ; [56.41150442  4.58849558],0
p4,1,0.399957,0.708456,[65 98] ; [29 34],[67.79646018 95.20353982] ; [26.20353982 36.79646018],0
a8,1,0.433628,0.613086,[ 19 131] ; [ 9 44],[ 20.68965517 129.31034483] ; [ 7.31034483 45.68965517],0
p10,1,0.481238,0.496055,[120  43] ; [50 14],[122.07048458  40.92951542] ; [47.92951542 16.07048458],0
n6,1,0.507219,0.439799,[132  33] ; [52 10],[133.74449339  31.25550661] ; [50.25550661 11.74449339],0
a1,1,0.517293,0.419286,[  7 159] ; [ 4 60],[  7.93913043 158.06086957] ; [ 3.06086957 60.93913043],0
p8,1,0.528556,0.397166,[ 60 102] ; [25 35],[62.02702703 99.97297297] ; [22.97297297 37.02702703],0
v3,1,0.553397,0.351266,[77 81] ; [34 30],[79. 79.] ; [32. 32.],0
r4,1,0.603853,0.269224,[138  28] ; [55  9],[139.29565217  26.70434783] ; [53.70434783 10.29565217],0
n5,1,0.617968,0.248734,[108  56] ; [43 19],[109.57522124  54.42477876] ; [41.42477876 20.57522124],0
n3,1,0.662301,0.190741,[30 14] ; [14  5],[30.73015873 13.26984127] ; [13.26984127  5.73015873],0
v1,1,0.700779,0.147662,[90 71] ; [37 26],[91.28125 69.71875] ; [35.71875 27.28125],0
n4,1,0.746163,0.104783,[115  50] ; [46 18],[116.00436681  48.99563319] ; [44.99563319 19.00436681],0
b4,1,0.753072,0.098967,[100  66] ; [40 24],[101.04347826  64.95652174] ; [38.95652174 25.04347826],0
n2,1,0.754101,0.098117,[30 13] ; [14  5],[30.51612903 12.48387097] ; [13.48387097  5.51612903],0
p9,1,0.786652,0.073257,[128  34] ; [50 12],[128.73214286  33.26785714] ; [49.26785714 12.73214286],0
d1,1,0.792311,0.069333,[98 68] ; [39 25],[98.87826087 67.12173913] ; [38.12173913 25.87826087],0
d4,1,0.795947,0.066872,[140  26] ; [54  9],[140.62882096  25.37117904] ; [53.37117904  9.62882096],0
p6,1,0.844356,0.038543,[ 40 123] ; [16 46],[ 40.56888889 122.43111111] ; [15.43111111 46.56888889],0
p2,1,0.86881,0.027281,[128  38] ; [50 14],[128.46956522  37.53043478] ; [49.53043478 14.46956522],0
a3,1,0.87845,0.023389,[115  51] ; [45 19],[115.47826087  50.52173913] ; [44.52173913 19.47826087],0
p11,1,0.886216,0.020476,[126  40] ; [48 16],[125.5826087  40.4173913] ; [48.4173913 15.5826087],0
s1,1,0.888449,0.019675,[  3 158] ; [ 1 62],[  2.875 158.125] ; [ 1.125 61.875],0
u3,1,0.902172,0.015109,[26 25] ; [10  9],[26.22857143 24.77142857] ; [9.77142857 9.22857143],0
a7,1,0.937581,0.006133,[123  43] ; [47 16],[123.23144105  42.76855895] ; [46.76855895 16.23144105],0
