Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,1.4e-05,18.882391,[3 1] ; [ 7 86],[0.41237113 3.58762887] ; [ 9.58762887 83.41237113],1
s5,1,0.000875,11.074558,[3 1] ; [13 85],[0.62745098 3.37254902] ; [15.37254902 82.62745098],1
s8,1,0.080611,3.052532,[2 2] ; [16 83],[0.69902913 3.30097087] ; [17.30097087 81.69902913],0
p1,1,0.14007,2.177185,[1 3] ; [ 6 93],[0.27184466 3.72815534] ; [ 6.72815534 92.27184466],0
d2,1,0.149692,2.075388,[2 2] ; [20 80],[0.84615385 3.15384615] ; [21.15384615 78.84615385],0
s3,1,0.17476,1.841634,[3 1] ; [40 58],[1.68627451 2.31372549] ; [41.31372549 56.68627451],0
p4,1,0.242316,1.36707,[2 1] ; [34 66],[1.04854369 1.95145631] ; [34.95145631 65.04854369],0
s7,1,0.251277,1.316188,[2 2] ; [23 71],[1.02040816 2.97959184] ; [23.97959184 70.02040816],0
p2,1,0.254548,1.298167,[1 3] ; [54 46],[2.11538462 1.88461538] ; [52.88461538 47.11538462],0
s1,1,0.297092,1.087201,[1 3] ; [ 9 89],[0.39215686 3.60784314] ; [ 9.60784314 88.39215686],0
a7,1,0.298406,1.081302,[1 3] ; [51 48],[2.01941748 1.98058252] ; [49.98058252 49.01941748],0
d4,1,0.307821,1.04,[1 3] ; [51 49],[2. 2.] ; [50. 50.],0
p11,1,0.366187,0.816564,[1 3] ; [48 52],[1.88461538 2.11538462] ; [47.11538462 52.88461538],0
s2,1,0.376053,0.783566,[2 2] ; [29 70],[1.2038835 2.7961165] ; [29.7961165 69.2038835],0
b1,1,0.386778,0.749048,[3 1] ; [53 47],[2.15384615 1.84615385] ; [53.84615385 46.15384615],0
b5,1,0.407941,0.684793,[3 1] ; [54 46],[2.19230769 1.80769231] ; [54.80769231 45.19230769],0
p3,1,0.423365,0.640956,[2 2] ; [31 69],[1.26923077 2.73076923] ; [31.73076923 68.26923077],0
v1,1,0.451725,0.566319,[2 2] ; [32 68],[1.30769231 2.69230769] ; [32.69230769 67.30769231],0
d3,1,0.480459,0.497822,[2 2] ; [33 67],[1.34615385 2.65384615] ; [33.65384615 66.34615385],0
v2,1,0.708299,0.139982,[1 3] ; [33 64],[1.34653465 2.65346535] ; [32.65346535 64.34653465],0
a4,1,0.730334,0.118806,[1 3] ; [18 81],[0.73786408 3.26213592] ; [18.26213592 80.73786408],0
b2,1,0.748166,0.103079,[1 3] ; [19 39],[1.29032258 2.70967742] ; [18.70967742 39.29032258],0
b3,1,0.748166,0.103079,[1 3] ; [19 39],[1.29032258 2.70967742] ; [18.70967742 39.29032258],0
a5,1,0.750814,0.100848,[2 2] ; [42 58],[1.69230769 2.30769231] ; [42.30769231 57.69230769],0
b4,1,0.750814,0.100848,[2 2] ; [58 42],[2.30769231 1.69230769] ; [57.69230769 42.30769231],0
r2,1,0.773422,0.082888,[3 1] ; [80 19],[3.22330097 0.77669903] ; [79.77669903 19.22330097],0
a3,1,0.826558,0.048013,[2 2] ; [44 55],[1.78640777 2.21359223] ; [44.21359223 54.78640777],0
u3,1,0.881009,0.022407,[1 1] ; [25 31],[0.89655172 1.10344828] ; [25.10344828 30.89655172],0
p6,1,0.895946,0.017104,[1 3] ; [22 77],[0.89320388 3.10679612] ; [22.10679612 76.89320388],0
u2,1,0.899116,0.016073,[1 1] ; [25 30],[0.9122807 1.0877193] ; [25.0877193 29.9122807],0
d5,1,0.968707,0.001539,[2 2] ; [49 51],[1.96153846 2.03846154] ; [49.03846154 50.96153846],0
a6,1,1.0,0.0,[2 2] ; [50 50],[2. 2.] ; [50. 50.],0
p7,1,1.0,0.0,[2 2] ; [49 49],[2. 2.] ; [49. 49.],0
p8,1,1.0,0.0,[1 3] ; [25 75],[1. 3.] ; [25. 75.],0
