Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.002562,9.095915,[28  5] ; [31 27],[21.3956044 11.6043956] ; [37.6043956 20.3956044],0
b1,1,0.005287,7.778536,[41 44] ; [ 46 107],[31.07142857 53.92857143] ; [55.92857143 97.07142857],0
r3,1,0.021655,5.273287,[77  8] ; [149   4],[80.71428571  4.28571429] ; [145.28571429   7.71428571],0
p9,1,0.022976,5.170315,[52 31] ; [115  35],[59.48927039 23.51072961] ; [107.51072961  42.48927039],0
u2,1,0.024189,5.081009,[25  8] ; [30 28],[19.94505495 13.05494505] ; [35.05494505 22.94505495],0
p11,1,0.03339,4.525682,[49 36] ; [109  44],[56.42857143 28.57142857] ; [101.57142857  51.42857143],0
a7,1,0.037132,4.344333,[56 29] ; [119  33],[62.76371308 22.23628692] ; [112.23628692  39.76371308],0
p6,1,0.042641,4.10956,[15 66] ; [ 46 103],[21.4826087 59.5173913] ; [ 39.5173913 109.4826087],0
v2,1,0.050129,3.837145,[32 46] ; [81 67],[39. 39.] ; [74. 74.],0
a8,1,0.059014,3.564872,[ 2 77] ; [ 13 128],[ 5.38636364 73.61363636] ; [  9.61363636 131.38636364],0
p7,1,0.073622,3.20037,[38 44] ; [89 63],[44.5042735 37.4957265] ; [82.4957265 69.5042735],0
p10,1,0.112915,2.512935,[49 34] ; [104  46],[54.50214592 28.49785408] ; [98.49785408 51.50214592],0
p1,1,0.120948,2.404997,[ 9 75] ; [  8 144],[ 6.05084746 77.94915254] ; [ 10.94915254 141.05084746],0
r2,1,0.198506,1.653332,[76  9] ; [142   9],[78.51694915  6.48305085] ; [139.48305085  11.51694915],0
p3,1,0.231116,1.433978,[37 46] ; [56 97],[32.70762712 50.29237288] ; [60.29237288 92.70762712],0
s6,1,0.23788,1.393116,[42 42] ; [87 63],[46.30769231 37.69230769] ; [82.69230769 67.30769231],0
r4,1,0.269352,1.220044,[70 15] ; [134  19],[72.85714286 12.14285714] ; [131.14285714  21.85714286],0
n4,1,0.277827,1.177688,[30 55] ; [65 88],[33.92857143 51.07142857] ; [61.07142857 91.92857143],0
r1,1,0.306146,1.047229,[65 19] ; [109  44],[61.67088608 22.32911392] ; [112.32911392  40.67088608],0
n1,1,0.320425,0.987209,[ 9 19] ; [10 36],[ 7.18918919 20.81081081] ; [11.81081081 34.18918919],0
s5,1,0.321398,0.983249,[18 60] ; [ 43 104],[21.14666667 56.85333333] ; [ 39.85333333 107.14666667],0
p2,1,0.326889,0.961182,[61 23] ; [119  33],[64.06779661 19.93220339] ; [115.93220339  36.06779661],0
n3,1,0.383628,0.759044,[18  9] ; [35 11],[19.60273973  7.39726027] ; [33.39726027 12.60273973],0
v1,1,0.398138,0.713942,[35 49] ; [53 94],[32. 52.] ; [56. 91.],0
p12,1,0.416057,0.661426,[ 2 80] ; [  7 146],[ 3.14042553 78.85957447] ; [  5.85957447 147.14042553],0
s3,1,0.43815,0.601122,[43 42] ; [68 82],[40.14893617 44.85106383] ; [70.85106383 79.14893617],0
a1,1,0.489979,0.476572,[ 5 80] ; [  6 147],[ 3.92857143 81.07142857] ; [  7.07142857 145.92857143],0
s1,1,0.489979,0.476572,[ 5 80] ; [  6 147],[ 3.92857143 81.07142857] ; [  7.07142857 145.92857143],0
s4,1,0.543973,0.368225,[15 70] ; [ 32 121],[16.78571429 68.21428571] ; [ 30.21428571 122.78571429],0
a6,1,0.560649,0.338582,[56 29] ; [95 58],[53.92857143 31.07142857] ; [97.07142857 55.92857143],0
d5,1,0.570317,0.322152,[66 19] ; [113  39],[64.19831224 20.80168776] ; [114.80168776  37.19831224],0
p5,1,0.574291,0.315555,[ 3 80] ; [  8 145],[ 3.86864407 79.13135593] ; [  7.13135593 145.86864407],0
d2,1,0.605908,0.266177,[31 54] ; [61 92],[32.85714286 52.14285714] ; [59.14285714 93.85714286],0
u1,1,0.682026,0.167854,[ 8 77] ; [ 17 136],[ 8.92857143 76.07142857] ; [ 16.07142857 136.92857143],0
a4,1,0.714362,0.133959,[28 57] ; [54 99],[29.28571429 55.71428571] ; [ 52.71428571 100.28571429],0
a3,1,0.780177,0.07789,[51 34] ; [94 58],[52.00421941 32.99578059] ; [92.99578059 59.00421941],0
p4,1,0.78064,0.077554,[36 48] ; [68 84],[37.01694915 46.98305085] ; [66.98305085 85.01694915],0
d3,1,0.790574,0.070525,[59 26] ; [108  44],[59.89451477 25.10548523] ; [107.10548523  44.89451477],0
d1,1,0.801523,0.06319,[43 42] ; [80 73],[43.92857143 41.07142857] ; [79.07142857 73.92857143],0
d4,1,0.803425,0.06196,[70 15] ; [124  29],[69.28571429 15.71428571] ; [124.71428571  28.28571429],0
s2,1,0.812492,0.056269,[35 50] ; [65 87],[35.8649789 49.1350211] ; [64.1350211 87.8649789],0
s7,1,0.816823,0.053654,[25 52] ; [51 99],[25.77973568 51.22026432] ; [50.22026432 99.77973568],0
n2,1,0.834876,0.043452,[18 10] ; [30 15],[18.4109589  9.5890411] ; [29.5890411 15.4109589],0
s8,1,0.848103,0.036687,[29 56] ; [ 50 102],[28.33333333 56.66666667] ; [ 50.66666667 101.33333333],0
a2,1,0.848538,0.036475,[12 73] ; [ 23 130],[12.5 72.5] ; [ 22.5 130.5],0
b5,1,0.889302,0.019373,[53 32] ; [94 59],[52.5 32.5] ; [94.5 58.5],0
p8,1,0.958779,0.002671,[34 50] ; [61 91],[33.81355932 50.18644068] ; [61.18644068 90.81355932],0
a5,1,0.96821,0.001588,[53 32] ; [95 58],[52.85714286 32.14285714] ; [95.14285714 57.85714286],0
v3,1,0.970223,0.001393,[22 57] ; [ 41 105],[22.12 56.88] ; [ 40.88 105.12],0
b2,1,0.979571,0.000656,[13 33] ; [23 59],[12.9375 33.0625] ; [23.0625 58.9375],0
b3,1,0.979571,0.000656,[13 33] ; [23 59],[12.9375 33.0625] ; [23.0625 58.9375],0
b4,1,0.984258,0.000389,[51 34] ; [92 61],[51.07142857 33.92857143] ; [91.92857143 61.07142857],0
