Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000422,12.430736,[18 12] ; [29 83],[ 9.92957746 20.07042254] ; [37.07042254 74.92957746],1
s7,1,0.000813,11.210913,[17 11] ; [28 76],[ 9.54545455 18.45454545] ; [35.45454545 68.54545455],1
s6,1,0.00106,10.720369,[24  6] ; [52 60],[16.05633803 13.94366197] ; [59.94366197 52.05633803],0
v1,1,0.002162,9.406872,[20  8] ; [43 67],[12.7826087 15.2173913] ; [50.2173913 59.7826087],0
s4,1,0.00236,9.246392,[10 20] ; [ 12 100],[ 4.64788732 25.35211268] ; [17.35211268 94.64788732],0
s2,1,0.003736,8.407908,[19 10] ; [40 72],[12.13475177 16.86524823] ; [46.86524823 65.13475177],0
p3,1,0.020268,5.388698,[16 13] ; [35 75],[10.64028777 18.35971223] ; [40.35971223 69.64028777],0
s3,1,0.041681,4.148115,[20  9] ; [53 58],[15.12142857 13.87857143] ; [57.87857143 53.12142857],0
b3,1,0.044222,4.048084,[ 8 11] ; [12 50],[ 4.69135802 14.30864198] ; [15.30864198 46.69135802],0
b2,1,0.044222,4.048084,[ 8 11] ; [12 50],[ 4.69135802 14.30864198] ; [15.30864198 46.69135802],0
p6,1,0.053743,3.720675,[10 18] ; [20 87],[ 6.22222222 21.77777778] ; [23.77777778 83.22222222],0
a7,1,0.059987,3.53775,[16 14] ; [80 32],[20.28169014  9.71830986] ; [75.71830986 36.28169014],0
p2,1,0.117522,2.450036,[25  4] ; [80 31],[21.75  7.25] ; [83.25 27.75],0
a6,1,0.130498,2.286575,[17 13] ; [79 32],[20.42553191  9.57446809] ; [75.57446809 35.42553191],0
p10,1,0.135536,2.227927,[22  7] ; [67 43],[18.56834532 10.43165468] ; [70.43165468 39.56834532],0
p5,1,0.138032,2.199768,[ 3 26] ; [  4 107],[ 1.45 27.55] ; [  5.55 105.45],0
p12,1,0.145607,2.11768,[ 2 27] ; [  2 108],[ 0.83453237 28.16546763] ; [  3.16546763 106.83453237],0
n3,1,0.16474,1.930167,[7 6] ; [24  8],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
d4,1,0.16767,1.903657,[26  4] ; [83 28],[23.19148936  6.80851064] ; [85.80851064 25.19148936],0
p9,1,0.188762,1.727252,[23  6] ; [74 37],[20.09285714  8.90714286] ; [76.90714286 34.09285714],0
u2,1,0.218258,1.515789,[9 1] ; [27 11],[7.5 2.5] ; [28.5  9.5],0
n2,1,0.244712,1.353243,[11  2] ; [23 11],[9.40425532 3.59574468] ; [24.59574468  9.40425532],0
a4,1,0.309086,1.034577,[ 8 22] ; [41 71],[10.35211268 19.64788732] ; [38.64788732 73.35211268],0
d1,1,0.349437,0.875501,[16 14] ; [49 63],[13.73239437 16.26760563] ; [51.26760563 60.73239437],0
