Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,41.8861,[125  17] ; [154 118],[95.69565217 46.30434783] ; [183.30434783  88.69565217],1
s2,1,0.0,31.871012,[98 46] ; [106 166],[70.61538462 73.38461538] ; [133.38461538 138.61538462],1
p6,1,0.0,27.359053,[76 67] ; [ 73 196],[51.71601942 91.28398058] ; [ 97.28398058 171.71601942],1
s7,1,2e-05,18.200305,[82 55] ; [ 99 165],[61.83790524 75.16209476] ; [119.16209476 144.83790524],1
s4,1,4.2e-05,16.781137,[44 96] ; [ 39 233],[ 28.2038835 111.7961165] ; [ 54.7961165 217.2038835],1
s3,1,0.000639,11.659611,[94 49] ; [131 141],[77.53012048 65.46987952] ; [147.46987952 124.53012048],1
s8,1,0.002131,9.43287,[73 71] ; [ 96 177],[58.35971223 85.64028777] ; [110.64028777 162.35971223],0
d1,1,0.002445,9.181023,[91 53] ; [130 143],[76.31654676 67.68345324] ; [144.68345324 128.31654676],0
d4,1,0.002629,9.048881,[127  17] ; [207  66],[115.3381295  28.6618705] ; [218.6618705  54.3381295],0
p3,1,0.004952,7.897027,[79 65] ; [110 162],[65.42307692 78.57692308] ; [123.57692308 148.42307692],0
a3,1,0.00518,7.815634,[112  32] ; [176  97],[99.45323741 44.54676259] ; [188.54676259  84.45323741],0
p5,1,0.005942,7.567797,[ 20 124] ; [ 16 255],[ 12.49156627 131.50843373] ; [ 23.50843373 247.49156627],0
d2,1,0.009066,6.80976,[74 70] ; [104 169],[61.4676259 82.5323741] ; [116.5323741 156.4676259],0
b5,1,0.009969,6.640361,[73 71] ; [174  99],[85.29496403 58.70503597] ; [161.70503597 111.29496403],0
a4,1,0.010806,6.496964,[73 71] ; [103 170],[60.77697842 83.22302158] ; [115.22302158 157.77697842],0
v1,1,0.011915,6.323405,[78 64] ; [111 154],[65.94103194 76.05896806] ; [123.05896806 141.94103194],0
p12,1,0.01411,6.024347,[ 12 131] ; [  8 263],[  6.90821256 136.09178744] ; [ 13.09178744 257.90821256],0
b2,1,0.014175,6.016241,[39 49] ; [ 43 107],[30.31932773 57.68067227] ; [51.68067227 98.31932773],0
b3,1,0.014175,6.016241,[39 49] ; [ 43 107],[30.31932773 57.68067227] ; [51.68067227 98.31932773],0
p7,1,0.018766,5.523193,[100  39] ; [160 106],[89.2345679 49.7654321] ; [170.7654321  95.2345679],0
r4,1,0.021244,5.306627,[132  12] ; [228  45],[124.31654676  19.68345324] ; [235.68345324  37.31654676],0
n1,1,0.02152,5.284209,[19 15] ; [19 41],[13.74468085 20.25531915] ; [24.25531915 35.74468085],0
u1,1,0.024002,5.094522,[ 30 114] ; [ 34 239],[ 22.10071942 121.89928058] ; [ 41.89928058 231.10071942],0
a6,1,0.044991,4.018959,[89 55] ; [195  78],[98.07194245 45.92805755] ; [185.92805755  87.07194245],0
a5,1,0.045474,4.000989,[112  32] ; [187  86],[103.25179856  40.74820144] ; [195.74820144  77.25179856],0
r1,1,0.058838,3.569833,[117  26] ; [200  72],[109.2313253  33.7686747] ; [207.7686747  64.2313253],0
d5,1,0.071376,3.251099,[121  23] ; [208  64],[113.88461538  30.11538462] ; [215.11538462  56.88461538],0
a7,1,0.092955,2.822448,[98 46] ; [206  66],[105.23076923  38.76923077] ; [198.76923077  73.23076923],0
a2,1,0.095158,2.784876,[ 37 107] ; [ 51 222],[ 30.38848921 113.61151079] ; [ 57.61151079 215.38848921],0
r2,1,0.109111,2.567052,[135   6] ; [247  23],[131.05109489   9.94890511] ; [250.94890511  19.05109489],0
p1,1,0.126386,2.336338,[ 13 131] ; [ 14 258],[  9.34615385 134.65384615] ; [ 17.65384615 254.34615385],0
s1,1,0.155355,2.018867,[  6 137] ; [  5 267],[  3.79036145 139.20963855] ; [  7.20963855 264.79036145],0
d3,1,0.173818,1.8497,[103  41] ; [176  95],[96.80963855 47.19036145] ; [182.19036145  88.80963855],0
u3,1,0.178029,1.814004,[22 10] ; [53 43],[18.75 13.25] ; [56.25 39.75],0
n6,1,0.180439,1.794006,[125  18] ; [224  48],[120.25783133  22.74216867] ; [228.74216867  43.25783133],0
b4,1,0.230107,1.440202,[90 54] ; [154 119],[84.25899281 59.74100719] ; [159.74100719 113.25899281],0
a1,1,0.25284,1.307545,[  6 138] ; [  6 267],[  4.14388489 139.85611511] ; [  7.85611511 265.14388489],0
p4,1,0.333927,0.93361,[88 55] ; [154 118],[83.38795181 59.61204819] ; [158.61204819 113.38795181],0
n2,1,0.3418,0.903669,[28  6] ; [45 16],[26.12631579  7.87368421] ; [46.87368421 14.12631579],0
p11,1,0.392691,0.730592,[116  28] ; [229  44],[119.13669065  24.86330935] ; [225.86330935  47.13669065],0
r3,1,0.413103,0.669852,[135   7] ; [253  19],[133.0821256   8.9178744] ; [254.9178744  17.0821256],0
p2,1,0.465358,0.532978,[126  18] ; [230  41],[123.52771084  20.47228916] ; [232.47228916  38.52771084],0
v4,1,0.488197,0.480498,[135   7] ; [253  18],[133.40435835   8.59564165] ; [254.59564165  16.40435835],0
u2,1,0.51147,0.431058,[16 15] ; [56 40],[17.57480315 13.42519685] ; [54.42519685 41.57480315],0
n3,1,0.582712,0.30187,[23  9] ; [47 14],[24.08602151  7.91397849] ; [45.91397849 15.08602151],0
b1,1,0.58272,0.301858,[53 91] ; [108 165],[55.5971223 88.4028777] ; [105.4028777 167.5971223],0
p8,1,0.74712,0.103967,[76 66] ; [140 130],[74.44660194 67.55339806] ; [141.55339806 128.44660194],0
n4,1,0.817822,0.05306,[107  37] ; [200  73],[106.01438849  37.98561151] ; [200.98561151  72.01438849],0
a8,1,0.921863,0.009621,[ 18 115] ; [ 34 224],[ 17.68797954 115.31202046] ; [ 34.31202046 223.68797954],0
n5,1,0.925994,0.008628,[106  37] ; [199  71],[105.60532688  37.39467312] ; [199.39467312  70.60532688],0
v2,1,0.970854,0.001335,[57 84] ; [106 155],[57.17164179 83.82835821] ; [105.82835821 155.17164179],0
p9,1,0.987582,0.000242,[134  10] ; [253  19],[133.96153846  10.03846154] ; [253.03846154  18.96153846],0
