Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.35236,[104  44] ; [20 36],[89.96078431 58.03921569] ; [34.03921569 21.96078431],1
n4,1,3.5e-05,17.144354,[103  44] ; [22 35],[90.07352941 56.92647059] ; [34.92647059 22.07352941],1
s8,1,0.003374,8.593311,[63 83] ; [12 45],[53.9408867 92.0591133] ; [21.0591133 35.9408867],0
u2,1,0.00616,7.502805,[18 31] ; [14  5],[23.05882353 25.94117647] ; [ 8.94117647 10.05882353],0
p4,1,0.015947,5.808666,[74 71] ; [18 38],[66.3681592 78.6318408] ; [25.6318408 30.3681592],0
s6,1,0.017566,5.638972,[98 46] ; [28 28],[90.72 53.28] ; [35.28 20.72],0
n1,1,0.017997,5.596468,[25 27] ; [ 5 20],[20.25974026 31.74025974] ; [ 9.74025974 15.25974026],0
u3,1,0.020535,5.365798,[24 26] ; [15  4],[28.26086957 21.73913043] ; [10.73913043  8.26086957],0
n2,1,0.033455,4.522354,[41 13] ; [13 12],[36.91139241 17.08860759] ; [17.08860759  7.91139241],0
r4,1,0.040575,4.193673,[125  23] ; [41 16],[119.84390244  28.15609756] ; [46.15609756 10.84390244],0
a6,1,0.045574,3.99728,[83 65] ; [40 16],[89.23529412 58.76470588] ; [33.76470588 22.23529412],0
s7,1,0.04585,3.987112,[68 69] ; [17 34],[61.94148936 75.05851064] ; [23.05851064 27.94148936],0
u1,1,0.049961,3.842765,[ 30 118] ; [ 5 52],[ 25.26829268 122.73170732] ; [ 9.73170732 47.26829268],0
p10,1,0.05753,3.607201,[87 57] ; [24 29],[81.13705584 62.86294416] ; [29.86294416 23.13705584],0
s5,1,0.084431,2.97747,[50 92] ; [11 39],[45.11458333 96.88541667] ; [15.88541667 34.11458333],0
b5,1,0.084917,2.96819,[102  46] ; [32 25],[96.74146341 51.25853659] ; [37.25853659 19.74146341],0
p6,1,0.097904,2.739365,[48 98] ; [11 42],[ 43.28643216 102.71356784] ; [15.71356784 37.28643216],0
p7,1,0.127191,2.326459,[74 71] ; [21 33],[69.22110553 75.77889447] ; [25.77889447 28.22110553],0
b2,1,0.135317,2.23042,[24 49] ; [ 5 23],[20.96039604 52.03960396] ; [ 8.03960396 19.96039604],0
b3,1,0.135317,2.23042,[24 49] ; [ 5 23],[20.96039604 52.03960396] ; [ 8.03960396 19.96039604],0
p9,1,0.152887,2.043203,[96 46] ; [30 23],[91.75384615 50.24615385] ; [34.24615385 18.75384615],0
r2,1,0.202228,1.626212,[138   8] ; [51  6],[135.93103448  10.06896552] ; [53.06896552  3.93103448],0
p5,1,0.208946,1.578711,[ 13 134] ; [ 2 53],[ 10.91584158 136.08415842] ; [ 4.08415842 50.91584158],0
a5,1,0.22808,1.452794,[99 49] ; [33 24],[95.29756098 52.70243902] ; [36.70243902 20.29756098],0
r3,1,0.237995,1.392431,[130  17] ; [46 10],[127.44827586  19.55172414] ; [48.55172414  7.44827586],0
d1,1,0.262362,1.256249,[83 65] ; [27 30],[79.41463415 68.58536585] ; [30.58536585 26.41463415],0
p8,1,0.271625,1.208524,[53 94] ; [15 39],[49.73134328 97.26865672] ; [18.26865672 35.73134328],0
n3,1,0.28661,1.135478,[35 18] ; [18  5],[36.96052632 16.03947368] ; [16.03947368  6.96052632],0
p2,1,0.301619,1.067024,[103  44] ; [35 21],[99.93103448 47.06896552] ; [38.06896552 17.93103448],0
d2,1,0.346536,0.8861,[77 71] ; [25 31],[74. 74.] ; [28. 28.],0
p3,1,0.379562,0.77212,[58 89] ; [18 37],[55.30693069 91.69306931] ; [20.69306931 34.30693069],0
p1,1,0.399829,0.70884,[ 13 135] ; [ 3 54],[ 11.55121951 136.44878049] ; [ 4.44878049 52.55121951],0
b1,1,0.430546,0.621349,[74 74] ; [32 25],[76.52682927 71.47317073] ; [29.47317073 27.52682927],0
d3,1,0.506681,0.440915,[97 50] ; [39 16],[98.97029703 48.02970297] ; [37.02970297 17.97029703],0
s2,1,0.544584,0.367109,[74 73] ; [26 31],[72.05882353 74.94117647] ; [27.94117647 29.05882353],0
v3,1,0.562027,0.336207,[50 95] ; [15 35],[48.33333333 96.66666667] ; [16.66666667 33.33333333],0
v2,1,0.600708,0.27393,[69 76] ; [23 30],[67.37373737 77.62626263] ; [24.62626263 28.37373737],0
r1,1,0.616676,0.250567,[110  36] ; [41 16],[108.60098522  37.39901478] ; [42.39901478 14.60098522],0
v1,1,0.652089,0.203276,[64 82] ; [23 34],[62.57142857 83.42857143] ; [24.42857143 32.57142857],0
s1,1,0.654377,0.200426,[  8 138] ; [ 4 52],[  8.67326733 137.32673267] ; [ 3.32673267 52.67326733],0
a1,1,0.702244,0.146148,[  7 141] ; [ 2 55],[  6.49756098 141.50243902] ; [ 2.50243902 54.49756098],0
a4,1,0.718501,0.129934,[66 81] ; [24 33],[64.85294118 82.14705882] ; [25.14705882 31.85294118],0
b4,1,0.788064,0.072267,[80 68] ; [32 25],[80.85853659 67.14146341] ; [31.14146341 25.85853659],0
a3,1,0.788245,0.072141,[97 48] ; [37 20],[96.18811881 48.81188119] ; [37.81188119 19.18811881],0
a8,1,0.824406,0.049232,[ 13 115] ; [ 5 50],[ 12.59016393 115.40983607] ; [ 5.40983607 49.59016393],0
s4,1,0.829125,0.04658,[ 33 114] ; [12 45],[ 32.42647059 114.57352941] ; [12.57352941 44.42647059],0
a7,1,0.859404,0.031376,[105  42] ; [40 17],[104.48529412  42.51470588] ; [40.51470588 16.48529412],0
a2,1,0.898548,0.016255,[ 35 113] ; [13 44],[ 34.65365854 113.34634146] ; [13.34634146 43.65365854],0
s3,1,0.949681,0.003983,[75 71] ; [29 28],[74.79802956 71.20197044] ; [29.20197044 27.79802956],0
d4,1,0.976133,0.000895,[116  32] ; [44 12],[116.07843137  31.92156863] ; [43.92156863 12.07843137],0
d5,1,0.989138,0.000185,[118  29] ; [45 11],[118.03448276  28.96551724] ; [44.96551724 11.03448276],0
