Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.1e-05,15.309541,[10 12] ; [73 13],[16.90740741  5.09259259] ; [66.09259259 19.90740741],1
b1,1,0.003627,8.461538,[15  7] ; [30 58],[ 9. 13.] ; [36. 52.],0
n5,1,0.008135,7.003586,[10 12] ; [65 22],[15.13761468  6.86238532] ; [59.86238532 27.13761468],0
s5,1,0.024959,5.026697,[12  8] ; [28 57],[ 7.61904762 12.38095238] ; [32.38095238 52.61904762],0
a6,1,0.026655,4.913036,[ 8 14] ; [55 33],[12.6  9.4] ; [50.4 37.6],0
s8,1,0.02704,4.888273,[ 5 17] ; [43 45],[ 9.6 12.4] ; [38.4 49.6],0
p9,1,0.032534,4.570158,[14  7] ; [76 12],[17.33944954  3.66055046] ; [72.66055046 15.33944954],0
p6,1,0.040139,4.212013,[ 4 18] ; [36 50],[ 8.14814815 13.85185185] ; [31.85185185 54.14814815],0
s3,1,0.040997,4.176136,[ 9 13] ; [57 31],[13.2  8.8] ; [52.8 35.2],0
p2,1,0.064769,3.410853,[14  8] ; [72 16],[17.2  4.8] ; [68.8 19.2],0
n4,1,0.069331,3.298778,[11 11] ; [62 26],[14.6  7.4] ; [58.4 29.6],0
n6,1,0.121291,2.400568,[15  7] ; [73 15],[17.6  4.4] ; [70.4 17.6],0
d1,1,0.126118,2.339648,[ 7 15] ; [44 44],[10.2 11.8] ; [40.8 47.2],0
r3,1,0.152661,2.045455,[18  4] ; [81  7],[19.8  2.2] ; [79.2  8.8],0
b4,1,0.16749,1.905267,[11 11] ; [58 30],[13.8  8.2] ; [55.2 32.8],0
r4,1,0.228951,1.447368,[12 10] ; [60 28],[14.4  7.6] ; [57.6 30.4],0
s4,1,0.23397,1.41656,[ 8 14] ; [21 67],[ 5.8 16.2] ; [23.2 64.8],0
a7,1,0.241036,1.374523,[11 11] ; [56 32],[13.4  8.6] ; [53.6 34.4],0
p8,1,0.252927,1.307064,[ 8 14] ; [43 43],[10.38888889 11.61111111] ; [40.61111111 45.38888889],0
u3,1,0.255014,1.295627,[7 4] ; [14 18],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
a4,1,0.256466,1.287732,[ 9 13] ; [25 63],[ 6.8 15.2] ; [27.2 60.8],0
a3,1,0.284423,1.145833,[11 11] ; [55 33],[13.2  8.8] ; [52.8 35.2],0
p7,1,0.292196,1.109475,[11 11] ; [53 32],[13.1588785  8.8411215] ; [50.8411215 34.1588785],0
d5,1,0.340233,0.909555,[14  8] ; [65 23],[15.8  6.2] ; [63.2 24.8],0
s7,1,0.343738,0.89644,[ 8 12] ; [44 41],[ 9.9047619 10.0952381] ; [42.0952381 42.9047619],0
r2,1,0.414333,0.666332,[19  3] ; [66 18],[17.64150943  4.35849057] ; [67.35849057 16.64150943],0
s2,1,0.43445,0.610899,[15  7] ; [52 36],[13.4  8.6] ; [53.6 34.4],0
v2,1,0.447431,0.577151,[ 9 13] ; [42 42],[10.58490566 11.41509434] ; [40.41509434 43.58490566],0
d4,1,0.466735,0.529695,[19  3] ; [70 18],[17.8  4.2] ; [71.2 16.8],0
b2,1,0.483951,0.489946,[3 5] ; [16 46],[2.17142857 5.82857143] ; [16.82857143 45.17142857],0
b3,1,0.483951,0.489946,[3 5] ; [16 46],[2.17142857 5.82857143] ; [16.82857143 45.17142857],0
v4,1,0.536704,0.381684,[19  3] ; [79  8],[19.77981651  2.22018349] ; [78.22018349  8.77981651],0
p1,1,0.557946,0.343273,[ 2 20] ; [ 5 83],[ 1.4 20.6] ; [ 5.6 82.4],0
u1,1,0.558287,0.342679,[ 1 21] ; [ 2 86],[ 0.6 21.4] ; [ 2.4 85.6],0
d2,1,0.559305,0.340909,[10 12] ; [34 54],[ 8.8 13.2] ; [35.2 52.8],0
v1,1,0.597766,0.278379,[10 12] ; [44 41],[11.10280374 10.89719626] ; [42.89719626 42.10280374],0
v3,1,0.628417,0.234213,[ 6 15] ; [29 56],[ 6.93396226 14.06603774] ; [28.06603774 56.93396226],0
p3,1,0.633553,0.227273,[12 10] ; [43 45],[11. 11.] ; [44. 44.],0
n3,1,0.638512,0.220694,[5 4] ; [18 10],[5.59459459 3.40540541] ; [17.40540541 10.59459459],0
a8,1,0.686882,0.162481,[ 1 20] ; [ 6 77],[ 1.41346154 19.58653846] ; [ 5.58653846 77.41346154],0
p4,1,0.772495,0.083587,[12 10] ; [51 37],[12.6  9.4] ; [50.4 37.6],0
n1,1,0.783921,0.075192,[4 5] ; [11 17],[3.64864865 5.35135135] ; [11.35135135 16.64864865],0
s1,1,0.798975,0.064858,[ 1 21] ; [ 3 85],[ 0.8 21.2] ; [ 3.2 84.8],0
a5,1,0.84508,0.038181,[13  9] ; [54 34],[13.4  8.6] ; [53.6 34.4],0
n2,1,0.865824,0.028549,[7 2] ; [21  7],[6.81081081 2.18918919] ; [21.18918919  6.81081081],0
a2,1,0.873739,0.025253,[ 2 20] ; [ 9 79],[ 2.2 19.8] ; [ 8.8 79.2],0
a1,1,0.873739,0.025253,[ 2 20] ; [ 9 79],[ 2.2 19.8] ; [ 8.8 79.2],0
u2,1,0.891717,0.018532,[6 4] ; [19 14],[5.81395349 4.18604651] ; [19.18604651 13.81395349],0
d3,1,0.921461,0.009721,[14  8] ; [55 33],[13.8  8.2] ; [55.2 32.8],0
b5,1,0.921461,0.009721,[14  8] ; [55 33],[13.8  8.2] ; [55.2 32.8],0
p5,1,0.984789,0.000364,[ 3 19] ; [12 75],[ 3.02752294 18.97247706] ; [11.97247706 75.02752294],0
