Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.040974,4.177096,[16 58] ; [11 15],[19.98 54.02] ; [ 7.02 18.98],0
u3,1,0.042818,4.102564,[ 8 24] ; [5 3],[10.4 21.6] ; [2.6 5.4],0
s5,1,0.059502,3.551215,[ 3 71] ; [ 4 23],[ 5.12871287 68.87128713] ; [ 1.87128713 25.12871287],0
s7,1,0.062012,3.482728,[ 9 62] ; [ 7 17],[11.95789474 59.04210526] ; [ 4.04210526 19.95789474],0
p1,1,0.075183,3.166068,[ 2 75] ; [ 3 24],[ 3.70192308 73.29807692] ; [ 1.29807692 25.70192308],0
p2,1,0.077427,3.118094,[32 45] ; [16 10],[35.88349515 41.11650485] ; [12.11650485 13.88349515],0
s2,1,0.077676,3.11286,[ 9 68] ; [ 7 20],[11.84615385 65.15384615] ; [ 4.15384615 22.84615385],0
a4,1,0.081082,3.043088,[25 51] ; [14 13],[28.77669903 47.22330097] ; [10.22330097 16.77669903],0
u1,1,0.118903,2.431717,[ 6 71] ; [ 5 22],[ 8.14423077 68.85576923] ; [ 2.85576923 24.14423077],0
b2,1,0.152995,2.042136,[16 29] ; [7 5],[18.15789474 26.84210526] ; [4.84210526 7.15789474],0
b3,1,0.152995,2.042136,[16 29] ; [7 5],[18.15789474 26.84210526] ; [4.84210526 7.15789474],0
s1,1,0.165106,1.926827,[ 5 72] ; [ 4 22],[ 6.72815534 70.27184466] ; [ 2.27184466 23.72815534],0
r3,1,0.183437,1.769554,[45 32] ; [19  7],[47.84466019 29.15533981] ; [16.15533981  9.84466019],0
a3,1,0.206827,1.593495,[45 31] ; [19  7],[47.68627451 28.31372549] ; [16.31372549  9.68627451],0
b4,1,0.216956,1.524392,[42 35] ; [11 16],[39.24038462 37.75961538] ; [13.75961538 13.24038462],0
p3,1,0.250485,1.320599,[16 61] ; [ 8 17],[18.11764706 58.88235294] ; [ 5.88235294 19.11764706],0
r2,1,0.269835,1.217588,[54 19] ; [22  4],[56.04040404 16.95959596] ; [19.95959596  6.04040404],0
p9,1,0.284478,1.145571,[29 44] ; [13 12],[31.28571429 41.71428571] ; [10.71428571 14.28571429],0
p10,1,0.297454,1.085572,[26 49] ; [12 14],[28.21782178 46.78217822] ; [ 9.78217822 16.21782178],0
a5,1,0.322393,0.979213,[40 37] ; [17 10],[42.20192308 34.79807692] ; [14.79807692 12.20192308],0
n3,1,0.334695,0.930648,[13 17] ; [5 3],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
v3,1,0.365803,0.817871,[16 57] ; [ 8 18],[17.6969697 55.3030303] ; [ 6.3030303 19.6969697],0
b5,1,0.385488,0.753127,[44 33] ; [18  9],[45.90384615 31.09615385] ; [16.09615385 10.90384615],0
d3,1,0.387517,0.746719,[40 35] ; [17 10],[41.91176471 33.08823529] ; [15.08823529 11.91176471],0
n4,1,0.393702,0.727479,[43 34] ; [17  9],[44.85436893 32.14563107] ; [15.14563107 10.85436893],0
n1,1,0.414216,0.666667,[11 21] ; [4 4],[12. 20.] ; [3. 5.],0
p6,1,0.461821,0.541477,[13 62] ; [ 6 19],[14.25 60.75] ; [ 4.75 20.25],0
n2,1,0.476782,0.506214,[16 17] ; [5 3],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
r1,1,0.489838,0.476883,[37 40] ; [14 11],[38.5 38.5] ; [12.5 12.5],0
