Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.2e-05,19.217114,[ 3 10] ; [43  8],[9.34375 3.65625] ; [36.65625 14.34375],1
d4,1,2.8e-05,17.524038,[5 8] ; [47  5],[10.4  2.6] ; [41.6 10.4],1
a4,1,0.00011,14.958094,[ 1 12] ; [35 17],[7.2 5.8] ; [28.8 23.2],1
d2,1,0.001459,10.12987,[4 9] ; [40 12],[8.8 4.2] ; [35.2 16.8],0
a5,1,0.002296,9.29669,[5 8] ; [42 10],[9.4 3.6] ; [37.6 14.4],0
d3,1,0.00713,7.239819,[6 7] ; [42  9],[9.75 3.25] ; [38.25 12.75],0
n3,1,0.008451,6.93533,[1 2] ; [15  1],[2.52631579 0.47368421] ; [13.47368421  2.52631579],0
s6,1,0.026613,4.915719,[6 7] ; [38 11],[9.22580645 3.77419355] ; [34.77419355 14.22580645],0
p9,1,0.027248,4.875,[7 6] ; [43  9],[10.  3.] ; [40. 12.],0
p3,1,0.055859,3.65625,[5 8] ; [35 17],[8. 5.] ; [32. 20.],0
s8,1,0.092858,2.824119,[4 9] ; [29 22],[6.703125 6.296875] ; [26.296875 24.703125],0
p4,1,0.119615,2.42236,[6 7] ; [36 16],[8.4 4.6] ; [33.6 18.4],0
s7,1,0.129851,2.294282,[7 6] ; [34 11],[9.18965517 3.81034483] ; [31.81034483 13.18965517],0
v1,1,0.136595,2.215909,[4 9] ; [28 24],[6.4 6.6] ; [25.6 26.4],0
b2,1,0.154398,2.028257,[1 5] ; [14 15],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
b3,1,0.154398,2.028257,[1 5] ; [14 15],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
s2,1,0.157484,1.998222,[6 7] ; [35 17],[8.2 4.8] ; [32.8 19.2],0
p10,1,0.179042,1.805556,[7 6] ; [38 14],[9. 4.] ; [36. 16.],0
b4,1,0.213487,1.547619,[5 8] ; [30 22],[7. 6.] ; [28. 24.],0
v2,1,0.254565,1.298077,[6 7] ; [33 19],[7.8 5.2] ; [31.2 20.8],0
a7,1,0.258922,1.27451,[8 5] ; [40 12],[9.6 3.4] ; [38.4 13.6],0
p8,1,0.263779,1.248814,[8 5] ; [23 29],[6.2 6.8] ; [24.8 27.2],0
a6,1,0.294405,1.099366,[7 6] ; [36 16],[8.6 4.4] ; [34.4 17.6],0
p7,1,0.306679,1.044926,[11  2] ; [36 15],[9.546875 3.453125] ; [37.453125 13.546875],0
p2,1,0.365377,0.819328,[9 4] ; [42 10],[10.2  2.8] ; [40.8 11.2],0
s4,1,0.38769,0.746173,[ 2 11] ; [14 38],[3.2 9.8] ; [12.8 39.2],0
v4,1,0.39144,0.734463,[11  2] ; [48  4],[11.8  1.2] ; [47.2  4.8],0
n1,1,0.465693,0.532176,[1 2] ; [9 7],[1.57894737 1.42105263] ; [8.42105263 7.57894737],0
b5,1,0.501676,0.451389,[10  3] ; [35 17],[9. 4.] ; [36. 16.],0
n6,1,0.525996,0.40212,[11  2] ; [39 12],[10.15625  2.84375] ; [39.84375 11.15625],0
p5,1,0.548383,0.360222,[ 2 11] ; [ 5 47],[ 1.4 11.6] ; [ 5.6 46.4],0
p1,1,0.557098,0.344753,[ 1 12] ; [ 7 44],[ 1.625 11.375] ; [ 6.375 44.625],0
b1,1,0.619423,0.246679,[6 7] ; [28 24],[6.8 6.2] ; [27.2 24.8],0
a8,1,0.622461,0.242424,[ 2 10] ; [ 5 39],[ 1.5 10.5] ; [ 5.5 38.5],0
r1,1,0.631559,0.229953,[10  3] ; [43  9],[10.6  2.4] ; [42.4  9.6],0
n5,1,0.650196,0.205653,[10  3] ; [36 15],[9.34375 3.65625] ; [36.65625 14.34375],0
r4,1,0.705765,0.142544,[11  2] ; [46  6],[11.4  1.6] ; [45.6  6.4],0
v3,1,0.724506,0.124216,[4 9] ; [18 32],[4.53968254 8.46031746] ; [17.46031746 32.53968254],0
u2,1,0.763573,0.090476,[6 4] ; [6 3],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
s3,1,0.801273,0.063353,[8 5] ; [30 22],[7.6 5.4] ; [30.4 21.6],0
s5,1,0.804728,0.061124,[5 7] ; [21 25],[5.37931034 6.62068966] ; [20.62068966 25.37931034],0
u3,1,0.844674,0.038384,[6 4] ; [5 4],[5.78947368 4.21052632] ; [5.21052632 3.78947368],0
n2,1,0.943209,0.005075,[2 1] ; [11  5],[2.05263158 0.94736842] ; [10.94736842  5.05263158],0
r3,1,0.985568,0.000327,[12  1] ; [47  4],[11.984375  1.015625] ; [47.015625  3.984375],0
n4,1,1.0,0.0,[10  3] ; [40 12],[10.  3.] ; [40. 12.],0
s1,1,1.0,0.0,[ 1 12] ; [ 4 48],[ 1. 12.] ; [ 4. 48.],0
