Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,37.79107,[81 45] ; [ 4 38],[63.75 62.25] ; [21.25 20.75],1
d4,1,0.000605,11.762054,[112  14] ; [27 14],[104.8742515  21.1257485] ; [34.1257485  6.8742515],1
a8,1,0.000906,11.010785,[  2 113] ; [ 6 33],[  5.97402597 109.02597403] ; [ 2.02597403 36.97402597],1
d3,1,0.004963,7.892743,[95 31] ; [22 20],[87.75 38.25] ; [29.25 12.75],0
a7,1,0.00511,7.840215,[102  24] ; [25 17],[95.25 30.75] ; [31.75 10.25],0
p7,1,0.012742,6.204642,[61 59] ; [30 11],[67.82608696 52.17391304] ; [23.17391304 17.82608696],0
p11,1,0.014855,5.933542,[76 50] ; [34  8],[82.5 43.5] ; [27.5 14.5],0
r2,1,0.020075,5.405395,[120   5] ; [36  6],[116.76646707   8.23353293] ; [39.23353293  2.76646707],0
d2,1,0.031852,4.606438,[50 76] ; [ 9 33],[44.25 81.75] ; [14.75 27.25],0
a4,1,0.031852,4.606438,[50 76] ; [ 9 33],[44.25 81.75] ; [14.75 27.25],0
a5,1,0.0448,4.026144,[82 44] ; [20 22],[76.5 49.5] ; [25.5 16.5],0
v2,1,0.06813,3.32751,[70 46] ; [17 22],[65.10967742 50.89032258] ; [21.89032258 17.10967742],0
n2,1,0.094347,2.798588,[28 16] ; [13  2],[30.57627119 13.42372881] ; [10.42372881  4.57627119],0
p3,1,0.122881,2.380208,[46 79] ; [10 32],[41.91616766 83.08383234] ; [14.08383234 27.91616766],0
r4,1,0.224765,1.473684,[116  10] ; [36  6],[114.  12.] ; [38.  4.],0
s6,1,0.228482,1.450288,[78 46] ; [22 20],[74.69879518 49.30120482] ; [25.30120482 16.69879518],0
b5,1,0.236966,1.398552,[79 47] ; [22 20],[75.75 50.25] ; [25.25 16.75],0
a1,1,0.242526,1.365854,[  2 124] ; [ 2 40],[  3. 123.] ; [ 1. 41.],0
v4,1,0.247114,1.339544,[119   6] ; [37  4],[117.46987952   7.53012048] ; [38.53012048  2.46987952],0
p9,1,0.250889,1.318348,[95 27] ; [29 13],[92.24390244 29.75609756] ; [31.75609756 10.24390244],0
a6,1,0.256839,1.285714,[87 39] ; [25 17],[84. 42.] ; [28. 14.],0
u1,1,0.324863,0.969269,[ 16 110] ; [ 3 39],[ 14.25 111.75] ; [ 4.75 37.25],0
a2,1,0.33898,0.914286,[ 23 103] ; [ 5 37],[ 21. 105.] ; [ 7. 35.],0
r3,1,0.375119,0.786637,[118   7] ; [38  4],[116.76646707   8.23353293] ; [39.23353293  2.76646707],0
s4,1,0.385147,0.754209,[29 97] ; [ 7 35],[27. 99.] ; [ 9. 33.],0
