Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000159,14.265603,[25 24] ; [ 3 28],[17.15 31.85] ; [10.85 20.15],1
p11,1,0.00096,10.903319,[45  8] ; [16 15],[38.48809524 14.51190476] ; [22.51190476  8.48809524],1
v3,1,0.002438,9.186832,[30 23] ; [ 7 24],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
r3,1,0.002579,9.083883,[49  4] ; [20 10],[44.06024096  8.93975904] ; [24.93975904  5.06024096],0
p7,1,0.006455,7.418805,[36 16] ; [12 19],[30.07228916 21.92771084] ; [17.92771084 13.07228916],0
d1,1,0.010009,6.633296,[29 24] ; [ 8 23],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
d3,1,0.012016,6.308466,[37 16] ; [13 18],[31.54761905 21.45238095] ; [18.45238095 12.54761905],0
s8,1,0.02533,5.001212,[23 30] ; [ 6 25],[18.29761905 34.70238095] ; [10.70238095 20.29761905],0
n6,1,0.031129,4.645841,[45  8] ; [20 11],[41.01190476 11.98809524] ; [23.98809524  7.01190476],0
n4,1,0.031211,4.641345,[41 12] ; [17 14],[36.5952381 16.4047619] ; [21.4047619  9.5952381],0
p4,1,0.047182,3.938896,[35 17] ; [14 17],[30.69879518 21.30120482] ; [18.30120482 12.69879518],0
n3,1,0.054319,3.702857,[11  4] ; [3 6],[8.75 6.25] ; [5.25 3.75],0
n5,1,0.074946,3.171232,[42 11] ; [19 12],[38.48809524 14.51190476] ; [22.51190476  8.48809524],0
p8,1,0.087764,2.914913,[28 23] ; [11 20],[24.25609756 26.74390244] ; [14.74390244 16.25609756],0
d5,1,0.089681,2.880097,[43 10] ; [20 11],[39.75 13.25] ; [23.25  7.75],0
s6,1,0.098092,2.736287,[35 13] ; [17 14],[31.59493671 16.40506329] ; [20.40506329 10.59493671],0
s7,1,0.100791,2.692979,[25 25] ; [ 9 20],[21.51898734 28.48101266] ; [12.48101266 16.51898734],0
d4,1,0.164409,1.933201,[43 10] ; [21 10],[40.38095238 12.61904762] ; [23.61904762  7.38095238],0
r4,1,0.191467,1.706296,[35 18] ; [16 15],[32.17857143 20.82142857] ; [18.82142857 12.17857143],0
p3,1,0.20244,1.62468,[32 19] ; [15 16],[29.23170732 21.76829268] ; [17.76829268 13.23170732],0
v4,1,0.205555,1.60246,[47  5] ; [25  6],[45.10843373  6.89156627] ; [26.89156627  4.10843373],0
n2,1,0.223543,1.481481,[10  5] ; [8 1],[11.25  3.75] ; [6.75 2.25],0
s4,1,0.227634,1.455587,[ 8 45] ; [ 8 23],[10.0952381 42.9047619] ; [ 5.9047619 25.0952381],0
a1,1,0.269786,1.217834,[ 2 51] ; [ 3 28],[ 3.1547619 49.8452381] ; [ 1.8452381 29.1547619],0
b5,1,0.307771,1.040217,[35 18] ; [17 14],[32.80952381 20.19047619] ; [19.19047619 11.80952381],0
a4,1,0.341599,0.904422,[19 34] ; [ 8 23],[17.03571429 35.96428571] ; [ 9.96428571 21.03571429],0
