Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8e-06,19.890566,[25 33] ; [ 8 71],[13.97080292 44.02919708] ; [19.02919708 59.97080292],1
v1,1,6.3e-05,16.009807,[34 27] ; [18 61],[22.65714286 38.34285714] ; [29.34285714 49.65714286],1
r1,1,0.000621,11.710823,[49 12] ; [42 38],[39.36879433 21.63120567] ; [51.63120567 28.36879433],1
a3,1,0.000644,11.643567,[46 15] ; [37 42],[36.16428571 24.83571429] ; [46.83571429 32.16428571],1
a5,1,0.001356,10.265111,[41 20] ; [32 48],[31.58156028 29.41843972] ; [41.41843972 38.58156028],0
d5,1,0.006464,7.416044,[49 12] ; [47 33],[41.53191489 19.46808511] ; [54.46808511 25.53191489],0
d1,1,0.006928,7.291442,[32 29] ; [24 56],[24.22695035 36.77304965] ; [31.77304965 48.22695035],0
u1,1,0.009313,6.761744,[ 7 54] ; [ 1 79],[ 3.46099291 57.53900709] ; [ 4.53900709 75.46099291],0
r2,1,0.010832,6.492754,[55  5] ; [60 20],[49.28571429 10.71428571] ; [65.71428571 14.28571429],0
r3,1,0.014905,5.927693,[56  5] ; [61 19],[50.61702128 10.38297872] ; [66.38297872 13.61702128],0
a7,1,0.018344,5.562951,[48 13] ; [48 32],[41.53191489 19.46808511] ; [54.46808511 25.53191489],0
p5,1,0.021051,5.322572,[ 6 55] ; [ 1 78],[ 3.05 57.95] ; [ 3.95 75.05],0
a6,1,0.022409,5.213771,[40 21] ; [37 43],[33.31205674 27.68794326] ; [43.68794326 36.31205674],0
a2,1,0.028852,4.776447,[11 50] ; [ 5 75],[ 6.92198582 54.07801418] ; [ 9.07801418 70.92198582],0
s6,1,0.053235,3.736512,[27 33] ; [23 56],[21.58273381 38.41726619] ; [28.41726619 50.58273381],0
d4,1,0.074545,3.179999,[50 11] ; [55 25],[45.42553191 15.57446809] ; [59.57446809 20.42553191],0
r4,1,0.076178,3.144621,[48 13] ; [52 28],[43.26241135 17.73758865] ; [56.73758865 23.26241135],0
a4,1,0.110612,2.545449,[22 39] ; [19 61],[17.73758865 43.26241135] ; [23.26241135 56.73758865],0
v4,1,0.117066,2.45614,[55  5] ; [66 14],[51.85714286  8.14285714] ; [69.14285714 10.85714286],0
s4,1,0.140764,2.169588,[ 6 55] ; [15 65],[ 9.08510638 51.91489362] ; [11.91489362 68.08510638],0
d3,1,0.150355,2.068641,[42 19] ; [45 34],[37.90714286 23.09285714] ; [49.09285714 29.90714286],0
p9,1,0.170941,1.874673,[45 16] ; [49 29],[41.25179856 19.74820144] ; [52.74820144 25.25179856],0
p3,1,0.198201,1.65558,[21 39] ; [20 60],[17.57142857 42.42857143] ; [23.42857143 56.57142857],0
p11,1,0.218014,1.517399,[42 19] ; [47 33],[38.5035461 22.4964539] ; [50.4964539 29.5035461],0
p10,1,0.236837,1.399322,[40 21] ; [44 35],[36.6 24.4] ; [47.4 31.6],0
p4,1,0.238318,1.390519,[26 35] ; [26 53],[22.65714286 38.34285714] ; [29.34285714 49.65714286],0
b3,1,0.253715,1.30273,[11 20] ; [ 9 30],[ 8.85714286 22.14285714] ; [11.14285714 27.85714286],0
b2,1,0.253715,1.30273,[11 20] ; [ 9 30],[ 8.85714286 22.14285714] ; [11.14285714 27.85714286],0
b1,1,0.330161,0.948267,[21 40] ; [34 46],[23.79432624 37.20567376] ; [31.20567376 48.79432624],0
s3,1,0.372456,0.795455,[15 45] ; [15 65],[12.85714286 47.14285714] ; [17.14285714 62.85714286],0
s7,1,0.392645,0.730734,[14 47] ; [13 63],[12.02189781 48.97810219] ; [14.97810219 61.02189781],0
s1,1,0.420958,0.647638,[ 2 59] ; [ 5 75],[ 3.02836879 57.97163121] ; [ 3.97163121 76.02836879],0
