Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,147.397447,[ 62 199] ; [136  25],[122.45971564 138.54028436] ; [75.54028436 85.45971564],1
s6,1,0.0,85.00056,[ 94 169] ; [133  30],[140.14319249 122.85680751] ; [86.85680751 76.14319249],1
s7,1,0.0,76.005307,[ 49 204] ; [99 62],[ 90.44444444 162.55555556] ; [ 57.55555556 103.44444444],1
s8,1,0.0,51.035895,[ 50 215] ; [85 79],[ 83.39160839 181.60839161] ; [ 51.60839161 112.39160839],1
s5,1,0.0,29.028479,[ 34 225] ; [ 57 104],[ 56.11666667 202.88333333] ; [ 34.88333333 126.11666667],1
p10,1,2e-06,22.671306,[157 104] ; [134  29],[179.12971698  81.87028302] ; [111.87028302  51.12971698],1
v4,1,0.000113,14.910257,[221  42] ; [155   6],[233.22641509  29.77358491] ; [142.77358491  18.22641509],1
r3,1,0.000141,14.49536,[225  38] ; [159   5],[236.51522248  26.48477752] ; [147.48477752  16.51522248],1
v1,1,0.000149,14.388346,[ 97 163] ; [90 70],[115.76190476 144.23809524] ; [71.23809524 88.76190476],1
p9,1,0.000263,13.315755,[174  85] ; [135  27],[190.09738717  68.90261283] ; [118.90261283  43.09738717],1
r4,1,0.000305,13.040058,[197  69] ; [146  19],[211.68909513  54.31090487] ; [131.31090487  33.68909513],1
r1,1,0.001438,10.155816,[182  82] ; [135  28],[195.99063232  68.00936768] ; [121.00936768  41.99063232],0
p7,1,0.00158,9.982348,[108 151] ; [90 66],[123.57108434 135.42891566] ; [74.42891566 81.57108434],0
a8,1,0.00284,8.907387,[ 28 219] ; [ 34 117],[ 38.47738693 208.52261307] ; [ 23.52261307 127.47738693],0
v3,1,0.003245,8.664353,[ 71 186] ; [65 91],[ 84.62953995 172.37046005] ; [ 51.37046005 104.62953995],0
v2,1,0.003322,8.621451,[108 143] ; [91 66],[122.42401961 128.57598039] ; [76.57598039 80.42401961],0
p4,1,0.00507,7.85415,[ 80 182] ; [72 92],[ 93.48356808 168.51643192] ; [ 58.51643192 105.48356808],0
n5,1,0.005306,7.772149,[166  97] ; [124  39],[179.03755869  83.96244131] ; [110.96244131  52.03755869],0
r2,1,0.005418,7.734202,[223  37] ; [153   9],[231.65876777  28.34123223] ; [144.34123223  17.65876777],0
p6,1,0.00599,7.553373,[ 47 214] ; [ 48 115],[ 58.47877358 202.52122642] ; [ 36.52122642 126.47877358],0
n4,1,0.011946,6.31894,[175  90] ; [127  37],[186.55011655  78.44988345] ; [115.44988345  48.55011655],0
d4,1,0.012822,6.193533,[195  69] ; [138  26],[205.40186916  58.59813084] ; [127.59813084  36.40186916],0
d1,1,0.012916,6.180558,[122 144] ; [96 69],[134.54292343 131.45707657] ; [83.45707657 81.54292343],0
n6,1,0.027232,4.876016,[189  76] ; [131  31],[198.59484778  66.40515222] ; [121.40515222  40.59484778],0
