Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,32.146302,[68 10] ; [90 91],[47.58301158 30.41698842] ; [110.41698842  70.58301158],1
p4,1,1e-06,23.88165,[62 16] ; [85 97],[44.1 33.9] ; [102.9  79.1],1
p3,1,2.2e-05,18.036899,[52 26] ; [ 70 114],[36.32061069 41.67938931] ; [85.67938931 98.32061069],1
p8,1,9e-05,15.327982,[53 25] ; [ 75 106],[38.54826255 39.45173745] ; [89.45173745 91.54826255],1
p12,1,0.002705,8.996556,[11 67] ; [  7 176],[ 5.37931034 72.62068966] ; [ 12.62068966 170.37931034],0
b1,1,0.00273,8.979447,[37 41] ; [ 52 132],[26.49618321 51.50381679] ; [ 62.50381679 121.49618321],0
v1,1,0.013697,6.076738,[53 24] ; [94 86],[44.04280156 32.95719844] ; [102.95719844  77.04280156],0
a2,1,0.016174,5.783873,[25 53] ; [ 34 150],[17.5648855 60.4351145] ; [ 41.4351145 142.5648855],0
p5,1,0.018146,5.582044,[11 67] ; [ 10 174],[ 6.2519084 71.7480916] ; [ 14.7480916 169.2519084],0
s7,1,0.031275,4.637791,[27 45] ; [ 43 136],[20.07968127 51.92031873] ; [ 49.92031873 129.07968127],0
p2,1,0.034858,4.452114,[69  9] ; [142  42],[62.81679389 15.18320611] ; [148.18320611  35.81679389],0
p9,1,0.037629,4.321716,[69  9] ; [140  41],[62.94208494 15.05791506] ; [146.05791506  34.94208494],0
s6,1,0.041183,4.168451,[50 27] ; [92 88],[42.54474708 34.45525292] ; [99.45525292 80.54474708],0
n5,1,0.04593,3.984173,[60 17] ; [119  63],[53.21621622 23.78378378] ; [125.78378378  56.21621622],0
p10,1,0.048264,3.900775,[67 11] ; [137  46],[60.96551724 17.03448276] ; [143.03448276  39.96551724],0
a4,1,0.054311,3.703103,[41 37] ; [ 73 111],[33.9389313 44.0610687] ; [ 80.0610687 103.9389313],0
n4,1,0.079743,3.070136,[62 16] ; [126  57],[56.18390805 21.81609195] ; [131.81609195  51.18390805],0
s2,1,0.08624,2.943197,[31 46] ; [ 54 130],[25.07662835 51.92337165] ; [ 59.92337165 124.07662835],0
b4,1,0.099685,2.710569,[53 25] ; [105  79],[47.03816794 30.96183206] ; [110.96183206  73.03816794],0
r3,1,0.121622,2.396313,[72  6] ; [176   6],[74.4  3.6] ; [173.6   8.4],0
b2,1,0.146283,2.11059,[18 26] ; [28 70],[14.25352113 29.74647887] ; [31.74647887 66.25352113],0
b3,1,0.146283,2.11059,[18 26] ; [28 70],[14.25352113 29.74647887] ; [31.74647887 66.25352113],0
p1,1,0.1583,1.990392,[ 8 70] ; [ 10 174],[ 5.35877863 72.64122137] ; [ 12.64122137 171.35877863],0
s1,1,0.163337,1.943055,[ 2 76] ; [  1 181],[ 0.9 77.1] ; [  2.1 179.9],0
d4,1,0.164293,1.934259,[61 17] ; [156  27],[64.85057471 13.14942529] ; [152.14942529  30.85057471],0
a1,1,0.185129,1.75596,[ 6 72] ; [  7 177],[ 3.87022901 74.12977099] ; [  9.12977099 174.87022901],0
u1,1,0.198255,1.65518,[15 63] ; [ 24 160],[11.61068702 66.38931298] ; [ 27.38931298 156.61068702],0
r4,1,0.286189,1.137465,[70  8] ; [156  28],[67.28244275 10.71755725] ; [158.71755725  25.28244275],0
n2,1,0.315603,1.00708,[11  6] ; [31  9],[12.52631579  4.47368421] ; [29.47368421 10.52631579],0
d2,1,0.322514,0.978725,[38 40] ; [ 77 106],[34.36781609 43.63218391] ; [ 80.63218391 102.36781609],0
a6,1,0.362534,0.829097,[57 21] ; [124  60],[53.88549618 24.11450382] ; [127.11450382  56.88549618],0
s4,1,0.388669,0.743103,[13 65] ; [ 23 159],[10.8 67.2] ; [ 25.2 156.8],0
a7,1,0.421704,0.645562,[62 16] ; [137  46],[59.47126437 18.52873563] ; [139.52873563  43.47126437],0
s3,1,0.422328,0.643829,[33 45] ; [ 67 114],[30.11583012 47.88416988] ; [ 69.88416988 111.11583012],0
s5,1,0.437337,0.603261,[22 54] ; [ 44 137],[19.51750973 56.48249027] ; [ 46.48249027 134.51750973],0
a5,1,0.437581,0.602617,[54 24] ; [136  48],[56.5648855 21.4351145] ; [133.4351145  50.5648855],0
d5,1,0.467209,0.52857,[61 17] ; [151  33],[63.11450382 14.88549618] ; [148.88549618  35.11450382],0
n6,1,0.49812,0.458939,[65 12] ; [148  35],[63.08076923 13.91923077] ; [149.91923077  33.08076923],0
v3,1,0.522484,0.408987,[37 38] ; [80 98],[34.68379447 40.31620553] ; [82.31620553 95.68379447],0
u4,1,0.529967,0.394455,[ 1 77] ; [  1 183],[ 0.59541985 77.40458015] ; [  1.40458015 182.59541985],0
u2,1,0.54226,0.371367,[12 11] ; [25 31],[10.7721519 12.2278481] ; [26.2278481 29.7721519],0
d1,1,0.593109,0.285515,[43 35] ; [108  76],[44.95419847 33.04580153] ; [106.04580153  77.95419847],0
v4,1,0.611541,0.257937,[73  5] ; [167  15],[72.  6.] ; [168.  14.],0
d3,1,0.664035,0.188659,[58 20] ; [132  52],[56.5648855 21.4351145] ; [133.4351145  50.5648855],0
a3,1,0.680718,0.169319,[55 23] ; [125  59],[53.58778626 24.41221374] ; [126.41221374  57.58778626],0
r2,1,0.691028,0.157975,[73  5] ; [165  14],[72.23346304  5.76653696] ; [165.76653696  13.23346304],0
