Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9e-06,19.742488,[26 55] ; [20  4],[35.48571429 45.51428571] ; [10.51428571 13.48571429],1
v1,1,0.016014,5.801285,[26 57] ; [14 10],[31.02803738 51.97196262] ; [ 8.97196262 15.02803738],0
u2,1,0.030315,4.691362,[17 24] ; [6 1],[19.64583333 21.35416667] ; [3.35416667 3.64583333],0
b1,1,0.045638,3.994906,[32 51] ; [ 4 20],[27.92523364 55.07476636] ; [ 8.07476636 15.92523364],0
a3,1,0.07924,3.08043,[42 41] ; [17  7],[45.76635514 37.23364486] ; [13.23364486 10.76635514],0
s6,1,0.087171,2.925849,[35 47] ; [15  9],[38.67924528 43.32075472] ; [11.32075472 12.67924528],0
r1,1,0.117704,2.447609,[47 35] ; [18  6],[50.28301887 31.71698113] ; [14.71698113  9.28301887],0
b4,1,0.127575,2.321768,[48 35] ; [18  6],[51.19626168 31.80373832] ; [14.80373832  9.19626168],0
p4,1,0.151574,2.056342,[19 64] ; [ 9 15],[21.71962617 61.28037383] ; [ 6.28037383 17.71962617],0
p5,1,0.177867,1.815354,[ 2 81] ; [ 2 22],[ 3.10280374 79.89719626] ; [ 0.89719626 23.10280374],0
n5,1,0.191134,1.708855,[29 54] ; [ 5 19],[26.37383178 56.62616822] ; [ 7.62616822 16.37383178],0
n3,1,0.19618,1.670587,[25 18] ; [4 7],[23.09259259 19.90740741] ; [5.90740741 5.09259259],0
p3,1,0.199535,1.645777,[16 66] ; [ 2 22],[13.9245283 68.0754717] ; [ 4.0754717 19.9245283],0
r2,1,0.250356,1.321315,[68 15] ; [22  2],[69.81308411 13.18691589] ; [20.18691589  3.81308411],0
p2,1,0.251038,1.317519,[49 34] ; [11 13],[46.54205607 36.45794393] ; [13.45794393 10.54205607],0
b2,1,0.252703,1.308296,[12 29] ; [4 4],[13.3877551 27.6122449] ; [2.6122449 5.3877551],0
b3,1,0.252703,1.308296,[12 29] ; [4 4],[13.3877551 27.6122449] ; [2.6122449 5.3877551],0
a7,1,0.270334,1.215053,[56 27] ; [19  5],[58.17757009 24.82242991] ; [16.82242991  7.17757009],0
d5,1,0.272601,1.203611,[60 23] ; [20  4],[62.05607477 20.94392523] ; [17.94392523  6.05607477],0
a4,1,0.318307,0.995891,[26 57] ; [ 5 19],[24.04672897 58.95327103] ; [ 6.95327103 17.04672897],0
d4,1,0.322242,0.979824,[61 22] ; [20  4],[62.8317757 20.1682243] ; [18.1682243  5.8317757],0
p10,1,0.332562,0.938897,[45 36] ; [16  8],[47.05714286 33.94285714] ; [13.94285714 10.05714286],0
s1,1,0.334698,0.930636,[ 3 80] ; [ 2 22],[ 3.87850467 79.12149533] ; [ 1.12149533 22.87850467],0
d3,1,0.344847,0.892328,[50 33] ; [17  7],[51.97196262 31.02803738] ; [15.02803738  8.97196262],0
n6,1,0.389852,0.739403,[53 30] ; [13 11],[51.19626168 31.80373832] ; [14.80373832  9.19626168],0
p11,1,0.406992,0.687569,[46 37] ; [11 13],[44.21495327 38.78504673] ; [12.78504673 11.21495327],0
s4,1,0.513221,0.427495,[19 64] ; [ 4 20],[17.8411215 65.1588785] ; [ 5.1588785 18.8411215],0
n2,1,0.517075,0.419724,[28 15] ; [6 5],[27.07407407 15.92592593] ; [6.92592593 4.07407407],0
s7,1,0.521974,0.409992,[15 64] ; [ 6 18],[16.10679612 62.89320388] ; [ 4.89320388 19.10679612],0
d2,1,0.526726,0.400705,[30 53] ; [ 7 17],[28.70093458 54.29906542] ; [ 8.29906542 15.70093458],0
s2,1,0.572736,0.318127,[29 53] ; [ 7 17],[27.8490566 54.1509434] ; [ 8.1509434 15.8490566],0
s8,1,0.591991,0.287245,[18 65] ; [ 4 20],[17.06542056 65.93457944] ; [ 4.93457944 19.06542056],0
u1,1,0.593098,0.285533,[ 6 77] ; [ 1 23],[ 5.42990654 77.57009346] ; [ 1.57009346 22.42990654],0
s3,1,0.622393,0.242519,[30 53] ; [10 14],[31.02803738 51.97196262] ; [ 8.97196262 15.02803738],0
a1,1,0.646063,0.2109,[ 2 81] ; [ 1 23],[ 2.3271028 80.6728972] ; [ 0.6728972 23.3271028],0
r3,1,0.671387,0.179984,[72 11] ; [20  4],[71.36448598 11.63551402] ; [20.63551402  3.36448598],0
p1,1,0.727579,0.121346,[ 5 78] ; [ 1 23],[ 4.65420561 78.34579439] ; [ 1.34579439 22.65420561],0
u3,1,0.751412,0.100348,[26 15] ; [4 3],[25.625 15.375] ; [4.375 2.625],0
p8,1,0.753604,0.098528,[18 64] ; [ 6 18],[18.56603774 63.43396226] ; [ 5.43396226 18.56603774],0
a6,1,0.783304,0.075634,[51 32] ; [14 10],[50.42056075 32.57943925] ; [14.57943925  9.42056075],0
v4,1,0.80776,0.059203,[71 12] ; [21  3],[71.36448598 11.63551402] ; [20.63551402  3.36448598],0
r4,1,0.840174,0.040671,[57 26] ; [17  7],[57.40186916 25.59813084] ; [16.59813084  7.40186916],0
p9,1,0.851611,0.034992,[54 26] ; [16  7],[54.36893204 25.63106796] ; [15.63106796  7.36893204],0
b5,1,0.866675,0.028185,[50 33] ; [14 10],[49.64485981 33.35514019] ; [14.35514019  9.64485981],0
d1,1,0.876021,0.024341,[40 43] ; [12 12],[40.3364486 42.6635514] ; [11.6635514 12.3364486],0
a5,1,0.876021,0.024341,[40 43] ; [12 12],[40.3364486 42.6635514] ; [11.6635514 12.3364486],0
a2,1,0.923246,0.009283,[11 72] ; [ 3 21],[10.85981308 72.14018692] ; [ 3.14018692 20.85981308],0
s5,1,0.927368,0.00831,[21 60] ; [ 6 18],[20.82857143 60.17142857] ; [ 6.17142857 17.82857143],0
