Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.001447,10.14493,[10  3] ; [1 9],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
d5,1,0.004055,8.258983,[11  9] ; [ 1 13],[ 7.05882353 12.94117647] ; [4.94117647 9.05882353],0
p9,1,0.01128,6.42059,[12  8] ; [ 2 11],[ 8.48484848 11.51515152] ; [5.51515152 7.48484848],0
p2,1,0.012242,6.275496,[13  7] ; [ 3 11],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
a7,1,0.017112,5.684881,[ 9 11] ; [ 1 13],[ 5.88235294 14.11764706] ; [4.11764706 9.88235294],0
p8,1,0.017112,5.684881,[ 9 11] ; [ 1 13],[ 5.88235294 14.11764706] ; [4.11764706 9.88235294],0
s6,1,0.032577,4.567873,[ 8 12] ; [ 1 13],[ 5.29411765 14.70588235] ; [ 3.70588235 10.29411765],0
p11,1,0.059481,3.551786,[ 7 13] ; [ 1 13],[ 4.70588235 15.29411765] ; [ 3.29411765 10.70588235],0
p10,1,0.069826,3.287117,[11  9] ; [ 3 10],[ 8.48484848 11.51515152] ; [5.51515152 7.48484848],0
b5,1,0.07077,3.265079,[12  8] ; [ 4 10],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
n4,1,0.07077,3.265079,[ 8 12] ; [10  4],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
p7,1,0.124634,2.358101,[ 7 11] ; [ 2 12],[ 5.0625 12.9375] ; [ 3.9375 10.0625],0
d4,1,0.126647,2.333133,[11  9] ; [ 4 10],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
b4,1,0.133288,2.253788,[15  5] ; [7 7],[12.94117647  7.05882353] ; [9.05882353 4.94117647],0
r2,1,0.141959,2.156594,[13  6] ; [6 8],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
b3,1,0.145251,2.121429,[2 8] ; [6 6],[3.63636364 6.36363636] ; [4.36363636 7.63636364],0
b2,1,0.145251,2.121429,[2 8] ; [6 6],[3.63636364 6.36363636] ; [4.36363636 7.63636364],0
r1,1,0.156929,2.003571,[ 9 11] ; [ 3 11],[ 7.05882353 12.94117647] ; [4.94117647 9.05882353],0
p4,1,0.158147,1.991855,[ 5 14] ; [ 1 13],[ 3.45454545 15.54545455] ; [ 2.54545455 11.45454545],0
n3,1,0.159599,1.978022,[8 5] ; [2 5],[6.5 6.5] ; [3.5 3.5],0
p1,1,0.162111,1.954422,[ 2 18] ; [ 4 10],[ 3.52941176 16.47058824] ; [ 2.47058824 11.52941176],0
d1,1,0.178872,1.806973,[ 5 15] ; [ 1 13],[ 3.52941176 16.47058824] ; [ 2.47058824 11.52941176],0
n6,1,0.211486,1.561224,[10 10] ; [ 4 10],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
a6,1,0.306702,1.044825,[ 4 16] ; [5 9],[ 5.29411765 14.70588235] ; [ 3.70588235 10.29411765],0
b1,1,0.324324,0.971429,[12  8] ; [6 8],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
n5,1,0.331974,0.941183,[11  9] ; [10  4],[12.35294118  7.64705882] ; [8.64705882 5.35294118],0
s1,1,0.347479,0.882642,[ 1 19] ; [ 2 12],[ 1.76470588 18.23529412] ; [ 1.23529412 12.76470588],0
a1,1,0.347479,0.882642,[ 1 19] ; [ 2 12],[ 1.76470588 18.23529412] ; [ 1.23529412 12.76470588],0
p3,1,0.447006,0.578231,[ 5 15] ; [ 2 12],[ 4.11764706 15.88235294] ; [ 2.88235294 11.11764706],0
s5,1,0.484034,0.489762,[ 3 17] ; [ 1 13],[ 2.35294118 17.64705882] ; [ 1.64705882 12.35294118],0
s7,1,0.568261,0.3256,[ 4 14] ; [ 2 12],[ 3.375 14.625] ; [ 2.625 11.375],0
d2,1,0.577155,0.310857,[ 6 14] ; [ 3 11],[ 5.29411765 14.70588235] ; [ 3.70588235 10.29411765],0
d3,1,0.577155,0.310857,[ 6 14] ; [ 3 11],[ 5.29411765 14.70588235] ; [ 3.70588235 10.29411765],0
n1,1,0.588792,0.292235,[4 9] ; [3 4],[4.55 8.45] ; [2.45 4.55],0
a3,1,0.618402,0.24812,[ 7 12] ; [ 4 10],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
n2,1,0.639207,0.21978,[7 6] ; [3 4],[6.5 6.5] ; [3.5 3.5],0
s3,1,0.655758,0.198718,[ 3 15] ; [ 3 10],[ 3.48387097 14.51612903] ; [ 2.51612903 10.48387097],0
s4,1,0.667082,0.185034,[ 4 16] ; [ 2 12],[ 3.52941176 16.47058824] ; [ 2.47058824 11.52941176],0
p12,1,0.793823,0.068304,[ 1 19] ; [ 1 13],[ 1.17647059 18.82352941] ; [ 0.82352941 13.17647059],0
v1,1,0.809076,0.058379,[ 5 15] ; [ 3 11],[ 4.70588235 15.29411765] ; [ 3.29411765 10.70588235],0
a4,1,0.823021,0.050024,[ 1 18] ; [ 1 13],[ 1.15151515 17.84848485] ; [ 0.84848485 13.15151515],0
v3,1,0.905218,0.014178,[ 3 16] ; [ 2 12],[ 2.87878788 16.12121212] ; [ 2.12121212 11.87878788],0
s2,1,0.953847,0.00335,[ 3 17] ; [ 2 12],[ 2.94117647 17.05882353] ; [ 2.05882353 11.94117647],0
