Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.246677,[41  8] ; [ 3 13],[33.16923077 15.83076923] ; [10.83076923  5.16923077],1
d5,1,0.000752,11.356331,[40  9] ; [ 6 10],[34.67692308 14.32307692] ; [11.32307692  4.67692308],1
a5,1,0.001252,10.411354,[36 13] ; [ 5 12],[30.43939394 18.56060606] ; [10.56060606  6.43939394],0
a4,1,0.005328,7.764706,[21 28] ; [ 1 16],[16.33333333 32.66666667] ; [ 5.66666667 11.33333333],0
p10,1,0.005464,7.719031,[42  7] ; [9 8],[37.86363636 11.13636364] ; [13.13636364  3.86363636],0
v4,1,0.020145,5.399256,[48  1] ; [14  3],[46.03030303  2.96969697] ; [15.96969697  1.03030303],0
p9,1,0.035149,4.437907,[41  8] ; [10  7],[37.86363636 11.13636364] ; [13.13636364  3.86363636],0
a3,1,0.048796,3.882353,[28 21] ; [ 5 12],[24.5 24.5] ; [8.5 8.5],0
a7,1,0.065094,3.402588,[39 10] ; [9 7],[36.18461538 12.81538462] ; [11.81538462  4.18461538],0
p1,1,0.097226,2.750472,[ 1 48] ; [ 2 15],[ 2.22727273 46.77272727] ; [ 0.77272727 16.22727273],0
v2,1,0.129053,2.303856,[25 22] ; [ 5 11],[22.38095238 24.61904762] ; [7.61904762 8.38095238],0
p8,1,0.18299,1.773175,[20 28] ; [ 4 13],[17.72307692 30.27692308] ; [ 6.27692308 10.72307692],0
p2,1,0.190433,1.714262,[37 12] ; [10  7],[34.89393939 14.10606061] ; [12.10606061  4.89393939],0
b1,1,0.239025,1.386333,[16 33] ; [ 3 14],[14.10606061 34.89393939] ; [ 4.89393939 12.10606061],0
p5,1,0.252648,1.308601,[ 2 47] ; [ 2 15],[ 2.96969697 46.03030303] ; [ 1.03030303 15.96969697],0
d2,1,0.255654,1.292142,[19 30] ; [ 4 13],[17.07575758 31.92424242] ; [ 5.92424242 11.07575758],0
u3,1,0.261366,1.261508,[13  8] ; [5 7],[11.45454545  9.54545455] ; [6.54545455 5.45454545],0
r2,1,0.287084,1.133246,[44  4] ; [14  3],[42.83076923  5.16923077] ; [15.16923077  1.83076923],0
b4,1,0.287374,1.131881,[33 16] ; [9 8],[31.18181818 17.81818182] ; [10.81818182  6.18181818],0
p6,1,0.30103,1.069628,[15 34] ; [ 3 14],[13.36363636 35.63636364] ; [ 4.63636364 12.36363636],0
u2,1,0.304979,1.052296,[ 9 12] ; [3 9],[ 7.63636364 13.36363636] ; [4.36363636 7.63636364],0
r1,1,0.33633,0.92437,[35 14] ; [10  7],[33.40909091 15.59090909] ; [11.59090909  5.40909091],0
b5,1,0.36516,0.820067,[32 17] ; [9 8],[30.43939394 18.56060606] ; [10.56060606  6.43939394],0
s3,1,0.37602,0.783673,[26 23] ; [6 9],[24.5 24.5] ; [7.5 7.5],0
r4,1,0.378223,0.776471,[42  7] ; [13  4],[40.83333333  8.16666667] ; [14.16666667  2.83333333],0
n6,1,0.39791,0.714632,[41  7] ; [13  4],[39.87692308  8.12307692] ; [14.12307692  2.87692308],0
n3,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
s5,1,0.424122,0.638864,[15 31] ; [ 3 11],[13.8 32.2] ; [4.2 9.8],0
s8,1,0.4453,0.582586,[10 39] ; [ 5 12],[11.13636364 37.86363636] ; [ 3.86363636 13.13636364],0
n4,1,0.489975,0.476582,[27 22] ; [11  6],[28.21212121 20.78787879] ; [9.78787879 7.21212121],0
v1,1,0.543203,0.369636,[21 27] ; [ 6 11],[19.93846154 28.06153846] ; [7.06153846 9.93846154],0
n1,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
n5,1,0.60328,0.270077,[35 14] ; [11  6],[34.15151515 14.84848485] ; [11.84848485  5.15151515],0
s6,1,0.639994,0.21875,[35 13] ; [10  5],[34.28571429 13.71428571] ; [10.71428571  4.28571429],0
p4,1,0.778341,0.079232,[25 24] ; [8 9],[24.5 24.5] ; [8.5 8.5],0
p7,1,0.778341,0.079232,[25 24] ; [8 9],[24.5 24.5] ; [8.5 8.5],0
n2,1,0.786648,0.07326,[10  5] ; [3 2],[9.75 5.25] ; [3.25 1.75],0
v3,1,0.829218,0.046528,[10 37] ; [ 3 13],[ 9.6984127 37.3015873] ; [ 3.3015873 12.6984127],0
p11,1,0.842234,0.039616,[33 16] ; [11  6],[32.66666667 16.33333333] ; [11.33333333  5.66666667],0
r3,1,0.857105,0.032422,[44  5] ; [15  2],[43.8030303  5.1969697] ; [15.1969697  1.8030303],0
s2,1,0.891198,0.018711,[20 29] ; [6 8],[20.22222222 28.77777778] ; [5.77777778 8.22222222],0
p3,1,0.979239,0.000677,[20 29] ; [ 7 10],[20.04545455 28.95454545] ; [ 6.95454545 10.04545455],0
a6,1,0.979239,0.000677,[29 20] ; [10  7],[28.95454545 20.04545455] ; [10.04545455  6.95454545],0
