Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.185142,[51 13] ; [34 72],[32. 32.] ; [53. 53.],1
v1,1,0.000133,14.5951,[46 19] ; [45 65],[33.8 31.2] ; [57.2 52.8],1
a4,1,0.002021,9.530769,[31 34] ; [28 84],[21.66666667 43.33333333] ; [37.33333333 74.66666667],0
d3,1,0.012592,6.225601,[51 14] ; [68 45],[43.45505618 21.54494382] ; [75.54494382 37.45505618],0
s5,1,0.040111,4.213173,[24 40] ; [25 84],[18.12716763 45.87283237] ; [30.87283237 78.12716763],0
p4,1,0.040949,4.178115,[38 25] ; [50 63],[31.5 31.5] ; [56.5 56.5],0
p5,1,0.048384,3.896587,[ 9 56] ; [  6 107],[ 5.47752809 59.52247191] ; [  9.52247191 103.47752809],0
b3,1,0.055944,3.653714,[16 22] ; [14 45],[11.75257732 26.24742268] ; [18.24742268 40.75257732],0
b2,1,0.055944,3.653714,[16 22] ; [14 45],[11.75257732 26.24742268] ; [18.24742268 40.75257732],0
s3,1,0.05735,3.612412,[37 24] ; [51 61],[31.02890173 29.97109827] ; [56.97109827 55.02890173],0
n4,1,0.060193,3.532049,[51 13] ; [75 38],[45.55932203 18.44067797] ; [80.44067797 32.55932203],0
b1,1,0.081451,3.035702,[18 47] ; [46 67],[23.37078652 41.62921348] ; [40.62921348 72.37078652],0
s2,1,0.087048,2.928128,[36 28] ; [48 64],[30.54545455 33.45454545] ; [53.45454545 58.54545455],0
r1,1,0.089205,2.888655,[54 10] ; [82 30],[49.45454545 14.54545455] ; [86.54545455 25.45454545],0
d1,1,0.092254,2.834602,[39 26] ; [53 60],[33.59550562 31.40449438] ; [58.40449438 54.59550562],0
r4,1,0.114705,2.488166,[60  5] ; [95 18],[56.6011236  8.3988764] ; [98.3988764 14.6011236],0
n1,1,0.139358,2.185037,[ 4 11] ; [14 14],[6.27906977 8.72093023] ; [11.72093023 16.27906977],0
a2,1,0.140232,2.17541,[12 53] ; [ 12 101],[ 8.76404494 56.23595506] ; [15.23595506 97.76404494],0
d4,1,0.140838,2.168776,[55 10] ; [85 28],[51.12359551 13.87640449] ; [88.87640449 24.12359551],0
s8,1,0.143382,2.141282,[31 33] ; [42 71],[26.39548023 37.60451977] ; [46.60451977 66.39548023],0
p11,1,0.155774,2.014782,[49 16] ; [95 18],[52.58426966 12.41573034] ; [91.41573034 21.58426966],0
d2,1,0.157237,2.000601,[30 35] ; [40 73],[25.56179775 39.43820225] ; [44.43820225 68.56179775],0
s7,1,0.177857,1.815439,[31 30] ; [45 67],[26.79768786 34.20231214] ; [49.20231214 62.79768786],0
s4,1,0.197347,1.661898,[ 6 58] ; [18 92],[ 8.82758621 55.17241379] ; [15.17241379 94.82758621],0
r2,1,0.236327,1.402368,[60  3] ; [101  11],[57.96  5.04] ; [103.04   8.96],0
a3,1,0.246538,1.342814,[44 21] ; [66 46],[40.39548023 24.60451977] ; [69.60451977 42.39548023],0
b4,1,0.263255,1.251556,[39 26] ; [58 55],[35.42134831 29.57865169] ; [61.57865169 51.42134831],0
a1,1,0.268619,1.223784,[ 3 62] ; [  2 111],[ 1.8258427 63.1741573] ; [  3.1741573 109.8258427],0
u4,1,0.274018,1.196522,[ 2 63] ; [  1 112],[ 1.09550562 63.90449438] ; [  1.90449438 111.09550562],0
