Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.1e-05,17.326182,[ 1 23] ; [31 27],[ 9.36585366 14.63414634] ; [22.63414634 35.36585366],1
s2,1,0.000328,12.905455,[ 4 20] ; [36 24],[11.42857143 12.57142857] ; [28.57142857 31.42857143],1
s8,1,0.002157,9.411111,[ 4 20] ; [32 28],[10.28571429 13.71428571] ; [25.71428571 34.28571429],0
b4,1,0.003579,8.485817,[ 9 15] ; [43 17],[14.85714286  9.14285714] ; [37.14285714 22.85714286],0
s3,1,0.008468,6.931695,[ 7 17] ; [36 23],[12.43373494 11.56626506] ; [30.56626506 28.43373494],0
s4,1,0.025675,4.977778,[ 2 22] ; [19 41],[ 6. 18.] ; [15. 45.],0
r3,1,0.032068,4.594872,[20  4] ; [58  2],[22.28571429  1.71428571] ; [55.71428571  4.28571429],0
d2,1,0.053537,3.727085,[ 5 19] ; [26 34],[ 8.85714286 15.14285714] ; [22.14285714 37.85714286],0
a4,1,0.05475,3.689669,[ 4 20] ; [23 37],[ 7.71428571 16.28571429] ; [19.28571429 40.71428571],0
p6,1,0.09641,2.763952,[ 5 18] ; [24 34],[ 8.2345679 14.7654321] ; [20.7654321 37.2345679],0
d1,1,0.112377,2.520476,[ 9 15] ; [34 26],[12.28571429 11.71428571] ; [30.71428571 29.28571429],0
p1,1,0.11396,2.498425,[ 1 23] ; [10 48],[ 3.2195122 20.7804878] ; [ 7.7804878 50.2195122],0
a8,1,0.118097,2.44238,[ 2 19] ; [ 1 55],[ 0.81818182 20.18181818] ; [ 2.18181818 53.81818182],0
r4,1,0.126919,2.329794,[18  6] ; [53  7],[20.28571429  3.71428571] ; [50.71428571  9.28571429],0
b5,1,0.185267,1.754861,[11 13] ; [37 23],[13.71428571 10.28571429] ; [34.28571429 25.71428571],0
d4,1,0.197691,1.65935,[17  7] ; [50 10],[19.14285714  4.85714286] ; [47.85714286 12.14285714],0
p7,1,0.209483,1.574998,[16  8] ; [47 12],[18.21686747  5.78313253] ; [44.78313253 14.21686747],0
s7,1,0.239872,1.381346,[ 7 15] ; [26 30],[ 9.30769231 12.69230769] ; [23.69230769 32.30769231],0
a2,1,0.252302,1.310509,[ 2 22] ; [11 49],[ 3.71428571 20.28571429] ; [ 9.28571429 50.71428571],0
v3,1,0.275316,1.190069,[ 4 18] ; [17 39],[ 5.92307692 16.07692308] ; [15.07692308 40.92307692],0
n6,1,0.283053,1.152372,[18  6] ; [37 22],[15.90361446  8.09638554] ; [39.09638554 19.90361446],0
n1,1,0.305507,1.05,[1 6] ; [5 9],[2. 5.] ; [ 4. 10.],0
n5,1,0.329672,0.950185,[10 14] ; [18 41],[ 8.09638554 15.90361446] ; [19.90361446 39.09638554],0
r2,1,0.382193,0.763636,[21  3] ; [56  4],[22.  2.] ; [55.  5.],0
p8,1,0.437086,0.603922,[13 11] ; [38 22],[14.57142857  9.42857143] ; [36.42857143 23.57142857],0
p4,1,0.439068,0.598717,[16  8] ; [45 15],[17.42857143  6.57142857] ; [43.57142857 16.42857143],0
n2,1,0.468717,0.525,[6 1] ; [10  4],[5.33333333 1.66666667] ; [10.66666667  3.33333333],0
a7,1,0.480016,0.498827,[19  5] ; [43 17],[17.71428571  6.28571429] ; [44.28571429 15.71428571],0
p12,1,0.502944,0.448718,[ 1 23] ; [ 5 55],[ 1.71428571 22.28571429] ; [ 4.28571429 55.71428571],0
r1,1,0.537627,0.379956,[15  9] ; [41 18],[16.19277108  7.80722892] ; [39.80722892 19.19277108],0
p5,1,0.556732,0.345395,[ 3 21] ; [ 5 55],[ 2.28571429 21.71428571] ; [ 5.71428571 54.28571429],0
u2,1,0.562771,0.334928,[5 4] ; [14  7],[5.7 3.3] ; [13.3  7.7],0
p10,1,0.571268,0.320566,[16  8] ; [43 16],[17.06024096  6.93975904] ; [41.93975904 17.06024096],0
p9,1,0.582787,0.301751,[20  4] ; [46 13],[19.08433735  4.91566265] ; [46.91566265 12.08433735],0
u3,1,0.593148,0.285456,[7 2] ; [15  7],[6.38709677 2.61290323] ; [15.61290323  6.38709677],0
b2,1,0.593353,0.285138,[3 9] ; [11 22],[3.73333333 8.26666667] ; [10.26666667 22.73333333],0
b3,1,0.593353,0.285138,[3 9] ; [11 22],[3.73333333 8.26666667] ; [10.26666667 22.73333333],0
v2,1,0.614798,0.253247,[10 12] ; [29 27],[11. 11.] ; [28. 28.],0
b1,1,0.624206,0.24,[11 13] ; [24 36],[10. 14.] ; [25. 35.],0
a5,1,0.650701,0.205017,[16  8] ; [43 17],[16.85714286  7.14285714] ; [42.14285714 17.85714286],0
u1,1,0.655439,0.199111,[ 2 22] ; [ 7 53],[ 2.57142857 21.42857143] ; [ 6.42857143 53.57142857],0
a1,1,0.66176,0.191392,[ 1 23] ; [ 4 56],[ 1.42857143 22.57142857] ; [ 3.57142857 56.42857143],0
a6,1,0.66989,0.181731,[14 10] ; [38 22],[14.85714286  9.14285714] ; [37.14285714 22.85714286],0
n3,1,0.743421,0.107143,[5 2] ; [9 5],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
v1,1,0.804888,0.061022,[11 12] ; [29 28],[11.5 11.5] ; [28.5 28.5],0
p11,1,0.822833,0.050133,[17  7] ; [41 19],[16.57142857  7.42857143] ; [41.42857143 18.57142857],0
p2,1,0.831905,0.045054,[20  4] ; [48 11],[19.6626506  4.3373494] ; [48.3373494 10.6626506],0
d5,1,0.871291,0.02625,[18  6] ; [46 14],[18.28571429  5.71428571] ; [45.71428571 14.28571429],0
a3,1,0.942998,0.005113,[15  9] ; [38 22],[15.14285714  8.85714286] ; [37.85714286 22.14285714],0
d3,1,1.0,0.0,[16  8] ; [40 20],[16.  8.] ; [40. 20.],0
v4,1,1.0,0.0,[22  2] ; [55  5],[22.  2.] ; [55.  5.],0
