Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,26.053217,[80 49] ; [116  14],[97.62162162 31.37837838] ; [98.37837838 31.62162162],1
p4,1,1e-06,24.712984,[74 59] ; [109  21],[92.54372624 40.45627376] ; [90.45627376 39.54372624],1
p8,1,3e-06,21.550965,[63 69] ; [99 32],[81.30798479 50.69201521] ; [80.69201521 50.30798479],1
p3,1,7.3e-05,15.739425,[66 68] ; [95 35],[81.71969697 52.28030303] ; [79.28030303 50.71969697],1
n4,1,0.004384,8.117644,[95 37] ; [113  18],[104.39543726  27.60456274] ; [103.60456274  27.39543726],0
s7,1,0.004732,7.979099,[76 52] ; [95 30],[86.51383399 41.48616601] ; [84.48616601 40.51383399],0
p1,1,0.005177,7.816421,[ 10 123] ; [ 25 105],[ 17.69961977 115.30038023] ; [ 17.30038023 112.69961977],0
p5,1,0.009946,6.644511,[ 21 112] ; [38 93],[ 29.72348485 103.27651515] ; [ 29.27651515 101.72348485],0
a1,1,0.021178,5.31207,[  4 130] ; [ 13 118],[  8.59622642 125.40377358] ; [  8.40377358 122.59622642],0
n5,1,0.030118,4.702564,[98 33] ; [112  19],[105.  26.] ; [105.  26.],0
s8,1,0.033957,4.496844,[72 61] ; [87 43],[80.40684411 52.59315589] ; [78.59315589 51.40684411],0
p10,1,0.040552,4.194639,[120  12] ; [127   4],[123.96958175   8.03041825] ; [123.03041825   7.96958175],0
r4,1,0.04373,4.066961,[122  12] ; [127   4],[125.90943396   8.09056604] ; [123.09056604   7.90943396],0
s2,1,0.052957,3.745271,[91 41] ; [104  27],[97.87072243 34.12927757] ; [97.12927757 33.87072243],0
u3,1,0.067278,3.348214,[18 14] ; [22  6],[21.33333333 10.66666667] ; [18.66666667  9.33333333],0
n3,1,0.075927,3.15,[23  5] ; [17 11],[20.  8.] ; [20.  8.],0
v1,1,0.086754,2.933602,[75 55] ; [89 42],[81.68582375 48.31417625] ; [82.31417625 48.68582375],0
p12,1,0.090036,2.873736,[ 14 120] ; [ 23 107],[ 18.78030303 115.21969697] ; [ 18.21969697 111.78030303],0
