Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.715928,[17 32] ; [117  47],[30.82629108 18.17370892] ; [103.17370892  60.82629108],1
r4,1,6.5e-05,15.96398,[29 20] ; [141  24],[38.92523364 10.07476636] ; [131.07476636  33.92523364],1
r3,1,8e-05,15.566969,[38 10] ; [157   6],[44.36018957  3.63981043] ; [150.63981043  12.36018957],1
s4,1,0.000291,13.128233,[18 31] ; [ 22 140],[ 9.28909953 39.71090047] ; [ 30.71090047 131.28909953],1
n5,1,0.001498,10.081395,[24 25] ; [120  44],[33.12676056 15.87323944] ; [110.87323944  53.12676056],0
p11,1,0.002768,8.95419,[27 22] ; [127  38],[35.26168224 13.73831776] ; [118.73831776  46.26168224],0
p4,1,0.003119,8.736622,[16 33] ; [93 71],[25.07511737 23.92488263] ; [83.92488263 80.07511737],0
v3,1,0.004818,7.946337,[ 7 40] ; [ 59 102],[14.91346154 32.08653846] ; [ 51.08653846 109.91346154],0
p10,1,0.007458,7.159091,[28 20] ; [126  36],[35.2 12.8] ; [118.8  43.2],0
a8,1,0.013087,6.157344,[ 1 46] ; [ 24 127],[ 5.93434343 41.06565657] ; [ 19.06565657 131.93434343],0
p3,1,0.021892,5.254373,[13 36] ; [74 91],[19.92056075 29.07943925] ; [67.07943925 97.92056075],0
p9,1,0.022104,5.237561,[32 16] ; [133  29],[37.71428571 10.28571429] ; [127.28571429  34.71428571],0
r2,1,0.027236,4.875788,[38 10] ; [149  15],[42.33962264  5.66037736] ; [144.66037736  19.33962264],0
b1,1,0.030848,4.661376,[24 25] ; [ 53 112],[17.63084112 31.36915888] ; [ 59.36915888 105.63084112],0
p5,1,0.071525,3.247672,[ 2 47] ; [ 22 143],[ 5.4953271 43.5046729] ; [ 18.5046729 146.4953271],0
v4,1,0.094132,2.802245,[42  5] ; [158   7],[44.33962264  2.66037736] ; [155.66037736   9.33962264],0
u2,1,0.134031,2.245178,[19 10] ; [41 42],[15.53571429 13.46428571] ; [44.46428571 38.53571429],0
r1,1,0.146354,2.10985,[27 22] ; [109  55],[31.28638498 17.71361502] ; [104.71361502  59.28638498],0
a4,1,0.187409,1.737872,[ 6 43] ; [ 34 131],[ 9.1588785 39.8411215] ; [ 30.8411215 134.1588785],0
a3,1,0.204902,1.607083,[19 30] ; [80 83],[22.88207547 26.11792453] ; [76.11792453 86.88207547],0
b2,1,0.248006,1.334502,[ 4 20] ; [26 66],[ 6.20689655 17.79310345] ; [23.79310345 68.20689655],0
b3,1,0.248006,1.334502,[ 4 20] ; [26 66],[ 6.20689655 17.79310345] ; [23.79310345 68.20689655],0
a6,1,0.261412,1.261262,[30 19] ; [86 79],[26.56074766 22.43925234] ; [89.43925234 75.56074766],0
a7,1,0.263006,1.252863,[30 19] ; [113  49],[33.20853081 15.79146919] ; [109.79146919  52.20853081],0
v2,1,0.281088,1.16182,[17 28] ; [74 84],[20.17241379 24.82758621] ; [70.82758621 87.17241379],0
p8,1,0.294775,1.097682,[20 27] ; [84 80],[23.16587678 23.83412322] ; [80.83412322 83.16587678],0
d2,1,0.306954,1.043736,[ 8 41] ; [ 38 126],[10.58215962 38.41784038] ; [ 35.41784038 128.58215962],0
u3,1,0.346382,0.886667,[18 12] ; [42 42],[15.78947368 14.21052632] ; [44.21052632 39.78947368],0
s8,1,0.392004,0.732717,[14 35] ; [ 58 107],[16.48598131 32.51401869] ; [ 55.51401869 109.48598131],0
s2,1,0.431883,0.617754,[19 30] ; [74 90],[21.3943662 27.6056338] ; [71.6056338 92.3943662],0
u1,1,0.446469,0.579601,[ 3 46] ; [  6 159],[ 2.06074766 46.93925234] ; [  6.93925234 158.06074766],0
d1,1,0.481883,0.494598,[14 35] ; [ 56 109],[16.02803738 32.97196262] ; [ 53.97196262 111.02803738],0
s6,1,0.521229,0.411462,[27 22] ; [97 64],[28.93333333 20.06666667] ; [95.06666667 65.93333333],0
p7,1,0.598696,0.276967,[27 19] ; [102  60],[28.52884615 17.47115385] ; [100.47115385  61.52884615],0
d3,1,0.609503,0.260899,[27 21] ; [99 65],[28.52830189 19.47169811] ; [97.47169811 66.52830189],0
n1,1,0.629773,0.232369,[ 5 13] ; [14 27],[ 5.79661017 12.20338983] ; [13.20338983 27.79661017],0
p1,1,0.649959,0.205952,[ 4 45] ; [ 17 147],[ 4.83098592 44.16901408] ; [ 16.16901408 147.83098592],0
