Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,5.1e-05,16.394966,[65 67] ; [ 7 39],[53.39325843 78.60674157] ; [18.60674157 27.39325843],1
p4,1,0.000148,14.398833,[79 52] ; [12 32],[68.12 62.88] ; [22.88 21.12],1
r2,1,0.000213,13.711778,[128   3] ; [37  8],[122.8125   8.1875] ; [42.1875  2.8125],1
p10,1,0.000268,13.283858,[111  21] ; [26 19],[102.16949153  29.83050847] ; [34.83050847 10.16949153],1
p9,1,0.000503,12.102671,[111  20] ; [27 18],[102.71590909  28.28409091] ; [35.28409091  9.71590909],1
a6,1,0.000755,11.348136,[101  31] ; [23 23],[91.95505618 40.04494382] ; [32.04494382 13.95505618],1
d2,1,0.000888,11.047228,[76 56] ; [13 32],[66.37288136 65.62711864] ; [22.62711864 22.37288136],1
r4,1,0.001271,10.383954,[120  12] ; [33 13],[113.46067416  18.53932584] ; [39.53932584  6.46067416],0
u1,1,0.001549,10.019323,[ 30 102] ; [ 1 45],[ 22.98876404 109.01123596] ; [ 8.01123596 37.98876404],0
p3,1,0.002103,9.457721,[66 66] ; [11 35],[57.1011236 74.8988764] ; [19.8988764 26.1011236],0
d5,1,0.00256,9.09748,[117  15] ; [32 14],[110.49438202  21.50561798] ; [38.50561798  7.49438202],0
n4,1,0.003616,8.467268,[103  29] ; [25 20],[95.45762712 36.54237288] ; [32.54237288 12.45762712],0
r3,1,0.003899,8.330115,[127   3] ; [39  6],[123.31428571   6.68571429] ; [42.68571429  2.31428571],0
r1,1,0.007363,7.182259,[114  17] ; [32 14],[108.05649718  22.94350282] ; [37.94350282  8.05649718],0
d1,1,0.009904,6.652144,[86 46] ; [20 26],[78.60674157 53.39325843] ; [27.39325843 18.60674157],0
s7,1,0.037365,4.33368,[62 62] ; [14 30],[56.0952381 67.9047619] ; [19.9047619 24.0952381],0
d4,1,0.044226,4.047904,[114  18] ; [33 12],[109.62711864  22.37288136] ; [37.37288136  7.62711864],0
s6,1,0.050384,3.828636,[85 45] ; [22 23],[79.48571429 50.51428571] ; [27.51428571 17.48571429],0
s3,1,0.052804,3.750109,[76 53] ; [19 26],[70.43103448 58.56896552] ; [24.56896552 20.43103448],0
s2,1,0.055731,3.660092,[67 64] ; [16 30],[61.42937853 69.57062147] ; [21.57062147 24.42937853],0
b2,1,0.068051,3.329416,[29 48] ; [ 5 22],[25.17307692 51.82692308] ; [ 8.82692308 18.17307692],0
b3,1,0.068051,3.329416,[29 48] ; [ 5 22],[25.17307692 51.82692308] ; [ 8.82692308 18.17307692],0
s5,1,0.099531,2.713046,[45 79] ; [10 34],[40.5952381 83.4047619] ; [14.4047619 29.5952381],0
n5,1,0.102809,2.66142,[87 43] ; [24 21],[82.45714286 47.54285714] ; [28.54285714 16.45714286],0
a3,1,0.134427,2.240615,[101  31] ; [30 16],[97.14606742 34.85393258] ; [33.85393258 12.14606742],0
p12,1,0.159069,1.983056,[ 11 121] ; [ 1 44],[  8.94915254 123.05084746] ; [ 3.05084746 41.94915254],0
p7,1,0.192948,1.694965,[83 48] ; [23 21],[79.34857143 51.65142857] ; [26.65142857 17.34857143],0
d3,1,0.193307,1.692231,[94 38] ; [28 18],[90.47191011 41.52808989] ; [31.52808989 14.47191011],0
v4,1,0.201356,1.632513,[121   9] ; [40  6],[118.92045455  11.07954545] ; [42.07954545  3.92045455],0
a8,1,0.215201,1.536089,[ 11 107] ; [ 7 36],[ 13.19254658 104.80745342] ; [ 4.80745342 38.19254658],0
p8,1,0.306162,1.047162,[63 66] ; [18 27],[60.05172414 68.94827586] ; [20.94827586 24.05172414],0
n3,1,0.361855,0.831444,[25  5] ; [10  4],[23.86363636  6.13636364] ; [11.13636364  2.86363636],0
