Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,4e-06,21.427764,[234  52] ; [21 21],[222.34756098  63.65243902] ; [32.65243902  9.34756098],1
a2,1,0.003045,8.780207,[ 82 205] ; [ 3 39],[ 74.14893617 212.85106383] ; [10.85106383 31.14893617],0
u1,1,0.005729,7.633757,[ 67 220] ; [ 2 40],[ 60.19148936 226.80851064] ; [ 8.80851064 33.19148936],0
v4,1,0.00581,7.608265,[284   3] ; [39  3],[281.76595745   5.23404255] ; [41.23404255  0.76595745],0
a6,1,0.00598,7.556296,[202  82] ; [21 21],[194.26993865  89.73006135] ; [28.73006135 13.26993865],0
a4,1,0.027576,4.854354,[140 145] ; [13 29],[133.34862385 151.65137615] ; [19.65137615 22.34862385],0
r2,1,0.034832,4.453407,[280   5] ; [39  3],[278.02752294   6.97247706] ; [40.97247706  1.02752294],0
p6,1,0.055996,3.652175,[106 174] ; [21 18],[111.47335423 168.52664577] ; [15.52664577 23.47335423],0
u3,1,0.056989,3.622925,[43 25] ; [5 9],[39.80487805 28.19512195] ; [8.19512195 5.80487805],0
s2,1,0.06594,3.381311,[164 119] ; [18 24],[158.48 124.52] ; [23.52 18.48],0
p4,1,0.086936,2.930207,[189  92] ; [22 19],[184.13354037  96.86645963] ; [26.86645963 14.13354037],0
n2,1,0.114295,2.493808,[38  8] ; [6 4],[36.14285714  9.85714286] ; [7.85714286 2.14285714],0
s8,1,0.119987,2.417496,[157 125] ; [18 24],[152.31481481 129.68518519] ; [22.68518519 19.31481481],0
a3,1,0.15594,2.013158,[218  66] ; [28 14],[214.30674847  69.69325153] ; [31.69325153 10.30674847],0
n5,1,0.156249,2.010158,[237  49] ; [31 11],[233.68292683  52.31707317] ; [34.31707317  7.68292683],0
b4,1,0.165031,1.92751,[173 114] ; [30 12],[177.08510638 109.91489362] ; [25.91489362 16.08510638],0
s5,1,0.179886,1.798566,[115 164] ; [11 26],[111.24683544 167.75316456] ; [14.75316456 22.24683544],0
n6,1,0.182168,1.779848,[252  33] ; [40  2],[254.49541284  30.50458716] ; [37.50458716  4.49541284],0
d2,1,0.204557,1.609534,[152 133] ; [18 24],[148.16513761 136.83486239] ; [21.83486239 20.16513761],0
p12,1,0.228726,1.448767,[ 39 243] ; [ 3 39],[ 36.55555556 245.44444444] ; [ 5.44444444 36.55555556],0
s4,1,0.267585,1.229085,[ 36 246] ; [ 8 34],[ 38.2962963 243.7037037] ; [ 5.7037037 36.2962963],0
s7,1,0.291729,1.111627,[160 107] ; [21 20],[156.90584416 110.09415584] ; [24.09415584 16.90584416],0
b3,1,0.29518,1.095845,[ 70 116] ; [13 14],[ 72.47887324 113.52112676] ; [10.52112676 16.47887324],0
b2,1,0.29518,1.095845,[ 70 116] ; [13 14],[ 72.47887324 113.52112676] ; [10.52112676 16.47887324],0
b1,1,0.334693,0.930655,[111 176] ; [13 29],[108.17021277 178.82978723] ; [15.82978723 26.17021277],0
p10,1,0.339301,0.913071,[243  38] ; [34  8],[240.98142415  40.01857585] ; [36.01857585  5.98142415],0
u2,1,0.390491,0.737413,[43 26] ; [7 7],[41.56626506 27.43373494] ; [8.43373494 5.56626506],0
d4,1,0.412713,0.670971,[236  48] ; [37  5],[237.82822086  46.17177914] ; [35.17177914  6.82822086],0
n1,1,0.414373,0.666218,[16 28] ; [2 7],[14.94339623 29.05660377] ; [3.05660377 5.94339623],0
b5,1,0.453056,0.562994,[167 120] ; [27 15],[169.23404255 117.76595745] ; [24.76595745 17.23404255],0
p2,1,0.508337,0.437488,[239  45] ; [37  5],[240.44171779  43.55828221] ; [35.55828221  6.44171779],0
a7,1,0.527042,0.400091,[210  75] ; [29 13],[208.30275229  76.69724771] ; [30.69724771 11.30275229],0
a1,1,0.544157,0.367889,[ 21 266] ; [ 2 40],[ 20.06382979 266.93617021] ; [ 2.93617021 39.06382979],0
v2,1,0.55306,0.351864,[226  56] ; [32 10],[224.55555556  57.44444444] ; [33.44444444  8.55555556],0
d1,1,0.594626,0.283177,[183 104] ; [25 17],[181.44680851 105.55319149] ; [26.55319149 15.44680851],0
p3,1,0.602088,0.271859,[167 116] ; [23 19],[165.44615385 117.55384615] ; [24.55384615 17.44615385],0
s6,1,0.607942,0.263183,[202  80] ; [25 12],[200.67084639  81.32915361] ; [26.32915361 10.67084639],0
s3,1,0.628337,0.234323,[167 111] ; [23 18],[165.5799373 112.4200627] ; [24.4200627 16.5799373],0
d3,1,0.663547,0.189243,[206  79] ; [29 13],[204.81651376  80.18348624] ; [30.18348624 11.81651376],0
a8,1,0.673327,0.177735,[ 39 214] ; [ 5 34],[ 38.12328767 214.87671233] ; [ 5.87671233 33.12328767],0
p7,1,0.757581,0.09527,[195  81] ; [28 13],[194.15772871  81.84227129] ; [28.84227129 12.15772871],0
p9,1,0.763096,0.090852,[241  39] ; [36  5],[241.61993769  38.38006231] ; [35.38006231  5.61993769],0
p1,1,0.785678,0.073944,[ 31 253] ; [ 4 38],[ 30.49079755 253.50920245] ; [ 4.50920245 37.49079755],0
n3,1,0.790522,0.070561,[35 11] ; [8 2],[35.32142857 10.67857143] ; [7.67857143 2.32142857],0
d5,1,0.803806,0.061715,[233  52] ; [35  7],[233.57798165  51.42201835] ; [34.42201835  7.57798165],0
n4,1,0.853221,0.034229,[242  44] ; [36  6],[242.40243902  43.59756098] ; [35.59756098  6.40243902],0
u4,1,0.880098,0.022754,[  8 279] ; [ 1 41],[  7.85106383 279.14893617] ; [ 1.14893617 40.85106383],0
p11,1,0.884201,0.021213,[235  52] ; [34  8],[234.65957447  52.34042553] ; [34.34042553  7.65957447],0
v1,1,0.887522,0.020006,[193  91] ; [29 13],[193.39877301  90.60122699] ; [28.60122699 13.39877301],0
p5,1,0.92502,0.008857,[ 49 235] ; [ 7 35],[ 48.78527607 235.21472393] ; [ 7.21472393 34.78527607],0
p8,1,1.0,0.0,[168 112] ; [24 16],[168. 112.] ; [24. 16.],0
