Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000634,11.672588,[96 57] ; [ 7 19],[88.03910615 64.96089385] ; [14.96089385 11.03910615],1
p5,1,0.000871,11.084418,[  7 144] ; [ 6 20],[ 11.09039548 139.90960452] ; [ 1.90960452 24.09039548],1
s8,1,0.014187,6.01475,[ 31 122] ; [11 15],[ 35.89944134 117.10055866] ; [ 6.10055866 19.89944134],0
v2,1,0.043379,4.080559,[82 65] ; [20  6],[86.67052023 60.32947977] ; [15.32947977 10.67052023],0
n4,1,0.043874,4.061417,[106  47] ; [23  3],[110.26256983  42.73743017] ; [18.73743017  7.26256983],0
a7,1,0.057202,3.6167,[105  47] ; [13 13],[100.76404494  51.23595506] ; [17.23595506  8.76404494],0
b3,1,0.05974,3.544597,[32 60] ; [11  8],[35.63963964 56.36036036] ; [ 7.36036036 11.63963964],0
b2,1,0.05974,3.544597,[32 60] ; [11  8],[35.63963964 56.36036036] ; [ 7.36036036 11.63963964],0
v3,1,0.07102,3.259296,[55 94] ; [14 11],[59.0862069 89.9137931] ; [ 9.9137931 15.0862069],0
p1,1,0.084334,2.979342,[  9 144] ; [ 4 22],[ 11.11173184 141.88826816] ; [ 1.88826816 24.11173184],0
v1,1,0.089622,2.881154,[73 79] ; [16  8],[76.86363636 75.13636364] ; [12.13636364 11.86363636],0
p2,1,0.103266,2.654371,[127  24] ; [25  1],[129.67231638  21.32768362] ; [22.32768362  3.67231638],0
r4,1,0.10735,2.592802,[129  24] ; [25  1],[131.63128492  21.36871508] ; [22.36871508  3.63128492],0
p11,1,0.112034,2.525299,[121  32] ; [24  2],[123.93854749  29.06145251] ; [21.06145251  4.93854749],0
p10,1,0.187437,1.737649,[110  42] ; [22  4],[112.71910112  39.28089888] ; [19.28089888  6.71910112],0
p3,1,0.227543,1.456154,[80 72] ; [17  9],[82.83146067 69.16853933] ; [14.16853933 11.83146067],0
r1,1,0.232476,1.425651,[112  40] ; [22  4],[114.42696629  37.57303371] ; [19.57303371  6.42696629],0
n6,1,0.232771,1.42385,[119  33] ; [23  3],[121.25842697  30.74157303] ; [20.74157303  5.25842697],0
d2,1,0.234172,1.41534,[69 84] ; [15 11],[71.79888268 81.20111732] ; [12.20111732 13.79888268],0
n5,1,0.246182,1.34484,[100  53] ; [20  6],[102.5698324  50.4301676] ; [17.4301676  8.5698324],0
a5,1,0.246182,1.34484,[100  53] ; [20  6],[102.5698324  50.4301676] ; [17.4301676  8.5698324],0
p4,1,0.265466,1.240026,[87 64] ; [18  8],[89.57627119 61.42372881] ; [15.42372881 10.57627119],0
a6,1,0.272796,1.202634,[105  48] ; [15 11],[102.5698324  50.4301676] ; [17.4301676  8.5698324],0
d3,1,0.311474,1.024416,[97 54] ; [14 12],[94.69491525 56.30508475] ; [16.30508475  9.69491525],0
p6,1,0.314669,1.010975,[53 95] ; [12 14],[55.28735632 92.71264368] ; [ 9.71264368 16.28735632],0
u2,1,0.36157,0.832434,[26 23] ; [2 4],[24.94545455 24.05454545] ; [3.05454545 2.94545455],0
d5,1,0.369209,0.806325,[110  42] ; [21  5],[111.86516854  40.13483146] ; [19.13483146  6.86516854],0
n1,1,0.379041,0.77381,[10 25] ; [2 2],[10.76923077 24.23076923] ; [1.23076923 2.76923077],0
u1,1,0.393048,0.729492,[ 15 138] ; [ 4 22],[ 16.24022346 136.75977654] ; [ 2.75977654 23.24022346],0
d4,1,0.404615,0.694567,[111  41] ; [21  5],[112.71910112  39.28089888] ; [19.28089888  6.71910112],0
d1,1,0.415964,0.66169,[81 72] ; [16 10],[82.91061453 70.08938547] ; [14.08938547 11.91061453],0
a3,1,0.445659,0.581669,[104  48] ; [19  6],[105.62711864  46.37288136] ; [17.37288136  7.62711864],0
a8,1,0.450834,0.568554,[ 19 117] ; [ 2 22],[ 17.85 118.15] ; [ 3.15 20.85],0
u3,1,0.472352,0.516469,[21 28] ; [2 5],[20.125 28.875] ; [2.875 4.125],0
p8,1,0.560557,0.338741,[89 61] ; [17  9],[90.34090909 59.65909091] ; [15.65909091 10.34090909],0
b4,1,0.567374,0.327096,[79 74] ; [15 11],[80.34636872 72.65363128] ; [13.65363128 12.34636872],0
s7,1,0.588689,0.292396,[ 38 104] ; [ 8 17],[ 39.11377246 102.88622754] ; [ 6.88622754 18.11377246],0
p9,1,0.618215,0.248384,[116  36] ; [21  5],[116.98876404  35.01123596] ; [20.01123596  5.98876404],0
a2,1,0.719766,0.128717,[ 28 125] ; [ 4 22],[ 27.35195531 125.64804469] ; [ 4.64804469 21.35195531],0
r2,1,0.720142,0.128357,[136  15] ; [24  2],[136.49717514  14.50282486] ; [23.50282486  2.49717514],0
s2,1,0.785252,0.074246,[ 33 120] ; [ 6 19],[ 33.52247191 119.47752809] ; [ 5.47752809 19.52247191],0
s3,1,0.803586,0.061856,[ 46 105] ; [ 7 18],[ 45.47159091 105.52840909] ; [ 7.52840909 17.47159091],0
n2,1,0.843435,0.039007,[26 11] ; [3 1],[26.17073171 10.82926829] ; [2.82926829 1.17073171],0
s1,1,0.855644,0.033096,[  5 147] ; [ 1 24],[  5.15254237 146.84745763] ; [ 0.84745763 24.15254237],0
p12,1,0.884443,0.021124,[  5 147] ; [ 1 25],[  5.12359551 146.87640449] ; [ 0.87640449 25.12359551],0
b1,1,0.892093,0.018403,[61 92] ; [10 16],[60.68715084 92.31284916] ; [10.31284916 15.68715084],0
s4,1,0.927233,0.008341,[ 11 142] ; [ 2 24],[ 11.11173184 141.88826816] ; [ 1.88826816 24.11173184],0
a4,1,0.992229,9.5e-05,[59 94] ; [10 16],[58.97765363 94.02234637] ; [10.02234637 15.97765363],0
