Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.947156,[32  4] ; [ 6 16],[23.5862069 12.4137931] ; [14.4137931  7.5862069],1
s4,1,0.00851,6.922971,[ 2 33] ; [ 7 15],[ 5.52631579 29.47368421] ; [ 3.47368421 18.52631579],0
p8,1,0.011296,6.418128,[12 23] ; [ 1 20],[ 8.125 26.875] ; [ 4.875 16.125],0
a7,1,0.020585,5.361596,[18 17] ; [18  4],[22.10526316 12.89473684] ; [13.89473684  8.10526316],0
p11,1,0.024344,5.06993,[24 12] ; [ 8 14],[19.86206897 16.13793103] ; [12.13793103  9.86206897],0
n6,1,0.028037,4.825788,[26  9] ; [10 12],[22.10526316 12.89473684] ; [13.89473684  8.10526316],0
p9,1,0.031795,4.609528,[23 11] ; [ 8 13],[19.16363636 14.83636364] ; [11.83636364  9.16363636],0
s8,1,0.050384,3.828644,[11 24] ; [ 2 20],[ 7.98245614 27.01754386] ; [ 5.01754386 16.98245614],0
p5,1,0.064931,3.406737,[ 8 27] ; [ 1 21],[ 5.52631579 29.47368421] ; [ 3.47368421 18.52631579],0
n2,1,0.065447,3.393665,[11  6] ; [4 9],[8.5 8.5] ; [6.5 6.5],0
p6,1,0.082743,3.010173,[10 24] ; [ 2 19],[ 7.41818182 26.58181818] ; [ 4.58181818 16.41818182],0
r3,1,0.086068,2.946429,[18 15] ; [17  5],[21. 12.] ; [14.  8.],0
u2,1,0.094264,2.8,[1 6] ; [4 3],[2.5 4.5] ; [2.5 4.5],0
n3,1,0.095882,2.772736,[ 6 11] ; [8 4],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
p7,1,0.100418,2.698897,[11 22] ; [ 3 19],[ 8.4 24.6] ; [ 5.6 16.4],0
u1,1,0.110349,2.549217,[ 7 29] ; [ 1 21],[ 4.96551724 31.03448276] ; [ 3.03448276 18.96551724],0
p1,1,0.110349,2.549217,[ 7 29] ; [ 1 21],[ 4.96551724 31.03448276] ; [ 3.03448276 18.96551724],0
p10,1,0.126428,2.335829,[21 13] ; [ 9 13],[18.21428571 15.78571429] ; [11.78571429 10.21428571],0
p4,1,0.138698,2.192342,[16 18] ; [ 6 16],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
d3,1,0.169145,1.890502,[30  6] ; [21  1],[31.65517241  4.34482759] ; [19.34482759  2.65517241],0
