Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.901581,[ 7 17] ; [58 13],[16.42105263  7.57894737] ; [48.57894737 22.42105263],1
n6,1,5.8e-05,16.172486,[14 10] ; [66  5],[20.21052632  3.78947368] ; [59.78947368 11.21052632],1
s7,1,0.00161,9.948344,[ 6 18] ; [43 26],[12.64516129 11.35483871] ; [36.35483871 32.64516129],0
p9,1,0.00176,9.784728,[15  9] ; [64  7],[19.95789474  4.04210526] ; [59.04210526 11.95789474],0
p10,1,0.00176,9.784728,[15  9] ; [64  7],[19.95789474  4.04210526] ; [59.04210526 11.95789474],0
v4,1,0.012175,6.285209,[19  5] ; [67  3],[21.95744681  2.04255319] ; [64.04255319  5.95744681],0
r4,1,0.037501,4.327514,[16  8] ; [61 10],[19.45263158  4.54736842] ; [57.54736842 13.45263158],0
s8,1,0.037757,4.315957,[ 6 18] ; [35 36],[10.35789474 13.64210526] ; [30.64210526 40.35789474],0
a4,1,0.040082,4.214424,[ 1 23] ; [16 54],[ 4.34042553 19.65957447] ; [12.65957447 57.34042553],0
v2,1,0.057508,3.607843,[ 8 16] ; [38 30],[12. 12.] ; [34. 34.],0
p11,1,0.058901,3.568075,[16  8] ; [60 11],[19.2  4.8] ; [56.8 14.2],0
s5,1,0.092133,2.836709,[ 4 19] ; [25 44],[ 7.25 15.75] ; [21.75 47.25],0
s2,1,0.093063,2.820576,[ 8 15] ; [39 32],[11.5 11.5] ; [35.5 35.5],0
a1,1,0.093526,2.812606,[ 2 22] ; [ 1 70],[ 0.75789474 23.24210526] ; [ 2.24210526 68.75789474],0
a3,1,0.123465,2.372807,[ 9 15] ; [39 31],[12.25531915 11.74468085] ; [35.74468085 34.25531915],0
s3,1,0.145095,2.123077,[10 13] ; [42 27],[13. 10.] ; [39. 30.],0
d2,1,0.152222,2.049845,[ 3 21] ; [19 52],[ 5.55789474 18.44210526] ; [16.44210526 54.55789474],0
s6,1,0.153887,2.033292,[12 11] ; [48 22],[14.83870968  8.16129032] ; [45.16129032 24.83870968],0
r2,1,0.169937,1.883503,[19  5] ; [63  7],[20.93617021  3.06382979] ; [61.06382979  8.93617021],0
p5,1,0.197602,1.660009,[ 2 22] ; [14 57],[ 4.04210526 19.95789474] ; [11.95789474 59.04210526],0
r1,1,0.218769,1.512429,[14 10] ; [51 20],[16.42105263  7.57894737] ; [48.57894737 22.42105263],0
p6,1,0.224661,1.474347,[ 8 15] ; [35 36],[10.5212766 12.4787234] ; [32.4787234 38.5212766],0
b5,1,0.255695,1.291915,[17  7] ; [41 30],[14.65263158  9.34736842] ; [43.34736842 27.65263158],0
p3,1,0.255943,1.290567,[11 13] ; [42 29],[13.38947368 10.61052632] ; [39.61052632 31.38947368],0
b2,1,0.26311,1.252319,[3 9] ; [18 24],[4.66666667 7.33333333] ; [16.33333333 25.66666667],0
b3,1,0.26311,1.252319,[3 9] ; [18 24],[4.66666667 7.33333333] ; [16.33333333 25.66666667],0
a8,1,0.278914,1.172373,[ 1 22] ; [ 8 57],[ 2.35227273 20.64772727] ; [ 6.64772727 58.35227273],0
n2,1,0.350201,0.872727,[3 2] ; [9 2],[3.75 1.25] ; [8.25 2.75],0
p4,1,0.353762,0.859917,[13 11] ; [46 25],[14.90526316  9.09473684] ; [44.09473684 26.90526316],0
b4,1,0.36487,0.821063,[12 12] ; [43 28],[13.89473684 10.10526316] ; [41.10526316 29.89473684],0
r3,1,0.367562,0.811892,[20  4] ; [64  7],[21.22105263  2.77894737] ; [62.77894737  8.22105263],0
v3,1,0.411969,0.673111,[ 8 16] ; [30 40],[ 9.70212766 14.29787234] ; [28.29787234 41.70212766],0
a6,1,0.423581,0.640359,[13 11] ; [45 26],[14.65263158  9.34736842] ; [43.34736842 27.65263158],0
d4,1,0.443858,0.586289,[ 9 15] ; [33 38],[10.61052632 13.38947368] ; [31.38947368 39.61052632],0
p2,1,0.478728,0.501761,[18  6] ; [58 13],[19.2  4.8] ; [56.8 14.2],0
a2,1,0.487381,0.482302,[ 1 23] ; [ 6 65],[ 1.76842105 22.23157895] ; [ 5.23157895 65.76842105],0
u2,1,0.521877,0.410182,[9 6] ; [16 16],[7.9787234 7.0212766] ; [17.0212766 14.9787234],0
s4,1,0.609205,0.261334,[ 3 21] ; [12 59],[ 3.78947368 20.21052632] ; [11.21052632 59.78947368],0
d1,1,0.616603,0.250671,[ 1 23] ; [ 5 66],[ 1.51578947 22.48421053] ; [ 4.48421053 66.51578947],0
s1,1,0.638342,0.220917,[ 2 22] ; [ 4 67],[ 1.51578947 22.48421053] ; [ 4.48421053 66.51578947],0
d3,1,0.6595,0.194132,[10 14] ; [26 45],[ 9.09473684 14.90526316] ; [26.90526316 44.09473684],0
a7,1,0.680193,0.169908,[16  8] ; [44 27],[15.15789474  8.84210526] ; [44.84210526 26.15789474],0
p7,1,0.732081,0.117209,[16  7] ; [52 19],[16.63829787  6.36170213] ; [51.36170213 19.63829787],0
b1,1,0.771615,0.084253,[10 14] ; [32 39],[10.61052632 13.38947368] ; [31.38947368 39.61052632],0
u3,1,0.808483,0.05875,[6 9] ; [14 18],[6.38297872 8.61702128] ; [13.61702128 18.38297872],0
p12,1,0.826896,0.047823,[ 3 21] ; [10 60],[ 3.31914894 20.68085106] ; [ 9.68085106 60.31914894],0
a5,1,0.847125,0.037167,[14 10] ; [43 28],[14.4  9.6] ; [42.6 28.4],0
n3,1,0.889243,0.019394,[3 2] ; [7 4],[3.125 1.875] ; [6.875 4.125],0
p1,1,0.906021,0.013938,[ 5 19] ; [14 57],[ 4.8 19.2] ; [14.2 56.8],0
v1,1,0.911657,0.01231,[11 13] ; [33 37],[11.23404255 12.76595745] ; [32.76595745 37.23404255],0
