Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000844,11.142388,[  5 112] ; [15 64],[ 11.93877551 105.06122449] ; [ 8.06122449 70.93877551],1
s5,1,0.002169,9.400459,[42 70] ; [13 64],[32.59259259 79.40740741] ; [22.40740741 54.59259259],0
d5,1,0.002479,9.156389,[80 38] ; [37 43],[69.72727273 48.27272727] ; [47.27272727 32.72727273],0
n3,1,0.008232,6.98226,[14  9] ; [19  1],[17.65116279  5.34883721] ; [15.34883721  4.65116279],0
d3,1,0.012238,6.276112,[58 60] ; [25 55],[49.46464646 68.53535354] ; [33.53535354 46.46464646],0
s2,1,0.014223,6.010227,[62 55] ; [27 50],[53.67525773 63.32474227] ; [35.32474227 41.67525773],0
p2,1,0.014996,5.916951,[100  16] ; [57 22],[93.39487179 22.60512821] ; [63.60512821 15.39487179],0
s6,1,0.017065,5.68967,[82 31] ; [43 34],[74.34210526 38.65789474] ; [50.65789474 26.34210526],0
d2,1,0.018096,5.586799,[ 11 107] ; [17 63],[ 16.68686869 101.31313131] ; [11.31313131 68.68686869],0
a1,1,0.029422,4.742722,[ 10 108] ; [ 1 79],[  6.55555556 111.44444444] ; [ 4.44444444 75.55555556],0
n2,1,0.061732,3.490226,[17  6] ; [19  1],[19.25581395  3.74418605] ; [16.74418605  3.25581395],0
b3,1,0.064838,3.409091,[33 39] ; [16 38],[28. 44.] ; [21. 33.],0
b2,1,0.064838,3.409091,[33 39] ; [16 38],[28. 44.] ; [21. 33.],0
p12,1,0.079936,3.066198,[ 10 105] ; [ 2 77],[  7.11340206 107.88659794] ; [ 4.88659794 74.11340206],0
s1,1,0.092932,2.822837,[  4 112] ; [ 7 69],[  6.64583333 109.35416667] ; [ 4.35416667 71.64583333],0
n5,1,0.094163,2.801724,[82 35] ; [63 15],[87. 30.] ; [58. 20.],0
p7,1,0.102638,2.664062,[77 38] ; [42 34],[71.64921466 43.35078534] ; [47.35078534 28.64921466],0
s7,1,0.143649,2.138428,[58 53] ; [31 44],[53.11290323 57.88709677] ; [35.88709677 39.11290323],0
a8,1,0.149559,2.076741,[22 92] ; [ 8 63],[18.48648649 95.51351351] ; [11.51351351 59.48648649],0
a3,1,0.154878,2.023541,[79 39] ; [45 34],[74.27411168 43.72588832] ; [49.72588832 29.27411168],0
r3,1,0.166102,1.917772,[110   7] ; [69  9],[107.4   9.6] ; [71.6  6.4],0
s8,1,0.169283,1.889283,[53 64] ; [28 51],[48.35204082 68.64795918] ; [32.64795918 46.35204082],0
v2,1,0.213659,1.546461,[71 43] ; [41 36],[66.84816754 47.15183246] ; [45.15183246 31.84816754],0
p9,1,0.214921,1.537964,[99 17] ; [62 17],[95.77435897 20.22564103] ; [65.22564103 13.77435897],0
n4,1,0.222108,1.490702,[83 35] ; [61 17],[86.69387755 31.30612245] ; [57.30612245 20.69387755],0
p6,1,0.226216,1.464498,[41 71] ; [22 56],[37.13684211 74.86315789] ; [25.86315789 52.13684211],0
u2,1,0.24294,1.363453,[22 15] ; [16 19],[19.52777778 17.47222222] ; [18.47222222 16.52777778],0
b4,1,0.261437,1.261133,[70 48] ; [41 39],[66.15151515 51.84848485] ; [44.84848485 35.15151515],0
u3,1,0.27604,1.186484,[26 13] ; [19 16],[23.71621622 15.28378378] ; [21.28378378 13.71621622],0
s3,1,0.319221,0.992133,[64 53] ; [36 40],[60.62176166 56.37823834] ; [39.37823834 36.62176166],0
a4,1,0.388498,0.743638,[37 81] ; [20 58],[34.31632653 83.68367347] ; [22.68367347 55.31632653],0
s4,1,0.425522,0.635013,[ 16 102] ; [14 65],[ 17.96954315 100.03045685] ; [12.03045685 66.96954315],0
