Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000263,13.32062,[63 49] ; [23  1],[70.82352941 41.17647059] ; [15.17647059  8.82352941],1
p7,1,0.000347,12.797464,[33 77] ; [16  7],[40.52631579 69.47368421] ; [ 8.47368421 14.52631579],1
p3,1,0.003428,8.564189,[17 94] ; [10 14],[22.2 88.8] ; [ 4.8 19.2],0
s2,1,0.006959,7.283585,[33 79] ; [14 10],[38.70588235 73.29411765] ; [ 8.29411765 15.70588235],0
s7,1,0.008419,6.942025,[27 77] ; [12 10],[32.19047619 71.80952381] ; [ 6.80952381 15.19047619],0
v2,1,0.013475,6.105719,[33 72] ; [14 10],[38.25581395 66.74418605] ; [ 8.74418605 15.25581395],0
r3,1,0.017292,5.666492,[75 36] ; [22  2],[79.75555556 31.24444444] ; [17.24444444  6.75555556],0
a6,1,0.023561,5.126685,[60 51] ; [19  5],[64.95555556 46.04444444] ; [14.04444444  9.95555556],0
p10,1,0.029629,4.730683,[46 63] ; [16  8],[50.81203008 58.18796992] ; [11.18796992 12.81203008],0
v4,1,0.031204,4.641727,[84 26] ; [23  1],[87.8358209 22.1641791] ; [19.1641791  4.8358209],0
p9,1,0.040014,4.217299,[50 55] ; [17  7],[54.53488372 50.46511628] ; [12.46511628 11.53488372],0
r4,1,0.05322,3.737005,[65 47] ; [19  5],[69.17647059 42.82352941] ; [14.82352941  9.17647059],0
s8,1,0.056132,3.648142,[23 89] ; [ 9 14],[26.54814815 85.45185185] ; [ 5.45185185 17.54814815],0
n3,1,0.09543,2.780312,[30 23] ; [7 1],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
s5,1,0.11138,2.534537,[21 89] ; [ 7 13],[23.69230769 86.30769231] ; [ 4.30769231 15.69230769],0
n6,1,0.11502,2.483856,[58 51] ; [17  7],[61.46616541 47.53383459] ; [13.53383459 10.46616541],0
n2,1,0.11842,2.438095,[33 23] ; [7 1],[35. 21.] ; [5. 3.],0
u1,1,0.128641,2.308829,[ 11 101] ; [ 5 19],[13.17647059 98.82352941] ; [ 2.82352941 21.17647059],0
r2,1,0.162617,1.949721,[93 16] ; [23  1],[95.06766917 13.93233083] ; [20.93233083  3.06766917],0
s3,1,0.174868,1.840706,[43 67] ; [13 11],[45.97014925 64.02985075] ; [10.02985075 13.97014925],0
u2,1,0.186284,1.746767,[14 24] ; [6 4],[15.83333333 22.16666667] ; [4.16666667 5.83333333],0
p2,1,0.237134,1.397551,[50 61] ; [14 10],[52.62222222 58.37777778] ; [11.37777778 12.62222222],0
n4,1,0.250778,1.318964,[64 46] ; [17  7],[66.49253731 43.50746269] ; [14.50746269  9.49253731],0
p8,1,0.252082,1.311728,[21 91] ; [ 7 17],[23.05882353 88.94117647] ; [ 4.94117647 19.05882353],0
v1,1,0.283924,1.148212,[38 73] ; [11 13],[40.28888889 70.71111111] ; [ 8.71111111 15.28888889],0
b4,1,0.312037,1.022035,[64 48] ; [11 13],[61.76470588 50.23529412] ; [13.23529412 10.76470588],0
a1,1,0.322165,0.980136,[ 12 100] ; [ 1 23],[ 10.70588235 101.29411765] ; [ 2.29411765 21.70588235],0
a4,1,0.396643,0.71848,[47 63] ; [ 8 16],[45.14925373 64.85074627] ; [ 9.85074627 14.14925373],0
a7,1,0.403013,0.699319,[72 39] ; [17  6],[73.7238806 37.2761194] ; [15.2761194  7.7238806],0
b2,1,0.471288,0.518955,[22 36] ; [5 5],[23.02941176 34.97058824] ; [3.97058824 6.02941176],0
b3,1,0.471288,0.518955,[22 36] ; [5 5],[23.02941176 34.97058824] ; [3.97058824 6.02941176],0
a3,1,0.47374,0.51324,[72 37] ; [14 10],[70.48120301 38.51879699] ; [15.51879699  8.48120301],0
r1,1,0.503231,0.448117,[70 40] ; [17  7],[71.41791045 38.58208955] ; [15.58208955  8.41791045],0
d4,1,0.568846,0.324617,[84 26] ; [17  7],[82.91044776 27.08955224] ; [18.08955224  5.91044776],0
s6,1,0.572973,0.317734,[46 65] ; [11 12],[47.21641791 63.78358209] ; [ 9.78358209 13.21641791],0
p1,1,0.573888,0.31622,[  6 106] ; [ 2 22],[  6.58823529 105.41176471] ; [ 1.41176471 22.58823529],0
n5,1,0.581694,0.303505,[62 48] ; [15  9],[63.20895522 46.79104478] ; [13.79104478 10.20895522],0
n1,1,0.591409,0.28815,[22 33] ; [4 4],[22.6984127 32.3015873] ; [3.3015873 4.6984127],0
a2,1,0.600578,0.274124,[24 88] ; [ 4 20],[23.05882353 88.94117647] ; [ 4.94117647 19.05882353],0
a8,1,0.634533,0.225963,[10 93] ; [ 3 20],[10.62698413 92.37301587] ; [ 2.37301587 20.62698413],0
a5,1,0.667883,0.184089,[66 46] ; [13 11],[65.05882353 46.94117647] ; [13.94117647 10.05882353],0
v3,1,0.729081,0.119957,[27 78] ; [ 7 17],[27.6744186 77.3255814] ; [ 6.3255814 17.6744186],0
u3,1,0.768278,0.086806,[14 26] ; [4 6],[14.4 25.6] ; [3.6 6.4],0
b1,1,0.770885,0.084807,[57 55] ; [13 11],[57.64705882 54.35294118] ; [12.35294118 11.64705882],0
d5,1,0.80819,0.058933,[80 31] ; [16  7],[79.52238806 31.47761194] ; [16.47761194  6.52238806],0
s4,1,0.813792,0.055478,[21 91] ; [ 5 19],[21.41176471 90.58823529] ; [ 4.58823529 19.41176471],0
d2,1,0.83469,0.043552,[53 57] ; [11 13],[52.53731343 57.46268657] ; [11.46268657 12.53731343],0
s1,1,0.848514,0.036486,[  8 103] ; [ 2 22],[  8.22222222 102.77777778] ; [ 1.77777778 22.22222222],0
d1,1,0.894554,0.017568,[53 59] ; [11 13],[52.70588235 59.29411765] ; [11.29411765 12.70588235],0
d3,1,0.97187,0.001243,[61 50] ; [12 10],[60.92481203 50.07518797] ; [12.07518797  9.92481203],0
