Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00342,8.568556,[17 51] ; [12  8],[22.40909091 45.59090909] ; [ 6.59090909 13.40909091],0
p6,1,0.010155,6.607556,[10 57] ; [ 8 11],[14.02325581 52.97674419] ; [ 3.97674419 15.02325581],0
p7,1,0.012675,6.213977,[23 45] ; [13  7],[27.81818182 40.18181818] ; [ 8.18181818 11.81818182],0
r3,1,0.014392,5.989471,[46 22] ; [19  1],[50.22727273 17.77272727] ; [14.77272727  5.22727273],0
s2,1,0.019167,5.486194,[18 49] ; [11  9],[22.33333333 44.66666667] ; [ 6.66666667 13.33333333],0
p3,1,0.033081,4.541591,[17 51] ; [10 10],[20.86363636 47.13636364] ; [ 6.13636364 13.86363636],0
d3,1,0.035215,4.434715,[20 48] ; [11  9],[23.95454545 44.04545455] ; [ 7.04545455 12.95454545],0
n1,1,0.041209,4.167388,[10 23] ; [5 2],[12.375 20.625] ; [2.625 4.375],0
d2,1,0.05497,3.682998,[33 34] ; [ 5 15],[29.26436782 37.73563218] ; [ 8.73563218 11.26436782],0
s8,1,0.071813,3.241093,[11 56] ; [ 7 13],[13.86206897 53.13793103] ; [ 4.13793103 15.86206897],0
a4,1,0.076144,3.145339,[28 39] ; [ 4 16],[24.64367816 42.35632184] ; [ 7.35632184 12.64367816],0
a3,1,0.080387,3.057069,[35 32] ; [ 6 14],[31.57471264 35.42528736] ; [ 9.42528736 10.57471264],0
v4,1,0.092243,2.834794,[48 19] ; [18  2],[50.82758621 16.17241379] ; [15.17241379  4.82758621],0
s6,1,0.096376,2.764517,[23 44] ; [11  9],[26.18390805 40.81609195] ; [ 7.81609195 12.18390805],0
p5,1,0.098657,2.727116,[ 3 65] ; [ 3 17],[ 4.63636364 63.36363636] ; [ 1.36363636 18.63636364],0
v2,1,0.145983,2.113727,[18 47] ; [ 9 11],[20.64705882 44.35294118] ; [ 6.35294118 13.64705882],0
d5,1,0.194861,1.680477,[33 35] ; [13  7],[35.54545455 32.45454545] ; [10.45454545  9.54545455],0
r4,1,0.258979,1.274208,[38 30] ; [14  6],[40.18181818 27.81818182] ; [11.81818182  8.18181818],0
p1,1,0.342626,0.900581,[ 3 65] ; [ 2 18],[ 3.86363636 64.13636364] ; [ 1.13636364 18.86363636],0
u1,1,0.351854,0.866758,[ 1 67] ; [ 1 19],[ 1.54545455 66.45454545] ; [ 0.45454545 19.54545455],0
u4,1,0.351854,0.866758,[ 1 67] ; [ 1 19],[ 1.54545455 66.45454545] ; [ 0.45454545 19.54545455],0
a8,1,0.372995,0.793662,[ 8 56] ; [ 1 18],[ 6.93975904 57.06024096] ; [ 2.06024096 16.93975904],0
v3,1,0.385122,0.754289,[13 50] ; [ 6 14],[14.42168675 48.57831325] ; [ 4.57831325 15.42168675],0
p9,1,0.433256,0.614079,[23 44] ; [ 5 15],[21.56321839 45.43678161] ; [ 6.43678161 13.56321839],0
d4,1,0.437716,0.602262,[37 30] ; [13  7],[38.50574713 28.49425287] ; [11.49425287  8.50574713],0
s3,1,0.441222,0.593102,[27 40] ; [10 10],[28.49425287 38.50574713] ; [ 8.50574713 11.49425287],0
d1,1,0.445732,0.581483,[21 47] ; [ 8 12],[22.40909091 45.59090909] ; [ 6.59090909 13.40909091],0
s7,1,0.450331,0.569819,[16 45] ; [ 7 13],[17.32098765 43.67901235] ; [ 5.67901235 14.32098765],0
n3,1,0.464857,0.534175,[18 13] ; [3 4],[17.13157895 13.86842105] ; [3.86842105 3.13157895],0
s4,1,0.493783,0.468271,[11 57] ; [ 2 18],[10.04545455 57.95454545] ; [ 2.95454545 17.04545455],0
a6,1,0.506117,0.442086,[25 43] ; [ 9 11],[26.27272727 41.72727273] ; [ 7.72727273 12.27272727],0
a5,1,0.532278,0.390041,[32 36] ; [11  9],[33.22727273 34.77272727] ; [ 9.77272727 10.22727273],0
b1,1,0.54091,0.373856,[39 29] ; [13  7],[40.18181818 27.81818182] ; [11.81818182  8.18181818],0
u2,1,0.555067,0.348317,[13 19] ; [7 7],[13.91304348 18.08695652] ; [6.08695652 7.91304348],0
n6,1,0.586774,0.29541,[39 28] ; [13  7],[40.04597701 26.95402299] ; [11.95402299  8.04597701],0
v1,1,0.596164,0.28082,[19 47] ; [ 7 13],[19.95348837 46.04651163] ; [ 6.04651163 13.95348837],0
n5,1,0.680806,0.16922,[37 30] ; [10 10],[36.1954023 30.8045977] ; [10.8045977  9.1954023],0
p11,1,0.694154,0.154625,[34 34] ; [ 9 11],[33.22727273 34.77272727] ; [ 9.77272727 10.22727273],0
n2,1,0.694618,0.154132,[21 12] ; [5 2],[21.45 11.55] ; [4.55 2.45],0
a2,1,0.713636,0.134672,[ 5 63] ; [ 1 19],[ 4.63636364 63.36363636] ; [ 1.36363636 18.63636364],0
p2,1,0.816936,0.053587,[32 36] ; [10 10],[32.45454545 35.54545455] ; [ 9.54545455 10.45454545],0
r1,1,0.816936,0.053587,[36 32] ; [10 10],[35.54545455 32.45454545] ; [10.45454545  9.54545455],0
r2,1,0.820546,0.051458,[52 15] ; [16  4],[52.36781609 14.63218391] ; [15.63218391  4.36781609],0
u3,1,0.824894,0.048954,[13 20] ; [6 8],[13.34042553 19.65957447] ; [5.65957447 8.34042553],0
s5,1,0.833071,0.044421,[15 51] ; [ 5 15],[15.34883721 50.65116279] ; [ 4.65116279 15.34883721],0
b4,1,0.851862,0.034873,[39 29] ; [11  9],[38.63636364 29.36363636] ; [11.36363636  8.63636364],0
n4,1,0.886512,0.020369,[39 28] ; [12  8],[39.27586207 27.72413793] ; [11.72413793  8.27586207],0
b5,1,0.907927,0.013376,[35 33] ; [10 10],[34.77272727 33.22727273] ; [10.22727273  9.77272727],0
b2,1,0.933475,0.006968,[15 32] ; [3 6],[15.10714286 31.89285714] ; [2.89285714 6.10714286],0
b3,1,0.933475,0.006968,[15 32] ; [3 6],[15.10714286 31.89285714] ; [2.89285714 6.10714286],0
