Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,195.460727,[341  64] ; [ 38 126],[269.76274165 135.23725835] ; [109.23725835  54.76274165],1
s7,1,0.0,44.394492,[276 116] ; [62 94],[241.7810219 150.2189781] ; [96.2189781 59.7810219],1
s8,1,0.0,30.676764,[255 148] ; [ 62 102],[225.31040564 177.68959436] ; [91.68959436 72.31040564],1
s5,1,0.007569,7.132656,[186 205] ; [ 57 105],[171.81374322 219.18625678] ; [71.18625678 90.81374322],0
p1,1,0.027051,4.887567,[ 43 359] ; [  8 157],[ 36.15873016 365.84126984] ; [ 14.84126984 150.15873016],0
d2,1,0.040528,4.195635,[214 189] ; [72 93],[202.91901408 200.08098592] ; [83.08098592 81.91901408],0
s4,1,0.04281,4.102887,[ 96 305] ; [ 26 135],[ 87.04982206 313.95017794] ; [ 34.95017794 126.04982206],0
a3,1,0.044728,4.028857,[305  99] ; [111  54],[295.36731107 108.63268893] ; [120.63268893  44.36731107],0
p2,1,0.051169,3.80274,[347  57] ; [130  34],[339.27464789  64.72535211] ; [137.72535211  26.27464789],0
d1,1,0.060055,3.535859,[260 145] ; [92 73],[250.10526316 154.89473684] ; [101.89473684  63.10526316],0
b1,1,0.069741,3.289111,[163 242] ; [ 53 112],[153.47368421 251.52631579] ; [ 62.52631579 102.47368421],0
p11,1,0.076147,3.14528,[320  85] ; [119  46],[311.92105263  93.07894737] ; [127.07894737  37.92105263],0
u4,1,0.089969,2.874925,[ 16 389] ; [  2 163],[ 12.78947368 392.21052632] ; [  5.21052632 159.78947368],0
d4,1,0.102683,2.663368,[346  56] ; [133  32],[339.60846561  62.39153439] ; [139.39153439  25.60846561],0
r1,1,0.104703,2.632407,[348  54] ; [134  31],[341.73544974  60.26455026] ; [140.26455026  24.73544974],0
a4,1,0.126773,2.331585,[196 208] ; [68 96],[187.77464789 216.22535211] ; [76.22535211 87.77464789],0
s1,1,0.129802,2.294874,[ 18 381] ; [  3 160],[ 14.90925267 384.09074733] ; [  6.09074733 156.90925267],0
a2,1,0.160187,1.972458,[114 291] ; [ 37 128],[107.28947368 297.71052632] ; [ 43.71052632 121.28947368],0
r3,1,0.188886,1.726288,[394   9] ; [158   7],[391.64788732  11.35211268] ; [160.35211268   4.64788732],0
p12,1,0.202384,1.62509,[ 44 360] ; [ 12 151],[ 39.90123457 364.09876543] ; [ 16.09876543 146.90123457],0
u3,1,0.222283,1.48957,[66 32] ; [31 23],[62.53947368 35.46052632] ; [34.46052632 19.53947368],0
p9,1,0.249932,1.323684,[356  45] ; [139  24],[351.94148936  49.05851064] ; [143.05851064  19.94148936],0
p5,1,0.261012,1.263379,[ 56 346] ; [ 17 146],[ 51.93982301 350.06017699] ; [ 21.06017699 141.93982301],0
b4,1,0.282025,1.157305,[248 157] ; [93 72],[242.28947368 162.71052632] ; [98.71052632 66.28947368],0
v3,1,0.300348,1.072648,[162 227] ; [ 59 101],[156.59198543 232.40801457] ; [64.40801457 95.59198543],0
n1,1,0.311377,1.024826,[38 48] ; [15 28],[35.33333333 50.66666667] ; [17.66666667 25.33333333],0
v4,1,0.338794,0.914988,[396   9] ; [159   6],[394.34210526  10.65789474] ; [160.65789474   4.34210526],0
p7,1,0.351296,0.868769,[261 128] ; [102  60],[256.27404719 132.72595281] ; [106.72595281  55.27404719],0
a5,1,0.394726,0.724333,[303 102] ; [129  36],[306.94736842  98.05263158] ; [125.05263158  39.94736842],0
r4,1,0.418125,0.655581,[387  18] ; [155  10],[385.10526316  19.89473684] ; [156.89473684   8.10526316],0
u1,1,0.471629,0.518156,[ 87 318] ; [ 31 134],[ 83.84210526 321.15789474] ; [ 34.15789474 130.84210526],0
a1,1,0.485899,0.485595,[ 21 384] ; [ 11 154],[ 22.73684211 382.26315789] ; [  9.26315789 155.73684211],0
n3,1,0.491287,0.473707,[63 23] ; [29 14],[61.33333333 24.66666667] ; [30.66666667 12.33333333],0
n5,1,0.515691,0.422503,[318  86] ; [125  39],[315.0915493  88.9084507] ; [127.9084507  36.0915493],0
v1,1,0.590019,0.290314,[221 169] ; [97 67],[223.86281588 166.13718412] ; [94.13718412 69.86281588],0
b5,1,0.592248,0.286848,[248 157] ; [105  60],[250.81578947 154.18421053] ; [102.18421053  62.81578947],0
n4,1,0.59375,0.284525,[316  87] ; [126  39],[313.60211268  89.39788732] ; [128.39788732  36.60211268],0
n2,1,0.597901,0.278173,[68 18] ; [33 11],[66.81538462 19.18461538] ; [34.18461538  9.81538462],0
p4,1,0.638807,0.220306,[257 146] ; [108  56],[259.42680776 143.57319224] ; [105.57319224  58.42680776],0
u2,1,0.667757,0.184237,[59 39] ; [30 23],[57.7615894 40.2384106] ; [31.2384106 21.7615894],0
d5,1,0.709032,0.139246,[336  66] ; [140  25],[337.48148148  64.51851852] ; [138.51851852  26.48148148],0
p10,1,0.779326,0.078511,[338  63] ; [135  27],[336.89698046  64.10301954] ; [136.10301954  25.89698046],0
a7,1,0.799693,0.064386,[298 106] ; [120  45],[296.78734622 107.21265378] ; [121.21265378  43.78734622],0
v2,1,0.811527,0.056862,[218 165] ; [94 68],[219.2587156 163.7412844] ; [92.7412844 69.2587156],0
n6,1,0.813677,0.055547,[347  54] ; [144  21],[347.8639576  53.1360424] ; [143.1360424  21.8639576],0
a8,1,0.823483,0.049759,[ 54 322] ; [ 20 127],[ 53.20076482 322.79923518] ; [ 20.79923518 126.20076482],0
b2,1,0.86358,0.029522,[ 94 151] ; [37 62],[ 93.2994186 151.7005814] ; [37.7005814 61.2994186],0
b3,1,0.86358,0.029522,[ 94 151] ; [37 62],[ 93.2994186 151.7005814] ; [37.7005814 61.2994186],0
p8,1,0.893424,0.017949,[215 185] ; [85 75],[214.28571429 185.71428571] ; [85.71428571 74.28571429],0
a6,1,0.928402,0.008074,[272 130] ; [111  54],[271.54497354 130.45502646] ; [111.45502646  53.54497354],0
p6,1,0.936947,0.006258,[163 236] ; [66 97],[162.58185053 236.41814947] ; [66.41814947 96.58185053],0
p3,1,0.966631,0.00175,[216 188] ; [88 76],[216.22535211 187.77464789] ; [87.77464789 76.22535211],0
d3,1,0.988847,0.000195,[286 117] ; [117  48],[285.93133803 117.06866197] ; [117.06866197  47.93133803],0
