Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,53.717095,[109   6] ; [10 17],[96.37323944 18.62676056] ; [22.62676056  4.37323944],1
r3,1,7e-06,20.284172,[111   4] ; [18  8],[105.21276596   9.78723404] ; [23.78723404  2.21276596],1
p2,1,1.6e-05,18.674817,[104  10] ; [15 11],[96.9 17.1] ; [22.1  3.9],1
d4,1,9.2e-05,15.300286,[96 19] ; [13 14],[88.27464789 26.72535211] ; [20.72535211  6.27464789],1
r2,1,0.00031,13.007882,[109   5] ; [20  7],[104.29787234   9.70212766] ; [24.70212766  2.29787234],1
p11,1,0.000453,12.301218,[101  14] ; [16 11],[94.75352113 20.24647887] ; [22.24647887  4.75352113],1
d1,1,0.003325,8.619769,[70 45] ; [ 8 19],[63.16901408 51.83098592] ; [14.83098592 12.16901408],0
v4,1,0.004517,8.063443,[108   6] ; [21  6],[104.29787234   9.70212766] ; [24.70212766  2.29787234],0
d3,1,0.004962,7.893348,[80 35] ; [11 16],[73.6971831 41.3028169] ; [17.3028169  9.6971831],0
a5,1,0.00528,7.781038,[90 25] ; [14 13],[84.22535211 30.77464789] ; [19.77464789  7.22535211],0
s1,1,0.008777,6.867682,[  3 111] ; [ 4 23],[  5.65957447 108.34042553] ; [ 1.34042553 25.65957447],0
p8,1,0.012098,6.296403,[65 47] ; [ 8 18],[59.24637681 52.75362319] ; [13.75362319 12.24637681],0
v3,1,0.013994,6.038925,[57 52] ; [ 7 20],[51.29411765 57.70588235] ; [12.70588235 14.29411765],0
b1,1,0.015488,5.860068,[43 72] ; [17 10],[48.5915493 66.4084507] ; [11.4084507 15.5915493],0
n6,1,0.017972,5.598874,[92 22] ; [16 11],[87.31914894 26.68085106] ; [20.68085106  6.31914894],0
v2,1,0.027293,4.872195,[79 33] ; [13 14],[74.1294964 37.8705036] ; [17.8705036  9.1294964],0
p7,1,0.027525,4.857561,[76 37] ; [12 15],[71.02857143 41.97142857] ; [16.97142857 10.02857143],0
s4,1,0.036621,4.367941,[  7 108] ; [ 5 22],[  9.71830986 105.28169014] ; [ 2.28169014 24.71830986],0
d2,1,0.051105,3.804821,[58 57] ; [ 8 19],[53.45070423 61.54929577] ; [12.54929577 14.45070423],0
a6,1,0.051928,3.778084,[82 33] ; [14 13],[77.74647887 37.25352113] ; [18.25352113  8.74647887],0
p1,1,0.060828,3.514654,[  8 107] ; [ 5 22],[ 10.52816901 104.47183099] ; [ 2.47183099 24.52816901],0
b4,1,0.067977,3.331205,[65 50] ; [10 17],[60.73943662 54.26056338] ; [14.26056338 12.73943662],0
n4,1,0.076461,3.138568,[91 24] ; [17 10],[87.46478873 27.53521127] ; [20.53521127  6.46478873],0
d5,1,0.096935,2.755257,[90 25] ; [17 10],[86.65492958 28.34507042] ; [20.34507042  6.65492958],0
a7,1,0.113464,2.505303,[82 33] ; [15 12],[78.55633803 36.44366197] ; [18.44366197  8.55633803],0
s8,1,0.139207,2.186705,[33 82] ; [ 4 23],[29.96478873 85.03521127] ; [ 7.03521127 19.96478873],0
a3,1,0.188947,1.725807,[86 28] ; [17 10],[83.27659574 30.72340426] ; [19.72340426  7.27659574],0
a2,1,0.21163,1.560241,[25 90] ; [ 3 24],[22.67605634 92.32394366] ; [ 5.32394366 21.67605634],0
u2,1,0.234713,1.412069,[15 14] ; [3 7],[13.38461538 15.61538462] ; [4.61538462 5.38461538],0
a4,1,0.274368,1.194776,[56 59] ; [10 17],[53.45070423 61.54929577] ; [12.54929577 14.45070423],0
n1,1,0.275234,1.190476,[ 6 12] ; [4 3],[ 7.2 10.8] ; [2.8 4.2],0
p6,1,0.336402,0.924095,[38 74] ; [ 6 19],[35.97080292 76.02919708] ; [ 8.02919708 16.97080292],0
n2,1,0.340904,0.907029,[12  6] ; [6 1],[12.96  5.04] ; [5.04 1.96],0
p4,1,0.414728,0.665205,[67 47] ; [13 13],[65.14285714 48.85714286] ; [14.85714286 11.14285714],0
b2,1,0.445228,0.582772,[35 41] ; [8 6],[36.31111111 39.68888889] ; [6.68888889 7.31111111],0
b3,1,0.445228,0.582772,[35 41] ; [8 6],[36.31111111 39.68888889] ; [6.68888889 7.31111111],0
s3,1,0.479869,0.499161,[30 83] ; [ 9 18],[31.47857143 81.52142857] ; [ 7.52142857 19.47857143],0
a1,1,0.508691,0.436759,[  5 110] ; [ 2 25],[  5.66901408 109.33098592] ; [ 1.33098592 25.66901408],0
u1,1,0.62163,0.243583,[17 98] ; [ 3 24],[16.1971831 98.8028169] ; [ 3.8028169 23.1971831],0
n5,1,0.638324,0.220941,[86 29] ; [19  8],[85.03521127 29.96478873] ; [19.96478873  7.03521127],0
p3,1,0.674693,0.176161,[60 54] ; [12 13],[59.05035971 54.94964029] ; [12.94964029 12.05035971],0
n3,1,0.686494,0.162907,[15  4] ; [5 2],[14.61538462  4.38461538] ; [5.38461538 1.61538462],0
