Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.473661,[139  79] ; [24 70],[113.89102564 104.10897436] ; [49.10897436 44.89102564],1
s4,1,0.008825,6.857875,[ 28 194] ; [23 71],[ 35.82911392 186.17088608] ; [15.17088608 78.82911392],0
b1,1,0.014745,5.946734,[ 80 143] ; [48 47],[ 89.76100629 133.23899371] ; [38.23899371 56.76100629],0
d1,1,0.026506,4.922672,[149  74] ; [51 44],[140.25157233  82.74842767] ; [59.74842767 35.25157233],0
a6,1,0.051399,3.795229,[153  68] ; [55 40],[145.46835443  75.53164557] ; [62.53164557 32.46835443],0
n4,1,0.052278,3.766837,[190  32] ; [72 22],[184.06329114  37.93670886] ; [77.93670886 16.06329114],0
b4,1,0.059935,3.539183,[138  85] ; [48 47],[130.43396226  92.56603774] ; [55.56603774 39.43396226],0
d2,1,0.060689,3.518455,[119 103] ; [40 55],[111.35015773 110.64984227] ; [47.64984227 47.35015773],0
p3,1,0.062004,3.482946,[152  69] ; [55 40],[144.76898734  76.23101266] ; [62.23101266 32.76898734],0
d3,1,0.068227,3.325175,[165  57] ; [61 34],[158.27129338  63.72870662] ; [67.72870662 27.27129338],0
a2,1,0.068826,3.310804,[ 64 159] ; [18 77],[ 57.50314465 165.49685535] ; [24.49685535 70.50314465],0
n6,1,0.085097,2.964758,[199  20] ; [80 15],[194.58917197  24.41082803] ; [84.41082803 10.58917197],0
n5,1,0.151364,2.058453,[192  28] ; [77 18],[187.87301587  32.12698413] ; [81.12698413 13.87301587],0
r3,1,0.157692,1.996218,[218   5] ; [90  5],[215.98742138   7.01257862] ; [92.01257862  2.98742138],0
d5,1,0.164101,1.93602,[191  31] ; [75 19],[186.87341772  35.12658228] ; [79.12658228 14.87341772],0
p11,1,0.171486,1.869902,[192  31] ; [76 19],[187.93710692  35.06289308] ; [80.06289308 14.93710692],0
s1,1,0.172947,1.857208,[  9 213] ; [ 1 91],[  7.07006369 214.92993631] ; [ 2.92993631 89.07006369],0
u1,1,0.19732,1.662103,[ 52 171] ; [16 79],[ 47.68553459 175.31446541] ; [20.31446541 74.68553459],0
p10,1,0.198193,1.655643,[200  20] ; [80 13],[196.80511182  23.19488818] ; [83.19488818  9.80511182],0
s7,1,0.236786,1.399626,[127  88] ; [46 43],[122.35197368  92.64802632] ; [50.64802632 38.35197368],0
