Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,27.599604,[23  7] ; [12 49],[11.53846154 18.46153846] ; [23.46153846 37.53846154],1
r4,1,9.1e-05,15.31709,[27  3] ; [29 32],[18.46153846 11.53846154] ; [37.53846154 23.46153846],1
p8,1,0.000622,11.709974,[19 11] ; [15 43],[11.59090909 18.40909091] ; [22.40909091 35.59090909],1
p7,1,0.000984,10.856705,[23  7] ; [23 35],[15.68181818 14.31818182] ; [30.31818182 27.68181818],1
p9,1,0.002587,9.078362,[24  6] ; [27 31],[17.38636364 12.61363636] ; [33.61363636 24.38636364],0
n6,1,0.00288,8.881903,[26  4] ; [33 27],[19.66666667 10.33333333] ; [39.33333333 20.66666667],0
v2,1,0.003215,8.681237,[16 13] ; [13 43],[ 9.89411765 19.10588235] ; [19.10588235 36.89411765],0
p11,1,0.007448,7.16156,[24  6] ; [31 30],[18.13186813 11.86813187] ; [36.86813187 24.13186813],0
r3,1,0.010116,6.614371,[27  3] ; [38 21],[21.91011236  8.08988764] ; [43.08988764 15.91011236],0
a5,1,0.013985,6.040008,[19 11] ; [22 39],[13.51648352 16.48351648] ; [27.48351648 33.51648352],0
p10,1,0.016645,5.733476,[21  9] ; [25 33],[15.68181818 14.31818182] ; [30.31818182 27.68181818],0
v3,1,0.019434,5.462069,[12 18] ; [10 48],[ 7.5 22.5] ; [14.5 43.5],0
a7,1,0.020527,5.366547,[21  9] ; [26 33],[15.84269663 14.15730337] ; [31.15730337 27.84269663],0
s8,1,0.021012,5.325794,[ 7 23] ; [ 4 57],[ 3.62637363 26.37362637] ; [ 7.37362637 53.62637363],0
a6,1,0.021245,5.306592,[20 10] ; [25 36],[14.83516484 15.16483516] ; [30.16483516 30.83516484],0
v4,1,0.030617,4.674327,[28  2] ; [43 15],[24.20454545  5.79545455] ; [46.79545455 11.20454545],0
r1,1,0.035729,4.41,[18 12] ; [22 38],[13.33333333 16.66666667] ; [26.66666667 33.33333333],0
a4,1,0.038575,4.279471,[12 18] ; [12 49],[ 7.91208791 22.08791209] ; [16.08791209 44.91208791],0
b5,1,0.042946,4.097511,[21  9] ; [29 32],[16.48351648 13.51648352] ; [33.51648352 27.48351648],0
n4,1,0.045657,3.994223,[23  7] ; [33 27],[18.66666667 11.33333333] ; [37.33333333 22.66666667],0
p6,1,0.048187,3.903468,[12 18] ; [12 47],[ 8.08988764 21.91011236] ; [15.91011236 43.08988764],0
p1,1,0.048452,3.894231,[ 7 23] ; [ 5 55],[ 4. 26.] ; [ 8. 52.],0
p2,1,0.05778,3.6,[24  6] ; [36 24],[20. 10.] ; [40. 20.],0
v1,1,0.080537,3.05404,[15 15] ; [19 42],[11.20879121 18.79120879] ; [22.79120879 38.20879121],0
s7,1,0.152528,2.046784,[ 6 21] ; [ 6 51],[ 3.85714286 23.14285714] ; [ 8.14285714 48.85714286],0
a2,1,0.156714,2.005647,[ 4 26] ; [ 3 58],[ 2.30769231 27.69230769] ; [ 4.69230769 56.30769231],0
n5,1,0.201975,1.628038,[23  7] ; [38 22],[20.33333333  9.66666667] ; [40.66666667 19.33333333],0
p5,1,0.219253,1.509254,[ 2 28] ; [ 1 58],[ 1.01123596 28.98876404] ; [ 1.98876404 57.01123596],0
b4,1,0.259381,1.272059,[11 19] ; [30 31],[13.51648352 16.48351648] ; [27.48351648 33.51648352],0
r2,1,0.263552,1.25,[26  4] ; [46 14],[24.  6.] ; [48. 12.],0
u3,1,0.335375,0.92803,[6 8] ; [10 25],[4.57142857 9.42857143] ; [11.42857143 23.57142857],0
s5,1,0.358453,0.843308,[ 3 27] ; [ 3 58],[ 1.97802198 28.02197802] ; [ 4.02197802 56.97802198],0
a3,1,0.370028,0.803571,[16 14] ; [26 34],[14. 16.] ; [28. 32.],0
a1,1,0.379499,0.772325,[ 1 29] ; [ 5 56],[ 1.97802198 28.02197802] ; [ 4.02197802 56.97802198],0
p12,1,0.458612,0.549281,[ 2 28] ; [ 2 59],[ 1.31868132 28.68131868] ; [ 2.68131868 58.31868132],0
s1,1,0.50449,0.445479,[ 1 29] ; [ 4 55],[ 1.68539326 28.31460674] ; [ 3.31460674 55.68539326],0
n2,1,0.552119,0.353535,[4 1] ; [20 10],[3.42857143 1.57142857] ; [20.57142857  9.42857143],0
u1,1,0.604361,0.268469,[ 1 29] ; [ 1 60],[ 0.65934066 29.34065934] ; [ 1.34065934 59.65934066],0
b2,1,0.614191,0.254118,[ 8 16] ; [12 18],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
b3,1,0.614191,0.254118,[ 8 16] ; [12 18],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
s4,1,0.61572,0.251929,[ 2 28] ; [ 6 55],[ 2.63736264 27.36263736] ; [ 5.36263736 55.63736264],0
b1,1,0.816941,0.053584,[13 17] ; [28 33],[13.51648352 16.48351648] ; [27.48351648 33.51648352],0
n1,1,0.840867,0.040315,[2 3] ; [13 16],[2.20588235 2.79411765] ; [12.79411765 16.20588235],0
d5,1,0.876261,0.024246,[11 19] ; [21 39],[10.66666667 19.33333333] ; [21.33333333 38.66666667],0
s3,1,0.891808,0.0185,[ 8 21] ; [16 45],[ 7.73333333 21.26666667] ; [16.26666667 44.73333333],0
d2,1,0.895269,0.017329,[ 7 23] ; [15 46],[ 7.25274725 22.74725275] ; [14.74725275 46.25274725],0
u2,1,0.924389,0.009007,[5 9] ; [12 23],[4.85714286 9.14285714] ; [12.14285714 22.85714286],0
a8,1,0.948336,0.004199,[ 2 25] ; [ 4 53],[ 1.92857143 25.07142857] ; [ 4.07142857 52.92857143],0
d3,1,0.966867,0.001725,[ 7 23] ; [14 45],[ 7.07865169 22.92134831] ; [13.92134831 45.07865169],0
s2,1,0.976888,0.000839,[ 4 26] ; [ 8 53],[ 3.95604396 26.04395604] ; [ 8.04395604 52.95604396],0
d1,1,0.98905,0.000188,[ 1 29] ; [ 2 59],[ 0.98901099 29.01098901] ; [ 2.01098901 58.98901099],0
