Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,7.6e-05,15.656122,[55 47] ; [50  9],[66.52173913 35.47826087] ; [38.47826087 20.52173913],1
p6,1,0.001381,10.231257,[12 89] ; [19 39],[19.6918239 81.3081761] ; [11.3081761 46.6918239],0
d5,1,0.005963,7.561481,[82 20] ; [35 23],[74.5875 27.4125] ; [42.4125 15.5875],0
p10,1,0.01809,5.587369,[48 51] ; [40 19],[55.13924051 43.86075949] ; [32.86075949 26.13924051],0
u1,1,0.020546,5.364883,[ 8 94] ; [12 47],[12.67080745 89.32919255] ; [ 7.32919255 51.67080745],0
p9,1,0.024552,5.055243,[55 42] ; [44 15],[61.55769231 35.44230769] ; [37.44230769 21.55769231],0
p3,1,0.028827,4.777912,[23 78] ; [23 36],[29.0375 71.9625] ; [16.9625 42.0375],0
n3,1,0.029708,4.726128,[24 14] ; [18  2],[27.51724138 10.48275862] ; [14.48275862  5.51724138],0
a3,1,0.039796,4.22656,[61 41] ; [44 14],[66.9375 35.0625] ; [38.0625 19.9375],0
p4,1,0.059926,3.539432,[30 72] ; [26 33],[35.47826087 66.52173913] ; [20.52173913 38.47826087],0
s3,1,0.062623,3.466507,[42 59] ; [33 25],[47.64150943 53.35849057] ; [27.35849057 30.64150943],0
n6,1,0.068355,3.322087,[56 46] ; [41 18],[61.45341615 40.54658385] ; [35.54658385 23.45341615],0
a2,1,0.072266,3.230785,[13 89] ; [14 45],[17.10559006 84.89440994] ; [ 9.89440994 49.10559006],0
r4,1,0.076322,3.141539,[74 28] ; [50  9],[78.55900621 23.44099379] ; [45.44099379 13.55900621],0
p11,1,0.103317,2.65358,[54 48] ; [39 20],[58.91925466 43.08074534] ; [34.08074534 24.91925466],0
a6,1,0.136636,2.215442,[57 45] ; [40 19],[61.45341615 40.54658385] ; [35.54658385 23.45341615],0
n1,1,0.148454,2.088068,[13 27] ; [ 3 17],[10.66666667 29.33333333] ; [ 5.33333333 14.66666667],0
s8,1,0.152518,2.046888,[26 76] ; [21 37],[29.9625 72.0375] ; [17.0375 40.9625],0
s7,1,0.175134,1.838443,[26 67] ; [22 35],[29.76 63.24] ; [18.24 38.76],0
v4,1,0.182121,1.780231,[87 14] ; [54  4],[89.56603774 11.43396226] ; [51.43396226  6.56603774],0
a1,1,0.249826,1.324277,[ 3 99] ; [ 4 55],[ 4.43478261 97.56521739] ; [ 2.56521739 56.43478261],0
a8,1,0.26681,1.233075,[ 6 93] ; [ 6 48],[ 7.76470588 91.23529412] ; [ 4.23529412 49.76470588],0
s2,1,0.289079,1.123904,[38 64] ; [27 32],[41.18012422 60.81987578] ; [23.81987578 35.18012422],0
n2,1,0.310993,1.026452,[22 17] ; [14  6],[23.79661017 15.20338983] ; [12.20338983  7.79661017],0
r2,1,0.316324,1.004084,[86 14] ; [53  5],[87.97468354 12.02531646] ; [51.02531646  6.97468354],0
u2,1,0.32175,0.981818,[26 14] ; [7 7],[24.44444444 15.55555556] ; [8.55555556 5.44444444],0
v1,1,0.329019,0.952756,[39 60] ; [18 39],[36.17307692 62.82692308] ; [20.82692308 36.17307692],0
d4,1,0.356616,0.849776,[87 15] ; [47 12],[84.89440994 17.10559006] ; [49.10559006  9.89440994],0
a5,1,0.396947,0.717554,[57 45] ; [37 22],[59.55279503 42.44720497] ; [34.44720497 24.55279503],0
u3,1,0.448756,0.573792,[28 13] ; [8 6],[26.83636364 14.16363636] ; [9.16363636 4.83636364],0
v3,1,0.46095,0.543587,[23 71] ; [11 46],[21.16556291 72.83443709] ; [12.83443709 44.16556291],0
d2,1,0.490807,0.474757,[41 61] ; [27 32],[43.08074534 58.91925466] ; [24.91925466 34.08074534],0
r3,1,0.511696,0.430597,[92 10] ; [55  4],[93.13043478  8.86956522] ; [53.86956522  5.13043478],0
d1,1,0.523402,0.407185,[52 50] ; [27 32],[50.04968944 51.95031056] ; [28.95031056 30.04968944],0
s4,1,0.575325,0.313853,[22 80] ; [15 44],[23.44099379 78.55900621] ; [13.55900621 45.44099379],0
p5,1,0.581626,0.303613,[ 2 99] ; [ 2 57],[ 2.525 98.475] ; [ 1.475 57.525],0
n4,1,0.693185,0.155659,[43 59] ; [23 36],[41.8136646 60.1863354] ; [24.1863354 34.8136646],0
b4,1,0.759605,0.093636,[63 39] ; [35 24],[62.08695652 39.91304348] ; [35.91304348 23.08695652],0
v2,1,0.763314,0.09068,[47 49] ; [26 30],[46.10526316 49.89473684] ; [26.89473684 29.10526316],0
b2,1,0.767196,0.087643,[19 32] ; [13 25],[18.33707865 32.66292135] ; [13.66292135 24.33707865],0
b3,1,0.767196,0.087643,[19 32] ; [13 25],[18.33707865 32.66292135] ; [13.66292135 24.33707865],0
a7,1,0.785585,0.07401,[70 32] ; [41 17],[70.7625 31.2375] ; [40.2375 17.7625],0
a4,1,0.7867,0.073223,[41 61] ; [25 34],[41.8136646 60.1863354] ; [24.1863354 34.8136646],0
p1,1,0.820664,0.051389,[ 6 95] ; [ 3 56],[ 5.68125 95.31875] ; [ 3.31875 55.68125],0
s6,1,0.856898,0.032517,[49 52] ; [29 29],[49.54716981 51.45283019] ; [28.45283019 29.54716981],0
p12,1,0.891354,0.018657,[ 2 98] ; [ 1 58],[ 1.88679245 98.11320755] ; [ 1.11320755 57.88679245],0
r1,1,0.914573,0.011507,[71 30] ; [41 18],[70.7 30.3] ; [41.3 17.7],0
s5,1,0.91504,0.011381,[24 70] ; [15 42],[24.2781457 69.7218543] ; [14.7218543 42.2781457],0
b1,1,0.924765,0.008918,[44 58] ; [25 34],[43.71428571 58.28571429] ; [25.28571429 33.71428571],0
b5,1,0.925151,0.008826,[63 39] ; [36 23],[62.72049689 39.27950311] ; [36.27950311 22.72049689],0
s1,1,0.958985,0.002645,[ 5 97] ; [ 3 56],[ 5.06832298 96.93167702] ; [ 2.93167702 56.06832298],0
d3,1,0.982735,0.000468,[67 35] ; [38 20],[66.9375 35.0625] ; [38.0625 19.9375],0
