Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000401,12.52783,[33 53] ; [19  5],[40.65454545 45.34545455] ; [11.34545455 12.65454545],1
p6,1,0.00087,11.085693,[28 57] ; [17  7],[35.09174312 49.90825688] ; [ 9.90825688 14.09174312],1
p12,1,0.001175,10.528579,[ 5 81] ; [ 7 17],[ 9.38181818 76.61818182] ; [ 2.61818182 21.38181818],0
p8,1,0.001467,10.118987,[39 47] ; [19  4],[45.76146789 40.23853211] ; [12.23853211 10.76146789],0
v3,1,0.003844,8.356001,[26 60] ; [15  9],[32.05454545 53.94545455] ; [ 8.94545455 15.05454545],0
s4,1,0.006283,7.467411,[27 58] ; [ 1 23],[21.83486239 63.16513761] ; [ 6.16513761 17.83486239],0
p4,1,0.006717,7.347191,[40 46] ; [18  5],[45.76146789 40.23853211] ; [12.23853211 10.76146789],0
n4,1,0.021794,5.262161,[58 27] ; [22  2],[62.3853211 22.6146789] ; [17.6146789  6.3853211],0
p1,1,0.025236,5.00765,[ 7 78] ; [ 6 18],[10.13761468 74.86238532] ; [ 2.86238532 21.13761468],0
a5,1,0.030184,4.698805,[47 39] ; [19  5],[51.6 34.4] ; [14.4  9.6],0
u2,1,0.061664,3.492063,[15 20] ; [7 2],[17.5 17.5] ; [4.5 4.5],0
s3,1,0.113419,2.505923,[56 29] ; [11 12],[52.73148148 32.26851852] ; [14.26851852  8.73148148],0
n6,1,0.122317,2.387397,[71 14] ; [23  1],[73.30275229 11.69724771] ; [20.69724771  3.30275229],0
a1,1,0.16368,1.939893,[ 4 82] ; [ 3 21],[ 5.47272727 80.52727273] ; [ 1.52727273 22.47272727],0
n5,1,0.177506,1.81838,[59 26] ; [20  4],[61.60550459 23.39449541] ; [17.39449541  6.60550459],0
s6,1,0.182702,1.775511,[72 13] ; [21  1],[73.87850467 11.12149533] ; [19.12149533  2.87850467],0
b4,1,0.220497,1.50113,[49 37] ; [17  7],[51.6 34.4] ; [14.4  9.6],0
p7,1,0.254257,1.299759,[57 28] ; [19  5],[59.26605505 25.73394495] ; [16.73394495  7.26605505],0
r4,1,0.281333,1.160637,[76 10] ; [23  1],[77.4  8.6] ; [21.6  2.4],0
p11,1,0.31042,1.028887,[63 23] ; [20  4],[64.89090909 21.10909091] ; [18.10909091  5.89090909],0
a2,1,0.313676,1.015135,[ 3 83] ; [ 2 22],[ 3.90909091 82.09090909] ; [ 1.09090909 22.90909091],0
v4,1,0.327523,0.958669,[81  3] ; [22  2],[80.11111111  3.88888889] ; [22.88888889  1.11111111],0
n3,1,0.332922,0.9375,[15  9] ; [5 1],[16.  8.] ; [4. 2.],0
s2,1,0.346343,0.886809,[59 27] ; [14 10],[57.07272727 28.92727273] ; [15.92727273  8.07272727],0
d4,1,0.346343,0.886809,[59 27] ; [14 10],[57.07272727 28.92727273] ; [15.92727273  8.07272727],0
