Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,7e-06,20.246055,[63 10] ; [32 31],[50.99264706 22.00735294] ; [44.00735294 18.99264706],1
a3,1,1.6e-05,18.653516,[49 23] ; [19 43],[36.53731343 35.46268657] ; [31.46268657 30.53731343],1
a6,1,5.4e-05,16.299181,[55 18] ; [26 37],[43.47794118 29.52205882] ; [37.52205882 25.47794118],1
a7,1,0.001496,10.083147,[51 22] ; [27 36],[41.86764706 31.13235294] ; [36.13235294 26.86764706],0
r4,1,0.002794,8.937365,[65  8] ; [43 20],[57.97058824 15.02941176] ; [50.02941176 12.97058824],0
v3,1,0.003682,8.434193,[34 38] ; [14 47],[25.98496241 46.01503759] ; [22.01503759 38.98496241],0
s7,1,0.005944,7.567118,[38 30] ; [19 41],[30.28125 37.71875] ; [26.71875 33.28125],0
a4,1,0.00693,7.291052,[22 50] ; [ 7 55],[15.58208955 56.41791045] ; [13.41791045 48.58208955],0
p8,1,0.011127,6.444924,[42 29] ; [23 39],[34.69924812 36.30075188] ; [30.30075188 31.69924812],0
p3,1,0.012498,6.238759,[37 35] ; [19 44],[29.86666667 42.13333333] ; [26.13333333 36.86666667],0
p10,1,0.017816,5.61416,[56 14] ; [38 24],[49.84848485 20.15151515] ; [44.15151515 17.84848485],0
v2,1,0.027212,4.877315,[38 34] ; [19 38],[31.81395349 40.18604651] ; [25.18604651 31.81395349],0
b3,1,0.034846,4.452719,[25 23] ; [13 30],[20.04395604 27.95604396] ; [17.95604396 25.04395604],0
b2,1,0.034846,4.452719,[25 23] ; [13 30],[20.04395604 27.95604396] ; [17.95604396 25.04395604],0
d3,1,0.050286,3.831911,[34 39] ; [19 44],[28.44852941 44.55147059] ; [24.55147059 38.44852941],0
v4,1,0.051022,3.807554,[68  5] ; [51 11],[64.34814815  8.65185185] ; [54.65185185  7.34814815],0
r2,1,0.051022,3.807554,[68  5] ; [51 11],[64.34814815  8.65185185] ; [54.65185185  7.34814815],0
p11,1,0.060366,3.527293,[58 15] ; [41 22],[53.13970588 19.86029412] ; [45.86029412 17.13970588],0
s5,1,0.067942,3.332064,[23 47] ; [11 48],[18.4496124 51.5503876] ; [15.5503876 43.4496124],0
p2,1,0.100177,2.702721,[53 19] ; [38 25],[48.53333333 23.46666667] ; [42.46666667 20.53333333],0
p9,1,0.107985,2.583464,[56 14] ; [42 20],[51.96969697 18.03030303] ; [46.03030303 15.96969697],0
u3,1,0.119117,2.428892,[14 10] ; [17 27],[10.94117647 13.05882353] ; [20.05882353 23.94117647],0
r3,1,0.127713,2.320086,[64  8] ; [50 13],[60.8 11.2] ; [53.2  9.8],0
s2,1,0.128911,2.305575,[34 36] ; [22 40],[29.6969697 40.3030303] ; [26.3030303 35.6969697],0
d2,1,0.136421,2.217873,[22 51] ; [12 51],[18.25 54.75] ; [15.75 47.25],0
n3,1,0.162761,1.948389,[9 2] ; [12  9],[7.21875 3.78125] ; [13.78125  7.21875],0
d4,1,0.188836,1.726673,[36 37] ; [24 39],[32.20588235 40.79411765] ; [27.79411765 35.20588235],0
b1,1,0.198923,1.650263,[37 36] ; [25 38],[33.27941176 39.72058824] ; [28.72058824 34.27941176],0
p4,1,0.200998,1.63511,[36 35] ; [25 38],[32.32089552 38.67910448] ; [28.67910448 34.32089552],0
p1,1,0.209751,1.573141,[15 57] ; [ 8 55],[12.26666667 59.73333333] ; [10.73333333 52.26666667],0
d1,1,0.212493,1.55436,[ 6 67] ; [ 2 61],[ 4.29411765 68.70588235] ; [ 3.70588235 59.29411765],0
p12,1,0.216822,1.525282,[ 9 62] ; [ 4 59],[ 6.8880597 64.1119403] ; [ 6.1119403 56.8880597],0
