Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,128.119589,[380  44] ; [55 73],[334.13043478  89.86956522] ; [100.86956522  27.13043478],1
n6,1,0.0,35.956489,[385  38] ; [89 38],[364.54909091  58.45090909] ; [109.45090909  17.54909091],1
v1,1,0.0,34.298544,[265 152] ; [42 82],[236.63401109 180.36598891] ; [70.36598891 53.63401109],1
p10,1,2.1e-05,18.114537,[373  48] ; [93 34],[358.00364964  62.99635036] ; [107.99635036  19.00364964],1
p9,1,4.8e-05,16.508349,[378  43] ; [97 31],[364.25318761  56.74681239] ; [110.74681239  17.25318761],1
v3,1,0.000112,14.925346,[194 219] ; [34 90],[175.35195531 237.64804469] ; [52.64804469 71.35195531],1
p4,1,0.000306,13.032925,[308 115] ; [71 56],[291.48545455 131.51454545] ; [87.51454545 39.48545455],1
s7,1,0.000323,12.92947,[232 171] ; [49 76],[214.47537879 188.52462121] ; [66.52462121 58.47537879],1
s6,1,0.000675,11.556344,[304 112] ; [72 54],[288.5904059 127.4095941] ; [87.4095941 38.5904059],1
p5,1,0.001536,10.034366,[ 70 353] ; [  7 121],[ 59.11252269 363.88747731] ; [ 17.88747731 110.11252269],0
s2,1,0.001903,9.641053,[238 185] ; [52 76],[222.63157895 200.36842105] ; [67.36842105 60.63157895],0
r1,1,0.002487,9.150455,[359  63] ; [94 34],[347.57454545  74.42545455] ; [105.42545455  22.57454545],0
s8,1,0.004367,8.124644,[217 205] ; [47 80],[202.92896175 219.07103825] ; [61.07103825 65.92896175],0
p8,1,0.004402,8.110024,[298 122] ; [73 54],[284.86288848 135.13711152] ; [86.13711152 40.86288848],0
b2,1,0.005913,7.576677,[111 157] ; [18 57],[100.79300292 167.20699708] ; [28.20699708 46.79300292],0
b3,1,0.005913,7.576677,[111 157] ; [18 57],[100.79300292 167.20699708] ; [28.20699708 46.79300292],0
s5,1,0.00689,7.301337,[171 245] ; [34 89],[158.21892393 257.78107607] ; [46.78107607 76.21892393],0
a8,1,0.007065,7.256358,[ 69 317] ; [  9 109],[ 59.73809524 326.26190476] ; [18.26190476 99.73809524],0
p11,1,0.007454,7.160269,[362  63] ; [96 32],[351.98915009  73.01084991] ; [106.01084991  21.98915009],0
d5,1,0.00785,7.067322,[356  66] ; [94 33],[345.90163934  76.09836066] ; [104.09836066  22.90163934],0
p6,1,0.013709,6.075275,[217 207] ; [47 75],[205.01098901 218.98901099] ; [58.98901099 63.01098901],0
n1,1,0.020747,5.347953,[29 43] ; [ 6 28],[23.77358491 48.22641509] ; [11.22641509 22.77358491],0
a4,1,0.025483,4.990728,[196 227] ; [45 83],[185.01451906 237.98548094] ; [55.98548094 72.01451906],0
s1,1,0.030914,4.657708,[  8 411] ; [  7 121],[ 11.48994516 407.51005484] ; [  3.51005484 124.48994516],0
