Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.006199,7.49157,[49  9] ; [22 15],[43.34736842 14.65263158] ; [27.65263158  9.34736842],0
p10,1,0.027361,4.867916,[49  8] ; [24 12],[44.74193548 12.25806452] ; [28.25806452  7.74193548],0
v2,1,0.030185,4.698716,[30 26] ; [11 25],[24.95652174 31.04347826] ; [16.04347826 19.95652174],0
b4,1,0.039256,4.249767,[30 28] ; [27 10],[34.8 23.2] ; [22.2 14.8],0
n5,1,0.041654,4.149214,[47 11] ; [23 14],[42.73684211 15.26315789] ; [27.26315789  9.73684211],0
s2,1,0.05076,3.816164,[44 14] ; [21 16],[39.68421053 18.31578947] ; [25.31578947 11.68421053],0
v4,1,0.055938,3.653911,[56  1] ; [33  4],[53.96808511  3.03191489] ; [35.03191489  1.96808511],0
p9,1,0.070399,3.273702,[49  9] ; [24 11],[45.52688172 12.47311828] ; [27.47311828  7.52688172],0
s6,1,0.07325,3.208638,[48 10] ; [24 12],[44.42553191 13.57446809] ; [27.57446809  8.42553191],0
d1,1,0.113193,2.50907,[25 33] ; [10 27],[21.36842105 36.63157895] ; [13.63157895 23.36842105],0
p1,1,0.145453,2.119301,[11 47] ; [ 3 34],[ 8.54736842 49.45263158] ; [ 5.45263158 31.54736842],0
p5,1,0.184213,1.763307,[12 44] ; [ 4 33],[ 9.6344086 46.3655914] ; [ 6.3655914 30.6344086],0
b1,1,0.190114,1.716735,[25 33] ; [11 26],[21.97894737 36.02105263] ; [14.02105263 22.97894737],0
b5,1,0.19412,1.686069,[33 25] ; [16 21],[29.91578947 28.08421053] ; [19.08421053 17.91578947],0
u2,1,0.216701,1.526087,[16  7] ; [8 8],[14.15384615  8.84615385] ; [9.84615385 6.15384615],0
r1,1,0.246522,1.342905,[44 14] ; [24 13],[41.51578947 16.48421053] ; [26.48421053 10.51578947],0
d2,1,0.253941,1.301491,[10 48] ; [10 27],[12.21052632 45.78947368] ; [ 7.78947368 29.21052632],0
b3,1,0.310134,1.030105,[11 28] ; [ 9 13],[12.78688525 26.21311475] ; [ 7.21311475 14.78688525],0
b2,1,0.310134,1.030105,[11 28] ; [ 9 13],[12.78688525 26.21311475] ; [ 7.21311475 14.78688525],0
r2,1,0.329201,0.952036,[53  3] ; [33  4],[51.78494624  4.21505376] ; [34.21505376  2.78494624],0
p3,1,0.340999,0.906671,[24 34] ; [19 18],[26.25263158 31.74736842] ; [16.74736842 20.25263158],0
p12,1,0.372042,0.796831,[ 4 54] ; [ 1 36],[ 3.05263158 54.94736842] ; [ 1.94736842 35.05263158],0
u1,1,0.372042,0.796831,[ 4 54] ; [ 1 36],[ 3.05263158 54.94736842] ; [ 1.94736842 35.05263158],0
v3,1,0.37683,0.781016,[25 30] ; [13 23],[22.96703297 32.03296703] ; [15.03296703 20.96703297],0
p8,1,0.400122,0.707959,[35 23] ; [18 17],[33.05376344 24.94623656] ; [19.94623656 15.05376344],0
s5,1,0.437687,0.60234,[19 35] ; [16 21],[20.76923077 33.23076923] ; [14.23076923 22.76923077],0
a8,1,0.483151,0.491742,[ 7 45] ; [ 3 32],[ 5.97701149 46.02298851] ; [ 4.02298851 30.97701149],0
s4,1,0.488714,0.479357,[15 43] ; [12 25],[16.48421053 41.51578947] ; [10.51578947 26.48421053],0
v1,1,0.492495,0.47107,[30 28] ; [16 20],[28.38297872 29.61702128] ; [17.61702128 18.38297872],0
d3,1,0.492828,0.470347,[37 21] ; [21 16],[35.41052632 22.58947368] ; [22.58947368 14.41052632],0
p4,1,0.501034,0.452745,[32 26] ; [23 14],[33.57894737 24.42105263] ; [21.42105263 15.57894737],0
p2,1,0.504062,0.446373,[50  8] ; [30  7],[48.84210526  9.15789474] ; [31.15789474  5.84210526],0
u3,1,0.504985,0.444444,[16  8] ; [9 7],[15.  9.] ; [10.  6.],0
a6,1,0.520116,0.413664,[29 29] ; [16 21],[27.47368421 30.52631579] ; [17.52631579 19.47368421],0
n6,1,0.532142,0.3903,[47 11] ; [28  9],[45.78947368 12.21052632] ; [29.21052632  7.78947368],0
